label,Bin1_Var,Bin1_Max,Bin2_Var,Bin2_Max,Bin3_Var,Bin3_Max,Bin4_Var,Bin4_Max,Bin5_Var,Bin5_Max,TD_Std,TD_Skew,TD_Kurtosis,TD_Median,TD_AbsDev,TD_Q1,TD_Q3,TD_IQR,TD_PCC
Normal,0.000462872,0.000673062,0.00042771,0.000553201,0.000362645,0.000505525,0.000342016,0.000445471,0.000308456,0.000407424,0.001306356,6.839544073,51.99848572,0.000137972,0.00051103,6.74E-05,0.000297363,0.000229947,0.618742507
Normal,0.000625128,0.000813396,0.000565903,0.000805534,0.00050643,0.000688441,0.000457096,0.000615409,0.000431543,0.00054576,0.001559619,10.46756308,123.7286372,0.000126533,0.000476904,6.70E-05,0.000293922,0.00022689,0.269777904
Normal,0.000330471,0.000424318,0.000286237,0.000400052,0.000252565,0.00036823,0.000224541,0.000311841,0.000210471,0.000265035,0.00108206,7.229851068,58.79907012,0.000120028,0.000408168,4.60E-05,0.000249738,0.000203704,0.641098805
Normal,0.000778717,0.001103031,0.000706792,0.00100728,0.000652204,0.000843326,0.000559808,0.000706013,0.00054318,0.000678311,0.001738477,9.055921569,90.01968659,0.000174521,0.000550634,5.77E-05,0.000324861,0.000267116,0.393099474
Normal,0.000368045,0.00046814,0.000313379,0.000449994,0.000277194,0.000352707,0.000240762,0.000341433,0.000205799,0.000265084,0.001141362,8.950921033,92.65431978,9.42E-05,0.000386737,4.67E-05,0.000218792,0.000172134,0.353562359
Normal,0.000645207,0.000852049,0.000600845,0.000753405,0.000518627,0.0007042,0.000476873,0.000669812,0.000429169,0.000516899,0.001607443,12.91641501,172.8626939,0.000111595,0.000364243,5.01E-05,0.000215992,0.000165913,0.059665061
Normal,0.000520076,0.000698143,0.000475203,0.000673195,0.000432862,0.000553691,0.000374027,0.000449634,0.000349862,0.000472625,0.001413231,9.374003023,100.9227727,0.000134642,0.000463042,5.20E-05,0.000277322,0.000225327,0.339037402
Normal,0.00045002,0.000619715,0.000408903,0.000586716,0.000363025,0.000545817,0.000332454,0.000458416,0.000307519,0.000378041,0.001289122,7.321857102,60.70484553,0.000148114,0.000496134,5.98E-05,0.00031317,0.000253393,0.650826786
Normal,0.000246933,0.0003415,0.000217537,0.000316709,0.000191183,0.000285239,0.000169957,0.000234452,0.000151422,0.000206685,0.000973109,12.38168725,161.0515379,7.28E-05,0.000220849,3.65E-05,0.00012364,8.71E-05,0.191876421
Normal,0.000258997,0.000348656,0.000243304,0.000350135,0.000220048,0.000330042,0.000204932,0.000270513,0.000192726,0.000256061,0.001035232,11.00222977,132.4505202,7.74E-05,0.000272493,3.74E-05,0.000145881,0.000108445,0.277153627
Normal,0.000548665,0.000847102,0.000481699,0.000658321,0.000413015,0.000576381,0.000348778,0.000500694,0.000330766,0.000421682,0.001428545,12.07140228,155.1557777,0.000112918,0.000359255,4.33E-05,0.000209029,0.000165778,0.159599657
Normal,0.000742505,0.000977877,0.000709834,0.001038849,0.00064164,0.000892185,0.000545564,0.000680334,0.000520212,0.000642751,0.001714815,8.4025733,76.03867396,0.000165547,0.000558193,5.97E-05,0.000319382,0.000259653,0.449238354
Normal,0.000396107,0.000508828,0.000365287,0.000487851,0.000334852,0.000495675,0.000284293,0.000385475,0.000279897,0.000352494,0.001222407,7.548934859,64.24018042,0.000133135,0.000461873,6.80E-05,0.00026592,0.000197957,0.647815907
Normal,0.000373263,0.000493229,0.000347069,0.000518173,0.000322182,0.000452663,0.000277932,0.000367997,0.000258838,0.000328782,0.001201997,6.876204647,49.81327816,0.000126652,0.000433502,5.61E-05,0.000224931,0.00016881,0.543266719
Normal,0.000490865,0.000638626,0.00046641,0.000584521,0.000413984,0.000557434,0.00037837,0.000570521,0.000350236,0.000465669,0.00138013,6.72039927,47.89265071,0.00013999,0.000521691,5.75E-05,0.000295951,0.000238473,0.550830067
Normal,0.000424587,0.000536766,0.000385341,0.000515512,0.000371689,0.000540397,0.000325053,0.000416995,0.000295244,0.000357088,0.001272107,7.604955829,65.10730512,0.000135917,0.000475503,6.04E-05,0.000341333,0.000280886,0.648823319
