recall,precision,f1_score,params,lookback_seconds,predict_seconds
0.8703703703703703,0.0060794205148105,0.0120745022479126,"{'n_estimators': 263, 'max_depth': 2, 'learning_rate': 0.07111112183916236, 'subsample': 0.9640981302104401, 'colsample_bytree': 0.8343539265957314, 'scale_pos_weight': 8929.643353217542, 'min_child_weight': 4.711728874421636, 'gamma': 0.9554666369056781}",3,1
0.6623376623376623,0.0021351419241396,0.0042565622000584,"{'n_estimators': 480, 'max_depth': 2, 'learning_rate': 0.06699241464650176, 'subsample': 0.6090631039580136, 'colsample_bytree': 0.6077470538140604, 'scale_pos_weight': 6652.617057767185, 'min_child_weight': 0.9666394714524466, 'gamma': 0.46304190479876606}",3,3
0.59,0.0015471351776583,0.0030861775859814,"{'n_estimators': 404, 'max_depth': 2, 'learning_rate': 0.13850491175815574, 'subsample': 0.9490945950330313, 'colsample_bytree': 0.8852876181466616, 'scale_pos_weight': 5156.612095062887, 'min_child_weight': 3.879113260118485, 'gamma': 0.026710883239077443}",3,5
0.6538461538461539,0.00150489089541,0.0030028703908147,"{'n_estimators': 190, 'max_depth': 3, 'learning_rate': 0.150723665098642, 'subsample': 0.826227390027019, 'colsample_bytree': 0.8375779546430544, 'scale_pos_weight': 3464.6595730302956, 'min_child_weight': 1.8059544875786018, 'gamma': 0.14206308858887629}",3,10
0.9074074074074074,0.005791277626758,0.0115091015854374,"{'n_estimators': 93, 'max_depth': 2, 'learning_rate': 0.060375953746075406, 'subsample': 0.9616807419075186, 'colsample_bytree': 0.7572037757582464, 'scale_pos_weight': 9963.293464997307, 'min_child_weight': 4.300473228819305, 'gamma': 0.37969388203932597}",5,1
0.5974025974025974,0.0036600891152132,0.0072756030051403,"{'n_estimators': 448, 'max_depth': 2, 'learning_rate': 0.07856291046521897, 'subsample': 0.6881441475711925, 'colsample_bytree': 0.935347220096979, 'scale_pos_weight': 4927.9277197792935, 'min_child_weight': 0.808255559184518, 'gamma': 0.2580187439759306}",5,3
0.62,0.0031660113363631,0.006299852664736,"{'n_estimators': 563, 'max_depth': 3, 'learning_rate': 0.0120552210151796, 'subsample': 0.9710115545656873, 'colsample_bytree': 0.8761547723907298, 'scale_pos_weight': 3245.5915563221542, 'min_child_weight': 1.2428850114652386, 'gamma': 0.16140010170399532}",5,5
0.5228758169934641,0.0026259642212374,0.0052256842380299,"{'n_estimators': 333, 'max_depth': 6, 'learning_rate': 0.021300980457238498, 'subsample': 0.7572176528140857, 'colsample_bytree': 0.8245886477626299, 'scale_pos_weight': 3251.492213328163, 'min_child_weight': 1.0411303760195274, 'gamma': 0.5361565547798857}",5,10
0.7547169811320755,0.027378507871321,0.0528401585204755,"{'n_estimators': 441, 'max_depth': 2, 'learning_rate': 0.024510316991278005, 'subsample': 0.8379696952356812, 'colsample_bytree': 0.8909968546655451, 'scale_pos_weight': 3269.678813782171, 'min_child_weight': 3.0139787156266915, 'gamma': 0.8638771142243489}",10,1
0.6486486486486487,0.0091168091168091,0.017980895298745,"{'n_estimators': 405, 'max_depth': 4, 'learning_rate': 0.012301137096692286, 'subsample': 0.7439648566152344, 'colsample_bytree': 0.9703374867475862, 'scale_pos_weight': 4775.836821781898, 'min_child_weight': 1.643050330340684, 'gamma': 0.10998782619338188}",10,3
0.5789473684210527,0.0089271222204187,0.0175831202046035,"{'n_estimators': 411, 'max_depth': 3, 'learning_rate': 0.10795017922976553, 'subsample': 0.703347457353406, 'colsample_bytree': 0.7740645779882248, 'scale_pos_weight': 4948.054802807888, 'min_child_weight': 3.421968871376063, 'gamma': 0.8449950409489645}",10,5
0.4353741496598639,0.0181611804767309,0.0348678834105148,"{'n_estimators': 241, 'max_depth': 7, 'learning_rate': 0.023740609882041578, 'subsample': 0.8242209590847903, 'colsample_bytree': 0.6101809424050381, 'scale_pos_weight': 1221.5299212684333, 'min_child_weight': 3.387383353434119, 'gamma': 0.9305163949038998}",10,10
