recall,precision,f1_score,params,lookback_seconds,predict_seconds
0.9190821256038648,0.1182962847815949,0.2096130009640545,"{'n_estimators': 496, 'max_depth': 2, 'learning_rate': 0.04360157346139074, 'subsample': 0.9186202986293859, 'colsample_bytree': 0.9243313286288835, 'scale_pos_weight': 461.67314528711756, 'min_child_weight': 1.0240361587868634, 'gamma': 0.9585154188281196}",3,1
0.8080657206870799,0.0957267981951694,0.1711754469229552,"{'n_estimators': 448, 'max_depth': 3, 'learning_rate': 0.0603984200657432, 'subsample': 0.7253932350684114, 'colsample_bytree': 0.8525098229964715, 'scale_pos_weight': 347.7316930099678, 'min_child_weight': 0.6395019645366216, 'gamma': 0.37369103847898166}",3,3
0.7464788732394366,0.1117357695010541,0.1943765281173594,"{'n_estimators': 590, 'max_depth': 2, 'learning_rate': 0.053235211555207676, 'subsample': 0.895090922925919, 'colsample_bytree': 0.6465689818123784, 'scale_pos_weight': 237.33844279541512, 'min_child_weight': 4.83998957607657, 'gamma': 0.9924155649348786}",3,5
0.7154742096505824,0.0440314363976141,0.0829575324957195,"{'n_estimators': 82, 'max_depth': 4, 'learning_rate': 0.08428277382411357, 'subsample': 0.7415906030966506, 'colsample_bytree': 0.7968910434950724, 'scale_pos_weight': 224.7204357926428, 'min_child_weight': 1.453125926630911, 'gamma': 0.7100689761125444}",3,10
0.9263285024154588,0.144118752348741,0.249430894308943,"{'n_estimators': 369, 'max_depth': 3, 'learning_rate': 0.01349949879182058, 'subsample': 0.7609024502828521, 'colsample_bytree': 0.7889980564863698, 'scale_pos_weight': 447.7234600339585, 'min_child_weight': 2.564791598352055, 'gamma': 0.5557635921337565}",5,1
0.8140403286034354,0.1070832105314864,0.189268970307345,"{'n_estimators': 76, 'max_depth': 3, 'learning_rate': 0.020830652233947148, 'subsample': 0.9905040638512521, 'colsample_bytree': 0.6595192061012357, 'scale_pos_weight': 362.36078659122546, 'min_child_weight': 1.1683603419986166, 'gamma': 0.9927784138138336}",5,3
0.7676056338028169,0.0812674743709226,0.1469745491319737,"{'n_estimators': 229, 'max_depth': 5, 'learning_rate': 0.16198281335611486, 'subsample': 0.6007269381709044, 'colsample_bytree': 0.6131722340249728, 'scale_pos_weight': 294.1221718627697, 'min_child_weight': 3.876343353295729, 'gamma': 0.7606733933226634}",5,5
0.6998334721065779,0.0688652191724703,0.1253916156944651,"{'n_estimators': 51, 'max_depth': 5, 'learning_rate': 0.051014336543241924, 'subsample': 0.7932525512827046, 'colsample_bytree': 0.8982560583392563, 'scale_pos_weight': 197.02886334466717, 'min_child_weight': 3.265379782506797, 'gamma': 0.4198965054749241}",5,10
0.9250302297460702,0.1110627177700348,0.1983149708360337,"{'n_estimators': 172, 'max_depth': 2, 'learning_rate': 0.02034200686345676, 'subsample': 0.8144296464251288, 'colsample_bytree': 0.9484485194541428, 'scale_pos_weight': 575.9876541150055, 'min_child_weight': 3.5694020493434024, 'gamma': 0.7346727192884216}",10,1
0.8272251308900523,0.130686517783292,0.2257142857142857,"{'n_estimators': 61, 'max_depth': 2, 'learning_rate': 0.1032665782337198, 'subsample': 0.8506587900425426, 'colsample_bytree': 0.7062175547718117, 'scale_pos_weight': 290.81663438766316, 'min_child_weight': 4.869743003485748, 'gamma': 0.8146831746849272}",10,3
0.7757504414361389,0.0965638508315627,0.1717487620536877,"{'n_estimators': 63, 'max_depth': 6, 'learning_rate': 0.020812782292266813, 'subsample': 0.7961978257792421, 'colsample_bytree': 0.6512749434499704, 'scale_pos_weight': 319.4276625474615, 'min_child_weight': 3.0781030829020253, 'gamma': 0.8622587345643838}",10,5
