app,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
abc,-583.0,3655.1052631578946,3632.5263157894738,3521.368421052631,4160.210526315789,4513.1578947368425,53519.05263157895,79886.21052631574,102277.36842105261,115467.47368421052,132056.52631578947,139979.3684210526,177220.2105263158,194457.26315789475,210952.05263157893,225768.31578947365,232439.42105263154,242749.68421052632,249448.94736842104,249500.0
abc,-583.0,3570.4736842105262,3701.7368421052633,3559.0526315789475,3337.7894736842104,3549.2631578947367,3991.263157894737,4059.842105263158,4563.736842105263,74422.1052631579,89269.47368421052,108941.26315789475,114527.15789473684,127920.63157894739,131651.31578947368,165113.00000000006,225366.68421052635,247909.0,247992.15789473685,248049.0
abc,-583.0,3620.157894736842,3636.4736842105262,3353.9473684210525,3911.0526315789475,4109.894736842105,4441.684210526316,23849.52631578948,57100.05263157895,70059.63157894736,75002.15789473684,102647.8421052632,123553.52631578947,152192.47368421053,176787.42105263157,217913.10526315786,234491.0,243264.68421052632,248579.05263157896,248598.0
asahi,-583.0,2539.578947368421,2454.8947368421054,2152.842105263158,2309.5789473684213,2574.421052631581,13573.631578947368,27450.368421052626,43985.1052631579,61158.36842105263,78686.36842105277,128353.52631578948,146520.05263157896,161423.00000000003,176751.6315789474,201516.26315789475,220888.89473684217,264738.3684210527,287109.5789473684,287242.0
asahi,-583.0,2548.684210526316,2466.4210526315787,2179.6315789473683,2193.315789473684,4613.526315789477,18627.052631578954,25722.31578947368,50057.78947368421,74038.52631578948,93336.73684210528,109158.52631578947,139382.6315789474,165491.78947368424,186686.0,207436.1578947369,258518.7894736842,271561.4736842105,286919.05263157893,287175.0
asahi,-583.0,2495.5789473684213,2455.7368421052633,2341.0526315789475,2109.157894736842,2320.5263157894738,2427.578947368421,5578.263157894738,10276.63157894737,26357.8947368421,57834.736842105274,76682.94736842108,101774.52631578947,173194.73684210528,188708.42105263157,211671.5789473684,232506.31578947368,278243.5789473684,286694.5789473684,286715.0
baidu,-571.0,2910.2631578947367,4364.894736842105,4657.631578947368,4626.684210526316,4659.105263157895,5250.631578947365,16748.73684210526,27244.73684210526,31164.894736842103,33976.26315789473,37354.63157894737,38197.47368421053,40513.26315789473,41774.31578947368,61002.94736842105,72185.73684210527,72314.15789473684,72269.42105263157,72341.0
baidu,-571.0,694.1578947368423,3033.0000000000005,4418.894736842105,4703.894736842105,4691.736842105263,4687.684210526316,8179.157894736847,20181.157894736854,30596.263157894737,31654.736842105263,35198.26315789474,36527.42105263158,38505.84210526316,40263.210526315794,54126.26315789472,72309.63157894737,72384.1052631579,72325.94736842105,72402.0
baidu,-571.0,3563.0,4735.0,4588.0,4693.0,4798.0,4637.0,5899.0,33153.0,33751.0,35289.0,40783.0,43557.0,47691.0,51825.0,72279.0,72550.0,72465.0,72550.0,72635.0
bbc,-583.0,3703.9473684210525,4483.105263157895,4214.894736842105,4218.1578947368425,17047.894736842103,25933.63157894737,61546.26315789473,69063.73684210527,122129.42105263151,184702.05263157893,238973.842105263,298779.5263157895,349362.05263157893,381853.0,423425.21052631584,465423.10526315786,536793.2105263158,602821.3157894737,602951.0
