app,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
abc,-583,3576.684210526316,3709.842105263158,3546.5263157894738,3385.315789473684,3253.368421052631,3909.157894736842,3892.1052631578946,7465.105263157893,19052.368421052626,68312.68421052632,74578.89474,89429.73684210533,144436.78947368418,159926.15789473685,182013.63157894736,206442.3684210526,252085.73684210525,252474.8947368421,252527
abc,-583,3558.0526315789475,3685,3605.7368421052633,3405.421052631579,3453.105263157895,3982.4736842105262,3967.315789473684,4958.6315789473665,12136.736842105262,29247.47368421053,64733.57894736838,72763.05263157889,107468.73684210517,148346.84210526312,217391.05263157884,241241.78947368418,252198.8947368421,252424.68421052632,252491
abc,-583,3570.4736842105262,3701.7368421052633,3564.2105263157896,3409.5263157894738,3211.7368421052633,3859.263157894737,4316.315789473684,11005.789473684214,24058.368421052633,61963.63157894737,70283.84210526322,115638.57894736844,159716.26315789478,175202.15789473685,199982.15789473685,223768.8947368421,252080.68421052632,252426.15789473685,252483
abc,-583,3564.2631578947367,3693.6315789473683,3583.684210526316,3372.1052631578946,3622.526315789474,4005.6315789473683,4413.684210526317,5832.105263157895,18646.315789473694,28148.05263157899,82154.89473684214,124810.15789473688,135326.2631578948,177413.94736842113,225603.1052631579,243001.10526315792,252199.36842105264,252474.42105263157,252536
abc,-583,3564.2631578947367,3693,3582.684210526316,3432.736842105263,3253.6315789473683,3757.631578947369,3931.578947368421,3906.0526315789475,4435.368421052632,30994.842105263197,65916.84210526316,106443.68421052638,130581.68421052636,149682.4210526316,203689.26315789472,226266.42105263163,252066.36842105264,252341.42105263157,252403
abc,-583,3558.0526315789475,3685.5263157894738,3606.7368421052633,3406.421052631579,3454.105263157895,3983.4736842105262,3968.315789473684,5951.894736842098,35975.05263157894,67559.05263157895,72963.47368421052,79006.42105263151,107468.73684210522,161188.31578947356,186812.73684210525,241241.78947368418,252188.47368421053,252402.68421052632,252469
abc,-583,3582.8947368421054,3717.9473684210525,3528.842105263158,3361.1052631578946,3421.7894736842104,3932.9473684210525,3886.6315789473683,4406.157894736842,18586.99999999998,57421.52631578946,76603.63157894736,110755.6315789473,126035.63157894734,151390.15789473685,186961.1052631579,227143.6315789473,252097.05263157893,252554.63157894736,252602
abc,-583,3657.157894736842,3540.6315789473683,3271.7894736842104,3820.0526315789475,4340.1578947368425,52762.78947368421,70246.42105263157,76227.21053,88949.36842105263,121178.42105263159,137908.94736842104,154501.84210526315,156402.2105263158,167191.3684210526,182320.84210526317,187318.68421052632,231945.1052631578,253258.05263157896,253460
abc,-583,3595.315789473684,3698.9473684210525,3457.3684210526317,3454.105263157895,4005.6315789473683,4070.0526315789475,4667.421052631578,19670.578947368427,62556.052631578954,67981.31578947368,72200.47368421052,85500.89473684209,110933.3157894737,136578.5789473684,181734.36842105264,208656.68421052632,250619.84210526315,252841.1052631579,252879
abc,-583,1848.5789473684206,3679.9473684210525,3772.6315789473683,3565.7368421052633,3343.7368421052633,3764.6842105263163,4059.842105263158,4561.842105263158,72291.68421052632,88983.68421052632,131642.42105263157,135847.68421052632,147289.57894736843,165116.73684210528,194437.36842105264,228795.26315789475,252211.68421052632,252557.15789473685,252614
asahi,-583,2368,2396.1052631578946,2452.8947368421054,2274.842105263158,2149.3684210526317,2170.421052631579,5856.315789473685,13773.421052631578,21650.68421052629,50552.57894736841,67038.68421052632,79267.94736842102,123778.26315789473,143740.7894736842,189173.42105263154,241913.63157894736,284435.94736842107,285697.94736842107,285749
asahi,-583,2389.5263157894738,2393.157894736842,2435.1052631578946,2244.4736842105262,2171.6315789473683,2133.421052631579,2409.842105263158,5390.578947368422,26791.157894736883,62720.31578947369,67858.31578947368,114642.42105263162,128790.73684210527,157341.3684210526,233994.3157894737,259778.00000000003,283504.21052631584,285777.05263157893,285823
asahi,-583,2368.4736842105262,2397.1052631578946,2453.8947368421054,2275.842105263158,2136.3684210526317,2133.421052631579,5647.315789473685,13731.78947368421,45704.84210526312,67653.89474,115569.68421052632,127798.94736842102,179049.26315789475,212633.68421052632,281620.84210526315,283704.63157894736,285717.5263157895,285729.94736842107,285781
asahi,-583,2410.5789473684213,2405.4736842105262,2416.315789473684,2207.4210526315787,2206.8947368421054,2166.2631578947367,3070.0526315789443,13743.736842105263,26682.526315789488,50199.36842105264,67330.94736842105,72117.68421,108972.63157894739,127381.26315789472,154161.68421052632,193074.10526315792,277321.8947368421,285872.15789473685,285913
asahi,-583,2389,2392.157894736842,2434.1052631578946,2243.4736842105262,2170.6315789473683,2132.421052631579,2410.2105263157896,13479.578947368422,15014.894736842107,55768.473684210534,67859.31578947368,71365.52631578948,84875.31578947372,124209.94736842105,166169.6315789474,207987.42105263163,282795.7368421054,285800.05263157893,285846
asahi,-583,2453.3684210526317,2431.1052631578946,2379.5789473684213,2184.421052631579,2078.4210526315787,2249.0526315789475,2374.684210526316,16275.052631578947,34346.31578947366,43538.73684210526,67488.21052631579,92785.68421052629,115387.15789473684,166722.3157894736,195070.52631578947,251939.57894736834,281848.63157894736,285882.36842105264,285913
asahi,-583,2411.157894736842,2406.4736842105262,2417.315789473684,2208.4210526315787,2207.8947368421054,2167.2631578947367,2928.157895,14100.157894736843,20439.157894736854,45020.21053,62577.47368421053,68215.57894736841,107269.89473684214,134263.15789473683,181476.4210526316,218331.36842105264,281153.05263157893,285872.15789473685,285913
asahi,-583,2515,2466.0526315789475,2319.7894736842104,2104.6315789473683,2175.894736842105,2168.6315789473683,12139.894736842112,29847.84210526315,64378.89474,68686.36842105263,91865.84210526317,133349.73684210525,137160.57894736843,189783.21052631584,235736.7894736842,239334.7894736842,257831.73684210505,287442.6842105263,287458
