frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 13, 2025 12:18:01.726485000 CET","74","74","0x1125","0x602d","6","60","172.29.250.200","2.22.32.110","40","0","45542","443","0","0","64240","0xc998"
"2","Mar 13, 2025 12:18:01.790457000 CET","74","74","0x0000","0x7f52","6","60","2.22.32.110","172.29.250.200","40","0","443","45542","0","1","65160","0x1842"
"3","Mar 13, 2025 12:18:01.790458000 CET","74","74","0x0000","0x7f52","6","60","2.22.32.110","172.29.250.200","40","0","443","45542","0","1","65160","0x183d"
"4","Mar 13, 2025 12:18:01.790483000 CET","66","66","0x1126","0x6034","6","52","172.29.250.200","2.22.32.110","32","0","45542","443","1","1","502","0xc990"
"5","Mar 13, 2025 12:18:01.790491000 CET","66","66","0x1127","0x6033","6","52","172.29.250.200","2.22.32.110","32","0","45542","443","1","1","502","0xc990"
"6","Mar 13, 2025 12:18:01.792094000 CET","583","583","0x1128","0x5e2d","6","569","172.29.250.200","2.22.32.110","32","517","45542","443","1","1","502","0xcb95"
"7","Mar 13, 2025 12:18:01.819003000 CET","66","66","0x0001","0x7559","6","52","2.22.32.110","172.29.250.200","32","0","443","45542","1","518","65535","0x42e2"
"8","Mar 13, 2025 12:18:01.819004000 CET","4110","4110","0x0002","0x658c","6","4096","2.22.32.110","172.29.250.200","32","4044","443","45542","1","518","65535","0xc970"
"9","Mar 13, 2025 12:18:01.819005000 CET","118","118","0x0005","0x7521","6","104","2.22.32.110","172.29.250.200","32","52","443","45542","4045","518","65535","0xd279"
"10","Mar 13, 2025 12:18:01.819027000 CET","66","66","0x1129","0x6031","6","52","172.29.250.200","2.22.32.110","32","0","45542","443","518","4045","479","0xc990"
"11","Mar 13, 2025 12:18:01.819033000 CET","66","66","0x112a","0x6030","6","52","172.29.250.200","2.22.32.110","32","0","45542","443","518","4097","479","0xc990"
