frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 13, 2025 12:09:40.041830000 CET","74","74","0x1643","0x0fc1","6","60","172.29.250.200","104.121.5.89","40","0","44372","443","0","0","64240","0x14e7"
"2","Mar 13, 2025 12:09:40.083781000 CET","74","74","0x0000","0x3904","6","60","104.121.5.89","172.29.250.200","40","0","443","44372","0","1","65160","0x3e85"
"3","Mar 13, 2025 12:09:40.083781000 CET","74","74","0x0000","0x3904","6","60","104.121.5.89","172.29.250.200","40","0","443","44372","0","1","65160","0x3e7b"
"4","Mar 13, 2025 12:09:40.083836000 CET","66","66","0x1644","0x0fc8","6","52","172.29.250.200","104.121.5.89","32","0","44372","443","1","1","502","0x14df"
"5","Mar 13, 2025 12:09:40.083845000 CET","66","66","0x1645","0x0fc7","6","52","172.29.250.200","104.121.5.89","32","0","44372","443","1","1","502","0x14df"
"6","Mar 13, 2025 12:09:40.085522000 CET","583","583","0x1646","0x0dc1","6","569","172.29.250.200","104.121.5.89","32","517","44372","443","1","1","502","0x16e4"
"7","Mar 13, 2025 12:09:40.109443000 CET","66","66","0x0001","0x2a0b","6","52","104.121.5.89","172.29.250.200","32","0","443","44372","1","518","65535","0x6936"
"8","Mar 13, 2025 12:09:40.125401000 CET","2762","2762","0x0002","0x1f82","6","2748","104.121.5.89","172.29.250.200","32","2696","443","44372","1","518","65535","0x14bf"
"9","Mar 13, 2025 12:09:40.125401000 CET","400","400","0x0004","0x28ba","6","386","104.121.5.89","172.29.250.200","32","334","443","44372","2697","518","65535","0xbb20"
"10","Mar 13, 2025 12:09:40.125440000 CET","66","66","0x1647","0x0fc5","6","52","172.29.250.200","104.121.5.89","32","0","44372","443","518","2697","499","0x14df"
"11","Mar 13, 2025 12:09:40.125450000 CET","66","66","0x1648","0x0fc4","6","52","172.29.250.200","104.121.5.89","32","0","44372","443","518","3031","497","0x14df"
"12","Mar 13, 2025 12:09:40.127334000 CET","192","192","0x1649","0x0f45","6","178","172.29.250.200","104.121.5.89","32","126","44372","443","518","3031","501","0x155d"
"13","Mar 13, 2025 12:09:40.157332000 CET","66","66","0x0005","0x2a07","6","52","104.121.5.89","172.29.250.200","32","0","443","44372","3031","644","65535","0x5c8c"
"14","Mar 13, 2025 12:09:40.179314000 CET","117","117","0x0006","0x29d3","6","103","104.121.5.89","172.29.250.200","32","51","443","44372","3031","644","65535","0xa4f7"
"15","Mar 13, 2025 12:09:40.179536000 CET","119","119","0x164a","0x0f8d","6","105","172.29.250.200","104.121.5.89","32","53","44372","443","644","3082","501","0x1514"
"16","Mar 13, 2025 12:09:40.179546000 CET","122","122","0x164b","0x0f89","6","108","172.29.250.200","104.121.5.89","32","56","44372","443","697","3082","501","0x1517"
"17","Mar 13, 2025 12:09:40.179771000 CET","176","176","0x164c","0x0f52","6","162","172.29.250.200","104.121.5.89","32","110","44372","443","753","3082","501","0x154d"
"18","Mar 13, 2025 12:09:40.196809000 CET","66","66","0x0007","0x2a05","6","52","104.121.5.89","172.29.250.200","32","0","443","44372","3082","753","65535","0x5b8f"
"19","Mar 13, 2025 12:09:40.202448000 CET","66","66","0x0008","0x2a04","6","52","104.121.5.89","172.29.250.200","32","0","443","44372","3082","863","65535","0x5b1c"
"20","Mar 13, 2025 12:09:40.212300000 CET","172","172","0x0009","0x2999","6","158","104.121.5.89","172.29.250.200","32","106","443","44372","3082","863","65535","0x7bd9"
"21","Mar 13, 2025 12:09:40.212503000 CET","104","104","0x164d","0x0f99","6","90","172.29.250.200","104.121.5.89","32","38","44372","443","863","3188","501","0x1505"
"22","Mar 13, 2025 12:09:40.238456000 CET","66","66","0x000a","0x2a02","6","52","104.121.5.89","172.29.250.200","32","0","443","44372","3188","901","65535","0x5a48"
"23","Mar 13, 2025 12:09:40.356453000 CET","278","278","0x000b","0x292d","6","264","104.121.5.89","172.29.250.200","32","212","443","44372","3188","901","65535","0x8301"
"24","Mar 13, 2025 12:09:40.356453000 CET","2762","2762","0x000c","0x1f78","6","2748","104.121.5.89","172.29.250.200","32","2696","443","44372","3400","901","65535","0x14bf"
"25","Mar 13, 2025 12:09:40.356454000 CET","599","599","0x000e","0x27e9","6","585","104.121.5.89","172.29.250.200","32","533","443","44372","6096","901","65535","0xc96a"
"26","Mar 13, 2025 12:09:40.356569000 CET","66","66","0x164e","0x0fbe","6","52","172.29.250.200","104.121.5.89","32","0","44372","443","901","6629","490","0x14df"
"27","Mar 13, 2025 12:09:40.359771000 CET","13546","13546","0x000f","0xf554","6","13532","104.121.5.89","172.29.250.200","32","13480","443","44372","6629","901","65535","0x14bf"
"28","Mar 13, 2025 12:09:40.359840000 CET","66","66","0x164f","0x0fbd","6","52","172.29.250.200","104.121.5.89","32","0","44372","443","901","20109","447","0x14df"
"29","Mar 13, 2025 12:09:40.363539000 CET","2762","2762","0x0019","0x1f6b","6","2748","104.121.5.89","172.29.250.200","32","2696","443","44372","20109","901","65535","0x14bf"
"30","Mar 13, 2025 12:09:40.363567000 CET","66","66","0x1650","0x0fbc","6","52","172.29.250.200","104.121.5.89","32","0","44372","443","901","22805","499","0x14df"
"31","Mar 13, 2025 12:09:40.364196000 CET","2762","2762","0x001b","0x1f69","6","2748","104.121.5.89","172.29.250.200","32","2696","443","44372","22805","901","65535","0x14bf"
"32","Mar 13, 2025 12:09:40.364223000 CET","66","66","0x1651","0x0fbb","6","52","172.29.250.200","104.121.5.89","32","0","44372","443","901","25501","499","0x14df"
"33","Mar 13, 2025 12:09:40.366597000 CET","8154","8154","0x001d","0x0a57","6","8140","104.121.5.89","172.29.250.200","32","8088","443","44372","25501","901","65535","0x14bf"
"34","Mar 13, 2025 12:09:40.366664000 CET","66","66","0x1652","0x0fba","6","52","172.29.250.200","104.121.5.89","32","0","44372","443","901","33589","501","0x14df"
"35","Mar 13, 2025 12:09:40.370550000 CET","14894","14894","0x0023","0xeffc","6","14880","104.121.5.89","172.29.250.200","32","14828","443","44372","33589","901","65535","0x14bf"
"36","Mar 13, 2025 12:09:40.370616000 CET","66","66","0x1653","0x0fb9","6","52","172.29.250.200","104.121.5.89","32","0","44372","443","901","48417","447","0x14df"
"37","Mar 13, 2025 12:09:40.371537000 CET","8154","8154","0x002e","0x0a46","6","8140","104.121.5.89","172.29.250.200","32","8088","443","44372","48417","901","65535","0x14bf"
"38","Mar 13, 2025 12:09:40.371552000 CET","66","66","0x1654","0x0fb8","6","52","172.29.250.200","104.121.5.89","32","0","44372","443","901","56505","447","0x14df"
"39","Mar 13, 2025 12:09:40.376833000 CET","16242","16242","0x0034","0xeaa7","6","16228","104.121.5.89","172.29.250.200","32","16176","443","44372","56505","901","65535","0x14bf"
"40","Mar 13, 2025 12:09:40.376895000 CET","66","66","0x1655","0x0fb7","6","52","172.29.250.200","104.121.5.89","32","0","44372","443","901","72681","501","0x14df"
"41","Mar 13, 2025 12:09:40.378945000 CET","4110","4110","0x0040","0x1a00","6","4096","104.121.5.89","172.29.250.200","32","4044","443","44372","72681","901","65535","0x14bf"
"42","Mar 13, 2025 12:09:40.378956000 CET","66","66","0x1656","0x0fb6","6","52","172.29.250.200","104.121.5.89","32","0","44372","443","901","76725","564","0x14df"
"43","Mar 13, 2025 12:09:40.384210000 CET","12198","12198","0x0043","0xfa64","6","12184","104.121.5.89","172.29.250.200","32","12132","443","44372","76725","901","65535","0x14bf"
"44","Mar 13, 2025 12:09:40.384239000 CET","66","66","0x1657","0x0fb5","6","52","172.29.250.200","104.121.5.89","32","0","44372","443","901","88857","754","0x14df"
"45","Mar 13, 2025 12:09:40.387776000 CET","8154","8154","0x004c","0x0a28","6","8140","104.121.5.89","172.29.250.200","32","8088","443","44372","88857","901","65535","0x14bf"
"46","Mar 13, 2025 12:09:40.387796000 CET","66","66","0x1658","0x0fb4","6","52","172.29.250.200","104.121.5.89","32","0","44372","443","901","96945","880","0x14df"
"47","Mar 13, 2025 12:09:40.390697000 CET","1414","1414","0x0052","0x2476","6","1400","104.121.5.89","172.29.250.200","32","1348","443","44372","96945","901","65535","0xbf6c"
"48","Mar 13, 2025 12:09:40.395837000 CET","14894","14894","0x0053","0xefcc","6","14880","104.121.5.89","172.29.250.200","32","14828","443","44372","98293","901","65535","0x14bf"
"49","Mar 13, 2025 12:09:40.395873000 CET","66","66","0x1659","0x0fb3","6","52","172.29.250.200","104.121.5.89","32","0","44372","443","901","113121","1135","0x14df"
"50","Mar 13, 2025 12:09:40.396495000 CET","8154","8154","0x005e","0x0a16","6","8140","104.121.5.89","172.29.250.200","32","8088","443","44372","113121","901","65535","0x14bf"
"51","Mar 13, 2025 12:09:40.396518000 CET","66","66","0x165a","0x0fb2","6","52","172.29.250.200","104.121.5.89","32","0","44372","443","901","121209","1261","0x14df"
"52","Mar 13, 2025 12:09:40.399391000 CET","20286","20286","0x0064","0xdaab","6","20272","104.121.5.89","172.29.250.200","32","20220","443","44372","121209","901","65535","0x14bf"
