frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 13, 2025 12:25:25.948645000 CET","74","74","0x67b3","0xadcc","6","60","172.29.250.200","182.61.200.24","40","0","60916","443","0","0","64240","0x256b"
"2","Mar 13, 2025 12:25:26.285008000 CET","74","74","0x67b3","0xcbcc","6","60","182.61.200.24","172.29.250.200","40","0","443","60916","0","1","8192","0x20f9"
"3","Mar 13, 2025 12:25:26.285063000 CET","54","54","0x67b4","0xaddf","6","40","172.29.250.200","182.61.200.24","20","0","60916","443","1","1","502","0x2557"
"4","Mar 13, 2025 12:25:26.287091000 CET","571","571","0x67b5","0xabd9","6","557","172.29.250.200","182.61.200.24","20","517","60916","443","1","1","502","0x275c"
"5","Mar 13, 2025 12:25:26.322620000 CET","54","54","0x0001","0x1993","6","40","182.61.200.24","172.29.250.200","20","0","443","60916","1","518","65535","0xa36c"
"6","Mar 13, 2025 12:25:26.631176000 CET","1414","1414","0x0002","0x1442","6","1400","182.61.200.24","172.29.250.200","20","1360","443","60916","1","518","65535","0xb608"
"7","Mar 13, 2025 12:25:26.631193000 CET","54","54","0x67b6","0xaddd","6","40","172.29.250.200","182.61.200.24","20","0","60916","443","518","1361","501","0x2557"
"8","Mar 13, 2025 12:25:26.634613000 CET","2774","2774","0x0003","0x0ef1","6","2760","182.61.200.24","172.29.250.200","20","2720","443","60916","1361","518","65535","0x2543"
"9","Mar 13, 2025 12:25:26.634613000 CET","1172","1172","0x0005","0x1531","6","1158","182.61.200.24","172.29.250.200","20","1118","443","60916","4081","518","65535","0x54c4"
"10","Mar 13, 2025 12:25:26.634624000 CET","54","54","0x67b7","0xaddc","6","40","172.29.250.200","182.61.200.24","20","0","60916","443","518","4081","499","0x2557"
"11","Mar 13, 2025 12:25:26.634644000 CET","54","54","0x67b8","0xaddb","6","40","172.29.250.200","182.61.200.24","20","0","60916","443","518","5199","493","0x2557"
"12","Mar 13, 2025 12:25:26.635970000 CET","147","147","0x67b9","0xad7d","6","133","172.29.250.200","182.61.200.24","20","93","60916","443","518","5199","501","0x25b4"
"13","Mar 13, 2025 12:25:26.655308000 CET","54","54","0x0006","0x198e","6","40","182.61.200.24","172.29.250.200","20","0","443","60916","5199","611","65535","0x8ec1"
"14","Mar 13, 2025 12:25:26.961963000 CET","105","105","0x0007","0x195a","6","91","182.61.200.24","172.29.250.200","20","51","443","60916","5199","611","65535","0xfc44"
"15","Mar 13, 2025 12:25:26.962254000 CET","161","161","0x67ba","0xad6e","6","147","172.29.250.200","182.61.200.24","20","107","60916","443","611","5250","501","0x25c2"
"16","Mar 13, 2025 12:25:26.995695000 CET","54","54","0x0008","0x198c","6","40","182.61.200.24","172.29.250.200","20","0","443","60916","5250","718","65535","0x8e23"
"17","Mar 13, 2025 12:25:27.336020000 CET","13654","13654","0x0009","0xe46a","6","13640","182.61.200.24","172.29.250.200","20","13600","443","60916","5250","718","65535","0x2543"
"18","Mar 13, 2025 12:25:27.336170000 CET","54","54","0x67bb","0xadd8","6","40","172.29.250.200","182.61.200.24","20","0","60916","443","718","18850","447","0x2557"
"19","Mar 13, 2025 12:25:27.337124000 CET","12294","12294","0x0013","0xe9b0","6","12280","182.61.200.24","172.29.250.200","20","12240","443","60916","18850","718","65535","0x2543"
"20","Mar 13, 2025 12:25:27.337124000 CET","1183","1183","0x001c","0x150f","6","1169","182.61.200.24","172.29.250.200","20","1129","443","60916","31090","718","65535","0xc816"
"21","Mar 13, 2025 12:25:27.337132000 CET","54","54","0x67bc","0xadd7","6","40","172.29.250.200","182.61.200.24","20","0","60916","443","718","31090","447","0x2557"
"22","Mar 13, 2025 12:25:27.341555000 CET","4134","4134","0x001d","0x0987","6","4120","182.61.200.24","172.29.250.200","20","4080","443","60916","32219","718","65535","0x2543"
"23","Mar 13, 2025 12:25:27.341556000 CET","918","918","0x0020","0x1614","6","904","182.61.200.24","172.29.250.200","20","864","443","60916","36299","718","65535","0x7579"
"24","Mar 13, 2025 12:25:27.341565000 CET","54","54","0x67bd","0xadd6","6","40","172.29.250.200","182.61.200.24","20","0","60916","443","718","36299","479","0x2557"
"25","Mar 13, 2025 12:25:27.391844000 CET","54","54","0x67be","0xadd5","6","40","172.29.250.200","182.61.200.24","20","0","60916","443","718","37163","501","0x2557"
"26","Mar 13, 2025 12:25:27.402772000 CET","2750","2750","0x0021","0x0eeb","6","2736","182.61.200.24","172.29.250.200","20","2696","443","60916","37163","718","65535","0x2543"
"27","Mar 13, 2025 12:25:27.402780000 CET","54","54","0x67bf","0xadd4","6","40","172.29.250.200","182.61.200.24","20","0","60916","443","718","39859","499","0x2557"
"28","Mar 13, 2025 12:25:27.634102000 CET","1414","1414","0x0023","0x1421","6","1400","182.61.200.24","172.29.250.200","20","1360","443","60916","39859","718","65535","0x0b85"
"29","Mar 13, 2025 12:25:27.634122000 CET","54","54","0x67c0","0xadd3","6","40","172.29.250.200","182.61.200.24","20","0","60916","443","718","41219","501","0x2557"
"30","Mar 13, 2025 12:25:27.642758000 CET","31334","31334","0x0024","0x9f3f","6","31320","182.61.200.24","172.29.250.200","20","31280","443","60916","41219","718","65535","0x2543"
"31","Mar 13, 2025 12:25:27.642759000 CET","135","135","0x003b","0x1908","6","121","182.61.200.24","172.29.250.200","20","81","443","60916","72499","718","65535","0x275c"
"32","Mar 13, 2025 12:25:27.642784000 CET","54","54","0x67c1","0xadd2","6","40","172.29.250.200","182.61.200.24","20","0","60916","443","718","72499","383","0x2557"
"33","Mar 13, 2025 12:25:27.642789000 CET","54","54","0x67c2","0xadd1","6","40","172.29.250.200","182.61.200.24","20","0","60916","443","718","72580","383","0x2557"
"34","Mar 13, 2025 12:25:27.643005000 CET","85","85","0x67c3","0xadb1","6","71","172.29.250.200","182.61.200.24","20","31","60916","443","718","72580","501","0x2576"
"35","Mar 13, 2025 12:25:27.643045000 CET","54","54","0x67c4","0xadcf","6","40","172.29.250.200","182.61.200.24","20","0","60916","443","749","72580","501","0x2557"
"36","Mar 13, 2025 12:25:27.661665000 CET","54","54","0x003c","0x1958","6","40","182.61.200.24","172.29.250.200","20","0","443","60916","72580","749","65535","0x8701"
"37","Mar 13, 2025 12:25:27.964182000 CET","85","85","0x003d","0x1938","6","71","182.61.200.24","172.29.250.200","20","31","443","60916","72580","749","65535","0xcfdc"
"38","Mar 13, 2025 12:25:27.964238000 CET","54","54","0x0000","0x1594","6","40","172.29.250.200","182.61.200.24","20","0","60916","443","749","0","0","0xafbc"
