frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 13, 2025 12:18:49.390912000 CET","74","74","0x29fb","0xe223","6","60","172.29.250.200","151.101.240.81","40","0","44062","443","0","0","64240","0x2ecc"
"2","Mar 13, 2025 12:18:49.421032000 CET","74","74","0x0000","0x191f","6","60","151.101.240.81","172.29.250.200","40","0","443","44062","0","1","65535","0x9936"
"3","Mar 13, 2025 12:18:49.421084000 CET","66","66","0x29fc","0xe22a","6","52","172.29.250.200","151.101.240.81","32","0","44062","443","1","1","502","0x2ec4"
"4","Mar 13, 2025 12:18:49.423131000 CET","583","583","0x29fd","0xe024","6","569","172.29.250.200","151.101.240.81","32","517","44062","443","1","1","502","0x30c9"
"5","Mar 13, 2025 12:18:49.460460000 CET","66","66","0x0001","0x1026","6","52","151.101.240.81","172.29.250.200","32","0","443","44062","1","518","20478","0x757d"
"6","Mar 13, 2025 12:18:49.460461000 CET","1414","1414","0x0002","0x0ae1","6","1400","151.101.240.81","172.29.250.200","32","1348","443","44062","1","518","20480","0x517d"
"7","Mar 13, 2025 12:18:49.460502000 CET","66","66","0x29fe","0xe228","6","52","172.29.250.200","151.101.240.81","32","0","44062","443","518","1349","501","0x2ec4"
"8","Mar 13, 2025 12:18:49.466037000 CET","2762","2762","0x0003","0x059c","6","2748","151.101.240.81","172.29.250.200","32","2696","443","44062","1349","518","20480","0x2ea4"
"9","Mar 13, 2025 12:18:49.466037000 CET","1054","1054","0x0005","0x0c46","6","1040","151.101.240.81","172.29.250.200","32","988","443","44062","4045","518","20480","0x469b"
"10","Mar 13, 2025 12:18:49.466065000 CET","66","66","0x29ff","0xe227","6","52","172.29.250.200","151.101.240.81","32","0","44062","443","518","4045","499","0x2ec4"
"11","Mar 13, 2025 12:18:49.466071000 CET","66","66","0x2a00","0xe226","6","52","172.29.250.200","151.101.240.81","32","0","44062","443","518","5033","493","0x2ec4"
"12","Mar 13, 2025 12:18:49.467189000 CET","130","130","0x2a01","0xe1e5","6","116","172.29.250.200","151.101.240.81","32","64","44062","443","518","5033","493","0x2f04"
"13","Mar 13, 2025 12:18:49.467278000 CET","161","161","0x2a02","0xe1c5","6","147","172.29.250.200","151.101.240.81","32","95","44062","443","582","5033","493","0x2f23"
"14","Mar 13, 2025 12:18:49.467292000 CET","101","101","0x2a03","0xe200","6","87","172.29.250.200","151.101.240.81","32","35","44062","443","677","5033","493","0x2ee7"
"15","Mar 13, 2025 12:18:49.467506000 CET","127","127","0x2a04","0xe1e5","6","113","172.29.250.200","151.101.240.81","32","61","44062","443","712","5033","501","0x2f01"
"16","Mar 13, 2025 12:18:49.492301000 CET","66","66","0x0006","0x1021","6","52","151.101.240.81","172.29.250.200","32","0","443","44062","5033","677","20479","0x60e7"
"17","Mar 13, 2025 12:18:49.495880000 CET","131","131","0x0007","0x0fdf","6","117","151.101.240.81","172.29.250.200","32","65","443","44062","5033","677","20480","0xa461"
