frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 13, 2025 12:12:21.381906000 CET","74","74","0x65d3","0x4562","6","60","172.29.250.200","23.51.209.109","40","0","34790","443","0","0","64240","0x8fb5"
"2","Mar 13, 2025 12:12:21.438904000 CET","74","74","0x0000","0xbe35","6","60","23.51.209.109","172.29.250.200","40","0","443","34790","0","1","65160","0xfe90"
"3","Mar 13, 2025 12:12:21.438904000 CET","74","74","0x0000","0xbe35","6","60","23.51.209.109","172.29.250.200","40","0","443","34790","0","1","65160","0xfe84"
"4","Mar 13, 2025 12:12:21.438940000 CET","66","66","0x65d4","0x4569","6","52","172.29.250.200","23.51.209.109","32","0","34790","443","1","1","502","0x8fad"
"5","Mar 13, 2025 12:12:21.438948000 CET","66","66","0x65d5","0x4568","6","52","172.29.250.200","23.51.209.109","32","0","34790","443","1","1","502","0x8fad"
"6","Mar 13, 2025 12:12:21.440678000 CET","583","583","0x65d6","0x4362","6","569","172.29.250.200","23.51.209.109","32","517","34790","443","1","1","502","0x91b2"
"7","Mar 13, 2025 12:12:21.474792000 CET","66","66","0x0001","0xaf3c","6","52","23.51.209.109","172.29.250.200","32","0","443","34790","1","518","65535","0x2933"
"8","Mar 13, 2025 12:12:21.496960000 CET","2762","2762","0x0002","0xa4b3","6","2748","23.51.209.109","172.29.250.200","32","2696","443","34790","1","518","65535","0x8f8d"
"9","Mar 13, 2025 12:12:21.496960000 CET","903","903","0x0004","0xabf4","6","889","23.51.209.109","172.29.250.200","32","837","443","34790","2697","518","65535","0xa99c"
"10","Mar 13, 2025 12:12:21.496987000 CET","66","66","0x65d7","0x4566","6","52","172.29.250.200","23.51.209.109","32","0","34790","443","518","2697","499","0x8fad"
"11","Mar 13, 2025 12:12:21.496993000 CET","66","66","0x65d8","0x4565","6","52","172.29.250.200","23.51.209.109","32","0","34790","443","518","3534","494","0x8fad"
"12","Mar 13, 2025 12:12:21.498188000 CET","146","146","0x65d9","0x4514","6","132","172.29.250.200","23.51.209.109","32","80","34790","443","518","3534","501","0x8ffd"
