frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 13, 2025 12:20:29.880201000 CET","42","42",,,,,,,,,,,,,,
"2","Mar 13, 2025 12:20:29.880218000 CET","42","42",,,,,,,,,,,,,,
"3","Mar 13, 2025 12:20:30.487786000 CET","74","74","0x6050","0xa91a","6","60","172.29.250.200","151.101.243.5","40","0","39410","443","0","0","64240","0x3180"
"4","Mar 13, 2025 12:20:30.545324000 CET","74","74","0x0000","0x176b","6","60","151.101.243.5","172.29.250.200","40","0","443","39410","0","1","65535","0x2bf1"
"5","Mar 13, 2025 12:20:30.545385000 CET","66","66","0x6051","0xa921","6","52","172.29.250.200","151.101.243.5","32","0","39410","443","1","1","502","0x3178"
"6","Mar 13, 2025 12:20:30.547669000 CET","583","583","0x6052","0xa71b","6","569","172.29.250.200","151.101.243.5","32","517","39410","443","1","1","502","0x337d"
"7","Mar 13, 2025 12:20:30.581285000 CET","66","66","0x0001","0x0d72","6","52","151.101.243.5","172.29.250.200","32","0","443","39410","1","518","20478","0x081c"
"8","Mar 13, 2025 12:20:30.587135000 CET","1414","1414","0x0002","0x082d","6","1400","151.101.243.5","172.29.250.200","32","1348","443","39410","1","518","20480","0xcca1"
"9","Mar 13, 2025 12:20:30.587164000 CET","66","66","0x6053","0xa91f","6","52","172.29.250.200","151.101.243.5","32","0","39410","443","518","1349","501","0x3178"
"10","Mar 13, 2025 12:20:30.590830000 CET","2220","2220","0x0003","0x0506","6","2206","151.101.243.5","172.29.250.200","32","2154","443","39410","1349","518","20480","0x39e2"
"11","Mar 13, 2025 12:20:30.590860000 CET","66","66","0x6054","0xa91e","6","52","172.29.250.200","151.101.243.5","32","0","39410","443","518","3503","499","0x3178"
"12","Mar 13, 2025 12:20:30.591914000 CET","130","130","0x6055","0xa8dd","6","116","172.29.250.200","151.101.243.5","32","64","39410","443","518","3503","499","0x31b8"
"13","Mar 13, 2025 12:20:30.592041000 CET","161","161","0x6056","0xa8bd","6","147","172.29.250.200","151.101.243.5","32","95","39410","443","582","3503","499","0x31d7"
"14","Mar 13, 2025 12:20:30.592140000 CET","161","161","0x6057","0xa8bc","6","147","172.29.250.200","151.101.243.5","32","95","39410","443","677","3503","501","0x31d7"
"15","Mar 13, 2025 12:20:30.622901000 CET","66","66","0x0005","0x0d6e","6","52","151.101.243.5","172.29.250.200","32","0","443","39410","3503","582","20479","0xf9d8"
"16","Mar 13, 2025 12:20:30.628606000 CET","66","66","0x0006","0x0d6d","6","52","151.101.243.5","172.29.250.200","32","0","443","39410","3503","772","20479","0xf915"
"17","Mar 13, 2025 12:20:30.629824000 CET","131","131","0x0007","0x0d2b","6","117","151.101.243.5","172.29.250.200","32","65","443","39410","3503","772","20480","0x6d06"
"18","Mar 13, 2025 12:20:30.629918000 CET","97","97","0x6058","0xa8fb","6","83","172.29.250.200","151.101.243.5","32","31","39410","443","772","3568","501","0x3197"
