frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 13, 2025 12:22:30.204347000 CET","74","74","0xbe91","0xb26d","6","60","172.29.250.200","2.22.32.193","40","0","46076","443","0","0","64240","0xc9eb"
"2","Mar 13, 2025 12:22:30.241458000 CET","74","74","0x0000","0x7eff","6","60","2.22.32.193","172.29.250.200","40","0","443","46076","0","1","65160","0xb2bb"
"3","Mar 13, 2025 12:22:30.241459000 CET","74","74","0x0000","0x7eff","6","60","2.22.32.193","172.29.250.200","40","0","443","46076","0","1","65160","0xb2b6"
"4","Mar 13, 2025 12:22:30.241536000 CET","66","66","0xbe92","0xb274","6","52","172.29.250.200","2.22.32.193","32","0","46076","443","1","1","502","0xc9e3"
"5","Mar 13, 2025 12:22:30.241551000 CET","66","66","0xbe93","0xb273","6","52","172.29.250.200","2.22.32.193","32","0","46076","443","1","1","502","0xc9e3"
"6","Mar 13, 2025 12:22:30.243893000 CET","583","583","0xbe94","0xb06d","6","569","172.29.250.200","2.22.32.193","32","517","46076","443","1","1","502","0xcbe8"
"7","Mar 13, 2025 12:22:30.285428000 CET","66","66","0x0001","0x7506","6","52","2.22.32.193","172.29.250.200","32","0","443","46076","1","518","65535","0xdd65"
"8","Mar 13, 2025 12:22:30.307499000 CET","2762","2762","0x0002","0x6a7d","6","2748","2.22.32.193","172.29.250.200","32","2696","443","46076","1","518","65535","0xc9c3"
"9","Mar 13, 2025 12:22:30.307500000 CET","516","516","0x0004","0x7341","6","502","2.22.32.193","172.29.250.200","32","450","443","46076","2697","518","65535","0x634e"
"10","Mar 13, 2025 12:22:30.307545000 CET","66","66","0xbe95","0xb271","6","52","172.29.250.200","2.22.32.193","32","0","46076","443","518","2697","499","0xc9e3"
"11","Mar 13, 2025 12:22:30.307553000 CET","66","66","0xbe96","0xb270","6","52","172.29.250.200","2.22.32.193","32","0","46076","443","518","3147","496","0xc9e3"
"12","Mar 13, 2025 12:22:30.308841000 CET","146","146","0xbe97","0xb21f","6","132","172.29.250.200","2.22.32.193","32","80","46076","443","518","3147","501","0xca33"
"13","Mar 13, 2025 12:22:30.308903000 CET","161","161","0xbe98","0xb20f","6","147","172.29.250.200","2.22.32.193","32","95","46076","443","598","3147","501","0xca42"
"14","Mar 13, 2025 12:22:30.309080000 CET","167","167","0xbe99","0xb208","6","153","172.29.250.200","2.22.32.193","32","101","46076","443","693","3147","501","0xca48"
"15","Mar 13, 2025 12:22:30.331539000 CET","66","66","0x0005","0x7502","6","52","2.22.32.193","172.29.250.200","32","0","443","46076","3147","693","65535","0xcffa"
"16","Mar 13, 2025 12:22:30.335842000 CET","66","66","0x0006","0x7501","6","52","2.22.32.193","172.29.250.200","32","0","443","46076","3147","794","65535","0xcf90"
"17","Mar 13, 2025 12:22:30.370004000 CET","640","640","0x0007","0x72c2","6","626","2.22.32.193","172.29.250.200","32","574","443","46076","3147","794","65535","0xc9c3"
"18","Mar 13, 2025 12:22:30.392372000 CET","517","517","0x0009","0x733b","6","503","2.22.32.193","172.29.250.200","32","451","443","46076","3721","794","65535","0x290a"
"19","Mar 13, 2025 12:22:30.392488000 CET","97","97","0xbe9a","0xb24d","6","83","172.29.250.200","2.22.32.193","32","31","46076","443","794","4172","501","0xca02"
"20","Mar 13, 2025 12:22:30.394739000 CET","97","97","0x000a","0x74de","6","83","2.22.32.193","172.29.250.200","32","31","443","46076","4172","794","65535","0x0db4"
"21","Mar 13, 2025 12:22:30.394889000 CET","119","119","0xbe9b","0xb236","6","105","172.29.250.200","2.22.32.193","32","53","46076","443","825","4203","501","0xca18"
"22","Mar 13, 2025 12:22:30.425115000 CET","66","66","0x000b","0x74fc","6","52","2.22.32.193","172.29.250.200","32","0","443","46076","4203","825","65535","0xcaae"
"23","Mar 13, 2025 12:22:30.425115000 CET","66","66","0x000c","0x74fb","6","52","2.22.32.193","172.29.250.200","32","0","443","46076","4203","878","65535","0xca77"
"24","Mar 13, 2025 12:22:30.898785000 CET","590","590","0x000d","0x72ee","6","576","2.22.32.193","172.29.250.200","32","524","443","46076","4203","878","65535","0x206a"
"25","Mar 13, 2025 12:22:30.898787000 CET","16242","16242","0x000e","0x35c9","6","16228","2.22.32.193","172.29.250.200","32","16176","443","46076","4727","878","65535","0xc9c3"
"26","Mar 13, 2025 12:22:30.898922000 CET","66","66","0xbe9c","0xb26a","6","52","172.29.250.200","2.22.32.193","32","0","46076","443","878","20903","378","0xc9e3"
"27","Mar 13, 2025 12:22:30.901469000 CET","20286","20286","0x001a","0x25f1","6","20272","2.22.32.193","172.29.250.200","32","20220","443","46076","20903","878","65535","0xc9c3"
"28","Mar 13, 2025 12:22:30.901498000 CET","66","66","0xbe9d","0xb269","6","52","172.29.250.200","2.22.32.193","32","0","46076","443","878","41123","383","0xc9e3"
"29","Mar 13, 2025 12:22:30.906093000 CET","27026","27026","0x0029","0x0b8e","6","27012","2.22.32.193","172.29.250.200","32","26960","443","46076","41123","878","65535","0xc9c3"
"30","Mar 13, 2025 12:22:30.906122000 CET","66","66","0xbe9e","0xb268","6","52","172.29.250.200","2.22.32.193","32","0","46076","443","878","68083","383","0xc9e3"
"31","Mar 13, 2025 12:22:30.922786000 CET","8154","8154","0x003d","0x5532","6","8140","2.22.32.193","172.29.250.200","32","8088","443","46076","68083","878","65535","0xc9c3"
"32","Mar 13, 2025 12:22:30.922824000 CET","66","66","0xbe9f","0xb267","6","52","172.29.250.200","2.22.32.193","32","0","46076","443","878","76171","628","0xc9e3"
"33","Mar 13, 2025 12:22:30.923835000 CET","13546","13546","0x0043","0x401c","6","13532","2.22.32.193","172.29.250.200","32","13480","443","46076","76171","878","65535","0xc9c3"
"34","Mar 13, 2025 12:22:30.923856000 CET","66","66","0xbea0","0xb266","6","52","172.29.250.200","2.22.32.193","32","0","46076","443","878","89651","838","0xc9e3"
"35","Mar 13, 2025 12:22:30.926099000 CET","1414","1414","0x004d","0x6f76","6","1400","2.22.32.193","172.29.250.200","32","1348","443","46076","89651","878","65535","0x0753"
"36","Mar 13, 2025 12:22:30.927770000 CET","14894","14894","0x004e","0x3acd","6","14880","2.22.32.193","172.29.250.200","32","14828","443","46076","90999","878","65535","0xc9c3"
"37","Mar 13, 2025 12:22:30.927790000 CET","66","66","0xbea1","0xb265","6","52","172.29.250.200","2.22.32.193","32","0","46076","443","878","105827","1092","0xc9e3"
"38","Mar 13, 2025 12:22:30.929809000 CET","10850","10850","0x0059","0x4a8e","6","10836","2.22.32.193","172.29.250.200","32","10784","443","46076","105827","878","65535","0xc9c3"
