frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 13, 2025 12:21:31.299960000 CET","74","74","0xf514","0x3e97","6","60","172.29.250.200","142.251.209.46","40","0","51528","443","0","0","64240","0x073f"
"2","Mar 13, 2025 12:21:31.358274000 CET","74","74","0x0000","0x02ac","6","60","142.251.209.46","172.29.250.200","40","0","443","51528","0","1","65535","0x328a"
"3","Mar 13, 2025 12:21:31.358328000 CET","66","66","0xf515","0x3e9e","6","52","172.29.250.200","142.251.209.46","32","0","51528","443","1","1","502","0x0737"
"4","Mar 13, 2025 12:21:31.359990000 CET","583","583","0xf516","0x3c98","6","569","172.29.250.200","142.251.209.46","32","517","51528","443","1","1","502","0x093c"
"5","Mar 13, 2025 12:21:31.398780000 CET","66","66","0x0001","0x37b3","6","52","142.251.209.46","172.29.250.200","32","0","443","51528","1","518","40957","0xbeb4"
"6","Mar 13, 2025 12:21:31.422854000 CET","4110","4110","0x0002","0x27e6","6","4096","142.251.209.46","172.29.250.200","32","4044","443","51528","1","518","40960","0x0717"
"7","Mar 13, 2025 12:21:31.422855000 CET","160","160","0x0005","0x3751","6","146","142.251.209.46","172.29.250.200","32","94","443","51528","4045","518","40960","0x3088"
"8","Mar 13, 2025 12:21:31.422893000 CET","66","66","0xf517","0x3e9c","6","52","172.29.250.200","142.251.209.46","32","0","51528","443","518","4045","479","0x0737"
"9","Mar 13, 2025 12:21:31.422904000 CET","66","66","0xf518","0x3e9b","6","52","172.29.250.200","142.251.209.46","32","0","51528","443","518","4139","479","0x0737"
"10","Mar 13, 2025 12:21:31.424133000 CET","146","146","0xf519","0x3e4a","6","132","172.29.250.200","142.251.209.46","32","80","51528","443","518","4139","501","0x0787"
"11","Mar 13, 2025 12:21:31.424191000 CET","161","161","0xf51a","0x3e3a","6","147","172.29.250.200","142.251.209.46","32","95","51528","443","598","4139","501","0x0796"
"12","Mar 13, 2025 12:21:31.424364000 CET","166","166","0xf51b","0x3e34","6","152","172.29.250.200","142.251.209.46","32","100","51528","443","693","4139","501","0x079b"
"13","Mar 13, 2025 12:21:31.444081000 CET","66","66","0x0006","0x37ae","6","52","142.251.209.46","172.29.250.200","32","0","443","51528","4139","598","40959","0xadcb"
"14","Mar 13, 2025 12:21:31.444081000 CET","66","66","0x0007","0x37ad","6","52","142.251.209.46","172.29.250.200","32","0","443","51528","4139","693","40959","0xad6b"
"15","Mar 13, 2025 12:21:31.447131000 CET","714","714","0x0008","0x3524","6","700","142.251.209.46","172.29.250.200","32","648","443","51528","4139","693","40960","0xbe4f"
"16","Mar 13, 2025 12:21:31.447312000 CET","97","97","0xf51c","0x3e78","6","83","172.29.250.200","142.251.209.46","32","31","51528","443","793","4787","501","0x0756"
"17","Mar 13, 2025 12:21:31.449117000 CET","66","66","0x0009","0x37ab","6","52","142.251.209.46","172.29.250.200","32","0","443","51528","4787","793","40959","0xaa7a"
"18","Mar 13, 2025 12:21:31.459671000 CET","97","97","0x000a","0x378b","6","83","142.251.209.46","172.29.250.200","32","31","443","51528","4787","793","40959","0x10fd"
"19","Mar 13, 2025 12:21:31.459671000 CET","336","336","0x000b","0x369b","6","322","142.251.209.46","172.29.250.200","32","270","443","51528","4818","793","40960","0x37f4"
"20","Mar 13, 2025 12:21:31.459672000 CET","318","318","0x000c","0x36ac","6","304","142.251.209.46","172.29.250.200","32","252","443","51528","5088","793","40960","0x9296"
"21","Mar 13, 2025 12:21:31.459672000 CET","105","105","0x000d","0x3780","6","91","142.251.209.46","172.29.250.200","32","39","443","51528","5340","793","40960","0xcb6a"
"22","Mar 13, 2025 12:21:31.459814000 CET","66","66","0xf51d","0x3e96","6","52","172.29.250.200","142.251.209.46","32","0","51528","443","824","5379","501","0x0737"
"23","Mar 13, 2025 12:21:31.459826000 CET","105","105","0xf51e","0x3e6e","6","91","172.29.250.200","142.251.209.46","32","39","51528","443","824","5379","501","0x075e"
"24","Mar 13, 2025 12:21:31.465571000 CET","66","66","0x000e","0x37a6","6","52","142.251.209.46","172.29.250.200","32","0","443","51528","5379","824","40959","0xa7e5"
"25","Mar 13, 2025 12:21:31.466033000 CET","74","74","0x1cc9","0x16e3","6","60","172.29.250.200","142.251.209.46","40","0","51536","443","0","0","64240","0x073f"
"26","Mar 13, 2025 12:21:31.479306000 CET","66","66","0x000f","0x37a5","6","52","142.251.209.46","172.29.250.200","32","0","443","51528","5379","863","40959","0xa7a3"
"27","Mar 13, 2025 12:21:31.500034000 CET","74","74","0x0000","0x01ac","6","60","142.251.209.46","172.29.250.200","40","0","443","51536","0","1","65535","0x9231"
"28","Mar 13, 2025 12:21:31.500072000 CET","66","66","0x1cca","0x16ea","6","52","172.29.250.200","142.251.209.46","32","0","51536","443","1","1","502","0x0737"
"29","Mar 13, 2025 12:21:31.500615000 CET","583","583","0x1ccb","0x14e4","6","569","172.29.250.200","142.251.209.46","32","517","51536","443","1","1","502","0x093c"
"30","Mar 13, 2025 12:21:31.535880000 CET","66","66","0x0001","0x37b3","6","52","142.251.209.46","172.29.250.200","32","0","443","51536","1","518","40957","0x1e75"
"31","Mar 13, 2025 12:21:31.557304000 CET","4110","4110","0x0002","0x27e6","6","4096","142.251.209.46","172.29.250.200","32","4044","443","51536","1","518","40960","0x0717"
"32","Mar 13, 2025 12:21:31.557304000 CET","160","160","0x0005","0x3751","6","146","142.251.209.46","172.29.250.200","32","94","443","51536","4045","518","40960","0xbf99"
"33","Mar 13, 2025 12:21:31.557337000 CET","66","66","0x1ccc","0x16e8","6","52","172.29.250.200","142.251.209.46","32","0","51536","443","518","4045","479","0x0737"
"34","Mar 13, 2025 12:21:31.557346000 CET","66","66","0x1ccd","0x16e7","6","52","172.29.250.200","142.251.209.46","32","0","51536","443","518","4139","479","0x0737"
"35","Mar 13, 2025 12:21:31.558543000 CET","146","146","0x1cce","0x1696","6","132","172.29.250.200","142.251.209.46","32","80","51536","443","518","4139","501","0x0787"
"36","Mar 13, 2025 12:21:31.558604000 CET","161","161","0x1ccf","0x1686","6","147","172.29.250.200","142.251.209.46","32","95","51536","443","598","4139","501","0x0796"
"37","Mar 13, 2025 12:21:31.559051000 CET","163","163","0x1cd0","0x1683","6","149","172.29.250.200","142.251.209.46","32","97","51536","443","693","4139","501","0x0798"
"38","Mar 13, 2025 12:21:31.577465000 CET","66","66","0x0006","0x37ae","6","52","142.251.209.46","172.29.250.200","32","0","443","51536","4139","598","40959","0x0d95"
"39","Mar 13, 2025 12:21:31.577466000 CET","66","66","0x0007","0x37ad","6","52","142.251.209.46","172.29.250.200","32","0","443","51536","4139","693","40959","0x0d36"
"40","Mar 13, 2025 12:21:31.581225000 CET","745","745","0x0008","0x3505","6","731","142.251.209.46","172.29.250.200","32","679","443","51536","4139","693","40960","0x469c"
"41","Mar 13, 2025 12:21:31.581225000 CET","66","66","0x0009","0x37ab","6","52","142.251.209.46","172.29.250.200","32","0","443","51536","4818","790","40959","0x0a2a"
"42","Mar 13, 2025 12:21:31.581399000 CET","97","97","0x1cd1","0x16c4","6","83","172.29.250.200","142.251.209.46","32","31","51536","443","790","4818","501","0x0756"
