frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 13, 2025 12:19:43.082198000 CET","74","74","0x1c53","0xe567","6","60","172.29.250.200","204.79.197.203","40","0","35278","443","0","0","64240","0x3930"
"2","Mar 13, 2025 12:19:43.105992000 CET","66","66","0xf676","0xdb4b","6","52","204.79.197.203","172.29.250.200","32","0","443","35278","0","1","65535","0xd947"
"3","Mar 13, 2025 12:19:43.106075000 CET","54","54","0x1c54","0xe57a","6","40","172.29.250.200","204.79.197.203","20","0","35278","443","1","1","502","0x391c"
"4","Mar 13, 2025 12:19:43.108459000 CET","571","571","0x1c55","0xe374","6","557","172.29.250.200","204.79.197.203","20","517","35278","443","1","1","502","0x3b21"
"5","Mar 13, 2025 12:19:43.148119000 CET","54","54","0x0001","0x05ce","6","40","204.79.197.203","172.29.250.200","20","0","443","35278","1","518","40957","0x77b4"
"6","Mar 13, 2025 12:19:43.150170000 CET","153","153","0x0002","0x056a","6","139","204.79.197.203","172.29.250.200","20","99","443","35278","1","518","40960","0x2777"
"7","Mar 13, 2025 12:19:43.150195000 CET","54","54","0x1c56","0xe578","6","40","172.29.250.200","204.79.197.203","20","0","35278","443","518","100","502","0x391c"
"8","Mar 13, 2025 12:19:43.150730000 CET","577","577","0x1c57","0xe36c","6","563","172.29.250.200","204.79.197.203","20","523","35278","443","518","100","502","0x3b27"
"9","Mar 13, 2025 12:19:43.171111000 CET","54","54","0x0003","0x05cc","6","40","204.79.197.203","172.29.250.200","20","0","443","35278","100","1041","40957","0x7546"
"10","Mar 13, 2025 12:19:43.178058000 CET","4134","4134","0x0004","0xf5da","6","4120","204.79.197.203","172.29.250.200","20","4080","443","35278","100","1041","40960","0x3908"
"11","Mar 13, 2025 12:19:43.178059000 CET","201","201","0x0007","0x0535","6","187","204.79.197.203","172.29.250.200","20","147","443","35278","4180","1041","40960","0x324d"
"12","Mar 13, 2025 12:19:43.178179000 CET","54","54","0x1c58","0xe576","6","40","172.29.250.200","204.79.197.203","20","0","35278","443","1041","4327","479","0x391c"
"13","Mar 13, 2025 12:19:43.179940000 CET","128","128","0x1c59","0xe52b","6","114","172.29.250.200","204.79.197.203","20","74","35278","443","1041","4327","501","0x3966"
"14","Mar 13, 2025 12:19:43.180002000 CET","149","149","0x1c5a","0xe515","6","135","172.29.250.200","204.79.197.203","20","95","35278","443","1115","4327","501","0x397b"
"15","Mar 13, 2025 12:19:43.180220000 CET","149","149","0x1c5b","0xe514","6","135","172.29.250.200","204.79.197.203","20","95","35278","443","1210","4327","501","0x397b"
"16","Mar 13, 2025 12:19:43.204848000 CET","54","54","0x0008","0x05c7","6","40","204.79.197.203","172.29.250.200","20","0","443","35278","4327","1210","40959","0x6418"
"17","Mar 13, 2025 12:19:43.204848000 CET","513","513","0x0009","0x03fb","6","499","204.79.197.203","172.29.250.200","20","459","443","35278","4327","1210","40960","0xdc89"
"18","Mar 13, 2025 12:19:43.204849000 CET","116","116","0x000a","0x0587","6","102","204.79.197.203","172.29.250.200","20","62","443","35278","4786","1305","40959","0x4caf"
"19","Mar 13, 2025 12:19:43.204849000 CET","85","85","0x000b","0x05a5","6","71","204.79.197.203","172.29.250.200","20","31","443","35278","4848","1305","40959","0x494a"
"20","Mar 13, 2025 12:19:43.205036000 CET","85","85","0x1c5c","0xe553","6","71","172.29.250.200","204.79.197.203","20","31","35278","443","1305","4879","501","0x393b"
"21","Mar 13, 2025 12:19:43.222271000 CET","54","54","0x000c","0x05c3","6","40","204.79.197.203","172.29.250.200","20","0","443","35278","4879","1336","40959","0x6172"
"22","Mar 13, 2025 12:19:43.249310000 CET","1276","1276","0x000d","0x00fc","6","1262","204.79.197.203","172.29.250.200","20","1222","443","35278","4879","1336","40960","0x0d12"
"23","Mar 13, 2025 12:19:43.249542000 CET","96","96","0x1c5d","0xe547","6","82","172.29.250.200","204.79.197.203","20","42","35278","443","1336","6101","501","0x3946"
"24","Mar 13, 2025 12:19:43.270096000 CET","54","54","0x000e","0x05c1","6","40","204.79.197.203","172.29.250.200","20","0","443","35278","6101","1378","40959","0x5c82"
"25","Mar 13, 2025 12:19:43.313187000 CET","1414","1414","0x000f","0x0070","6","1400","204.79.197.203","172.29.250.200","20","1360","443","35278","6101","1378","40960","0xf60c"
"26","Mar 13, 2025 12:19:43.314849000 CET","24534","24534","0x0010","0xa61e","6","24520","204.79.197.203","172.29.250.200","20","24480","443","35278","7461","1378","40960","0x3908"
"27","Mar 13, 2025 12:19:43.314927000 CET","54","54","0x1c5e","0xe570","6","40","172.29.250.200","204.79.197.203","20","0","35278","443","1378","31941","383","0x391c"
"28","Mar 13, 2025 12:19:43.316070000 CET","12294","12294","0x0022","0xd5dc","6","12280","204.79.197.203","172.29.250.200","20","12240","443","35278","31941","1378","40960","0x3908"
"29","Mar 13, 2025 12:19:43.316070000 CET","58","58","0x002b","0x05a0","6","44","204.79.197.203","172.29.250.200","20","4","443","35278","44181","1378","40960","0x3ab7"
"30","Mar 13, 2025 12:19:43.316071000 CET","6854","6854","0x002c","0xeb12","6","6840","204.79.197.203","172.29.250.200","20","6800","443","35278","44185","1378","40960","0x3908"
"31","Mar 13, 2025 12:19:43.316071000 CET","500","500","0x0031","0x03e0","6","486","204.79.197.203","172.29.250.200","20","446","443","35278","50985","1378","40960","0x57a9"
"32","Mar 13, 2025 12:19:43.316081000 CET","54","54","0x1c5f","0xe56f","6","40","172.29.250.200","204.79.197.203","20","0","35278","443","1378","44181","447","0x391c"
"33","Mar 13, 2025 12:19:43.316173000 CET","54","54","0x1c60","0xe56e","6","40","172.29.250.200","204.79.197.203","20","0","35278","443","1378","51431","414","0x391c"
"34","Mar 13, 2025 12:19:43.316350000 CET","78","78","0x1c61","0xe555","6","64","172.29.250.200","204.79.197.203","20","24","35278","443","1378","51431","501","0x3934"
"35","Mar 13, 2025 12:19:43.316410000 CET","54","54","0x1c62","0xe56c","6","40","172.29.250.200","204.79.197.203","20","0","35278","443","1402","51431","501","0x391c"
"36","Mar 13, 2025 12:19:43.335842000 CET","54","54","0x0032","0x059d","6","40","204.79.197.203","172.29.250.200","20","0","443","35278","51431","1402","40959","0xab57"
"37","Mar 13, 2025 12:19:43.567339000 CET","54","54","0x1c63","0xe56b","6","40","172.29.250.200","204.79.197.203","20","0","35278","443","1402","51431","501","0x391c"
"38","Mar 13, 2025 12:19:43.602261000 CET","54","54","0x0033","0x059c","6","40","204.79.197.203","172.29.250.200","20","0","443","35278","51431","1403","40960","0xab55"
"39","Mar 13, 2025 12:19:43.606754000 CET","54","54","0x0034","0x059b","6","40","204.79.197.203","172.29.250.200","20","0","443","35278","51431","1403","40960","0xab54"
"40","Mar 13, 2025 12:19:43.606772000 CET","54","54","0x0000","0x01cf","6","40","172.29.250.200","204.79.197.203","20","0","35278","443","1403","51432","501","0x4960"
