frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 13, 2025 12:11:25.746127000 CET","74","74","0x8ca3","0xe3c4","6","60","172.29.250.200","2.22.33.88","40","0","42006","443","0","0","64240","0xca82"
"2","Mar 13, 2025 12:11:25.795266000 CET","74","74","0x0000","0x7e68","6","60","2.22.33.88","172.29.250.200","40","0","443","42006","0","1","65160","0xd8de"
"3","Mar 13, 2025 12:11:25.795266000 CET","74","74","0x0000","0x7e68","6","60","2.22.33.88","172.29.250.200","40","0","443","42006","0","1","65160","0xd8da"
"4","Mar 13, 2025 12:11:25.795300000 CET","66","66","0x8ca4","0xe3cb","6","52","172.29.250.200","2.22.33.88","32","0","42006","443","1","1","502","0xca7a"
"5","Mar 13, 2025 12:11:25.795307000 CET","66","66","0x8ca5","0xe3ca","6","52","172.29.250.200","2.22.33.88","32","0","42006","443","1","1","502","0xca7a"
"6","Mar 13, 2025 12:11:25.797672000 CET","583","583","0x8ca6","0xe1c4","6","569","172.29.250.200","2.22.33.88","32","517","42006","443","1","1","502","0xcc7f"
"7","Mar 13, 2025 12:11:25.831757000 CET","66","66","0x0001","0x746f","6","52","2.22.33.88","172.29.250.200","32","0","443","42006","1","518","65535","0x038f"
"8","Mar 13, 2025 12:11:25.839706000 CET","2762","2762","0x0002","0x69e6","6","2748","2.22.33.88","172.29.250.200","32","2696","443","42006","1","518","65535","0xca5a"
"9","Mar 13, 2025 12:11:25.839707000 CET","1039","1039","0x0004","0x709f","6","1025","2.22.33.88","172.29.250.200","32","973","443","42006","2697","518","65535","0xc7fc"
"10","Mar 13, 2025 12:11:25.839756000 CET","66","66","0x8ca7","0xe3c8","6","52","172.29.250.200","2.22.33.88","32","0","42006","443","518","2697","499","0xca7a"
