frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 13, 2025 12:16:09.198024000 CET","74","74","0x95ff","0x452e","6","60","172.29.250.200","138.199.45.225","40","0","60900","80","0","0","64240","0x5fbd"
"2","Mar 13, 2025 12:16:09.219872000 CET","74","74","0x0000","0xde2d","6","60","138.199.45.225","172.29.250.200","40","0","80","60900","0","1","43440","0xc4c0"
"3","Mar 13, 2025 12:16:09.219921000 CET","66","66","0x9600","0x4535","6","52","172.29.250.200","138.199.45.225","32","0","60900","80","1","1","502","0x5fb5"
"4","Mar 13, 2025 12:16:09.219996000 CET","141","141","0x9601","0x44e9","6","127","172.29.250.200","138.199.45.225","32","75","60900","80","1","1","502","0x6000"
"5","Mar 13, 2025 12:16:09.237996000 CET","66","66","0x0001","0xdf34","6","52","138.199.45.225","172.29.250.200","32","0","80","60900","1","76","2559","0x927e"
"6","Mar 13, 2025 12:16:09.240979000 CET","1414","1414","0x0002","0xd9ef","6","1400","138.199.45.225","172.29.250.200","32","1348","80","60900","1","76","2560","0xf208"
"7","Mar 13, 2025 12:16:09.241011000 CET","66","66","0x9602","0x4533","6","52","172.29.250.200","138.199.45.225","32","0","60900","80","76","1349","501","0x5fb5"
"8","Mar 13, 2025 12:16:09.242649000 CET","37810","37810","0x0003","0x4bc2","6","37796","138.199.45.225","172.29.250.200","32","37744","80","60900","1349","76","2560","0x5f95"
"9","Mar 13, 2025 12:16:09.242670000 CET","66","66","0x9603","0x4532","6","52","172.29.250.200","138.199.45.225","32","0","60900","80","76","39093","255","0x5fb5"
"10","Mar 13, 2025 12:16:09.245212000 CET","18938","18938","0x001f","0x955e","6","18924","138.199.45.225","172.29.250.200","32","18872","80","60900","39093","76","2560","0x5f95"
"11","Mar 13, 2025 12:16:09.245228000 CET","66","66","0x9604","0x4531","6","52","172.29.250.200","138.199.45.225","32","0","60900","80","76","57965","383","0x5fb5"
"12","Mar 13, 2025 12:16:09.247968000 CET","5458","5458","0x002d","0xc9f8","6","5444","138.199.45.225","172.29.250.200","32","5392","80","60900","57965","76","2560","0x5f95"
"13","Mar 13, 2025 12:16:09.247988000 CET","66","66","0x9605","0x4530","6","52","172.29.250.200","138.199.45.225","32","0","60900","80","76","63357","479","0x5fb5"
"14","Mar 13, 2025 12:16:09.257405000 CET","1414","1414","0x0031","0xd9c0","6","1400","138.199.45.225","172.29.250.200","32","1348","80","60900","63357","76","2560","0xb497"
"15","Mar 13, 2025 12:16:09.257438000 CET","66","66","0x9606","0x452f","6","52","172.29.250.200","138.199.45.225","32","0","60900","80","76","64705","501","0x5fb5"
"16","Mar 13, 2025 12:16:09.261504000 CET","1414","1414","0x0032","0xd9bf","6","1400","138.199.45.225","172.29.250.200","32","1348","80","60900","64705","76","2560","0xfb2b"
"17","Mar 13, 2025 12:16:09.261525000 CET","66","66","0x9607","0x452e","6","52","172.29.250.200","138.199.45.225","32","0","60900","80","76","66053","501","0x5fb5"
"18","Mar 13, 2025 12:16:09.263388000 CET","1414","1414","0x0033","0xd9be","6","1400","138.199.45.225","172.29.250.200","32","1348","80","60900","66053","76","2560","0x151a"
