frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 13, 2025 12:14:22.704648000 CET","74","74","0xd587","0x9b7d","6","60","172.29.250.200","2.22.32.187","40","0","51544","443","0","0","64240","0xc9e5"
"2","Mar 13, 2025 12:14:22.743211000 CET","74","74","0x0000","0x7e05","6","60","2.22.32.187","172.29.250.200","40","0","443","51544","0","1","65160","0x92b7"
"3","Mar 13, 2025 12:14:22.743212000 CET","74","74","0x0000","0x7f05","6","60","2.22.32.187","172.29.250.200","40","0","443","51544","0","1","65160","0x92b3"
"4","Mar 13, 2025 12:14:22.743267000 CET","66","66","0xd588","0x9b84","6","52","172.29.250.200","2.22.32.187","32","0","51544","443","1","1","502","0xc9dd"
"5","Mar 13, 2025 12:14:22.743280000 CET","66","66","0xd589","0x9b83","6","52","172.29.250.200","2.22.32.187","32","0","51544","443","1","1","502","0xc9dd"
"6","Mar 13, 2025 12:14:22.745190000 CET","583","583","0xd58a","0x997d","6","569","172.29.250.200","2.22.32.187","32","517","51544","443","1","1","502","0xcbe2"
"7","Mar 13, 2025 12:14:22.778142000 CET","66","66","0x0001","0x750c","6","52","2.22.32.187","172.29.250.200","32","0","443","51544","1","518","65535","0xbd67"
"8","Mar 13, 2025 12:14:22.779500000 CET","2762","2762","0x0002","0x6a83","6","2748","2.22.32.187","172.29.250.200","32","2696","443","51544","1","518","65535","0xc9bd"
"9","Mar 13, 2025 12:14:22.779500000 CET","961","961","0x0004","0x718a","6","947","2.22.32.187","172.29.250.200","32","895","443","51544","2697","518","65535","0x119c"
"10","Mar 13, 2025 12:14:22.779534000 CET","66","66","0xd58b","0x9b81","6","52","172.29.250.200","2.22.32.187","32","0","51544","443","518","2697","499","0xc9dd"
"11","Mar 13, 2025 12:14:22.779542000 CET","66","66","0xd58c","0x9b80","6","52","172.29.250.200","2.22.32.187","32","0","51544","443","518","3592","493","0xc9dd"
"12","Mar 13, 2025 12:14:22.780761000 CET","146","146","0xd58d","0x9b2f","6","132","172.29.250.200","2.22.32.187","32","80","51544","443","518","3592","501","0xca2d"
"13","Mar 13, 2025 12:14:22.780833000 CET","161","161","0xd58e","0x9b1f","6","147","172.29.250.200","2.22.32.187","32","95","51544","443","598","3592","501","0xca3c"
"14","Mar 13, 2025 12:14:22.780867000 CET","163","163","0xd58f","0x9b1c","6","149","172.29.250.200","2.22.32.187","32","97","51544","443","693","3592","501","0xca3e"
"15","Mar 13, 2025 12:14:22.798095000 CET","66","66","0x0005","0x7508","6","52","2.22.32.187","172.29.250.200","32","0","443","51544","3592","598","65535","0xaed9"
"16","Mar 13, 2025 12:14:22.798095000 CET","66","66","0x0006","0x7507","6","52","2.22.32.187","172.29.250.200","32","0","443","51544","3592","693","65535","0xae7a"
"17","Mar 13, 2025 12:14:22.800182000 CET","66","66","0x0007","0x7506","6","52","2.22.32.187","172.29.250.200","32","0","443","51544","3592","790","65535","0xae14"
"18","Mar 13, 2025 12:14:22.818140000 CET","640","640","0x0008","0x72c7","6","626","2.22.32.187","172.29.250.200","32","574","443","51544","3592","790","65535","0xc9bd"
"19","Mar 13, 2025 12:14:22.818140000 CET","127","127","0x000a","0x74c6","6","113","2.22.32.187","172.29.250.200","32","61","443","51544","4166","790","65535","0xa087"
"20","Mar 13, 2025 12:14:22.818140000 CET","344","344","0x000b","0x73ec","6","330","2.22.32.187","172.29.250.200","32","278","443","51544","4227","790","65535","0x8f28"
"21","Mar 13, 2025 12:14:22.818141000 CET","263","263","0x000c","0x743c","6","249","2.22.32.187","172.29.250.200","32","197","443","51544","4505","790","65535","0x4160"
"22","Mar 13, 2025 12:14:22.818417000 CET","97","97","0xd590","0x9b5d","6","83","172.29.250.200","2.22.32.187","32","31","51544","443","790","4702","501","0xc9fc"
