frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 13, 2025 12:16:51.022404000 CET","74","74","0xabaf","0xe605","6","60","172.29.250.200","192.0.66.32","40","0","44604","443","0","0","64240","0xa935"
"2","Mar 13, 2025 12:16:51.061226000 CET","66","66","0x0000","0x9fbd","6","52","192.0.66.32","172.29.250.200","32","0","443","44604","0","1","42340","0x2688"
"3","Mar 13, 2025 12:16:51.061366000 CET","54","54","0xabb0","0xe618","6","40","172.29.250.200","192.0.66.32","20","0","44604","443","1","1","502","0xa921"
"4","Mar 13, 2025 12:16:51.063647000 CET","571","571","0xabb1","0xe412","6","557","172.29.250.200","192.0.66.32","20","517","44604","443","1","1","502","0xab26"
"5","Mar 13, 2025 12:16:51.094548000 CET","54","54","0x0001","0x95c8","6","40","192.0.66.32","172.29.250.200","20","0","443","44604","1","518","20478","0xba59"
"6","Mar 13, 2025 12:16:51.103725000 CET","1414","1414","0x0002","0x9077","6","1400","192.0.66.32","172.29.250.200","20","1360","443","44604","1","518","20480","0x4a34"
"7","Mar 13, 2025 12:16:51.103726000 CET","1103","1103","0x0003","0x91ad","6","1089","192.0.66.32","172.29.250.200","20","1049","443","44604","1361","518","20480","0xea60"
"8","Mar 13, 2025 12:16:51.103773000 CET","54","54","0xabb2","0xe616","6","40","172.29.250.200","192.0.66.32","20","0","44604","443","518","1361","501","0xa921"
"9","Mar 13, 2025 12:16:51.103825000 CET","54","54","0xabb3","0xe615","6","40","172.29.250.200","192.0.66.32","20","0","44604","443","518","2410","498","0xa921"
"10","Mar 13, 2025 12:16:51.104970000 CET","134","134","0xabb4","0xe5c4","6","120","172.29.250.200","192.0.66.32","20","80","44604","443","518","2410","501","0xa971"
"11","Mar 13, 2025 12:16:51.105034000 CET","149","149","0xabb5","0xe5b4","6","135","172.29.250.200","192.0.66.32","20","95","44604","443","598","2410","501","0xa980"
"12","Mar 13, 2025 12:16:51.105157000 CET","151","151","0xabb6","0xe5b1","6","137","172.29.250.200","192.0.66.32","20","97","44604","443","693","2410","501","0xa982"
"13","Mar 13, 2025 12:16:51.133850000 CET","54","54","0x0004","0x95c5","6","40","192.0.66.32","172.29.250.200","20","0","443","44604","2410","598","20479","0xb09f"
