frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 13, 2025 12:23:29.519047000 CET","74","74","0x4773","0xc358","6","60","172.29.250.200","151.101.241.164","40","0","44804","443","0","0","64240","0x301f"
"2","Mar 13, 2025 12:23:29.569647000 CET","74","74","0x0000","0x17cc","6","60","151.101.241.164","172.29.250.200","40","0","443","44804","0","1","65535","0xec5d"
"3","Mar 13, 2025 12:23:29.569705000 CET","66","66","0x4774","0xc35f","6","52","172.29.250.200","151.101.241.164","32","0","44804","443","1","1","502","0x3017"
"4","Mar 13, 2025 12:23:29.571574000 CET","583","583","0x4775","0xc159","6","569","172.29.250.200","151.101.241.164","32","517","44804","443","1","1","502","0x321c"
"5","Mar 13, 2025 12:23:29.605866000 CET","66","66","0x0001","0x0ed3","6","52","151.101.241.164","172.29.250.200","32","0","443","44804","1","518","20478","0xc890"
"6","Mar 13, 2025 12:23:29.621035000 CET","2762","2762","0x0002","0x044a","6","2748","151.101.241.164","172.29.250.200","32","2696","443","44804","1","518","20480","0x2ff7"
"7","Mar 13, 2025 12:23:29.621036000 CET","1390","1390","0x0004","0x09a4","6","1376","151.101.241.164","172.29.250.200","32","1324","443","44804","2697","518","20480","0xa3ba"
"8","Mar 13, 2025 12:23:29.621066000 CET","66","66","0x4776","0xc35d","6","52","172.29.250.200","151.101.241.164","32","0","44804","443","518","2697","499","0x3017"
"9","Mar 13, 2025 12:23:29.621073000 CET","66","66","0x4777","0xc35c","6","52","172.29.250.200","151.101.241.164","32","0","44804","443","518","4021","492","0x3017"
"10","Mar 13, 2025 12:23:29.622321000 CET","130","130","0x4778","0xc31b","6","116","172.29.250.200","151.101.241.164","32","64","44804","443","518","4021","492","0x3057"
"11","Mar 13, 2025 12:23:29.622406000 CET","161","161","0x4779","0xc2fb","6","147","172.29.250.200","151.101.241.164","32","95","44804","443","582","4021","492","0x3076"
"12","Mar 13, 2025 12:23:29.622838000 CET","163","163","0x477a","0xc2f8","6","149","172.29.250.200","151.101.241.164","32","97","44804","443","677","4021","501","0x3078"
"13","Mar 13, 2025 12:23:29.651937000 CET","66","66","0x0005","0x0ecf","6","52","151.101.241.164","172.29.250.200","32","0","443","44804","4021","677","20479","0xb7dc"
"14","Mar 13, 2025 12:23:29.651938000 CET","131","131","0x0006","0x0e8d","6","117","151.101.241.164","172.29.250.200","32","65","443","44804","4021","677","20480","0xd88b"
"15","Mar 13, 2025 12:23:29.652134000 CET","97","97","0x477b","0xc339","6","83","172.29.250.200","151.101.241.164","32","31","44804","443","774","4086","501","0x3036"
"16","Mar 13, 2025 12:23:29.669522000 CET","66","66","0x0007","0x0ecd","6","52","151.101.241.164","172.29.250.200","32","0","443","44804","4086","774","20479","0xb729"
"17","Mar 13, 2025 12:23:29.671526000 CET","66","66","0x0008","0x0ecc","6","52","151.101.241.164","172.29.250.200","32","0","443","44804","4086","805","20479","0xb6e9"
"18","Mar 13, 2025 12:23:29.671526000 CET","1414","1414","0x0009","0x0987","6","1400","151.101.241.164","172.29.250.200","32","1348","443","44804","4086","805","20479","0xa7bf"
"19","Mar 13, 2025 12:23:29.673999000 CET","9502","9502","0x000a","0xe9ed","6","9488","151.101.241.164","172.29.250.200","32","9436","443","44804","5434","805","20479","0x2ff7"
"20","Mar 13, 2025 12:23:29.673999000 CET","318","318","0x0011","0x0dc7","6","304","151.101.241.164","172.29.250.200","32","252","443","44804","14870","805","20479","0x43d1"
"21","Mar 13, 2025 12:23:29.674087000 CET","66","66","0x477c","0xc357","6","52","172.29.250.200","151.101.241.164","32","0","44804","443","805","15122","447","0x3017"
"22","Mar 13, 2025 12:23:29.675760000 CET","5458","5458","0x0012","0xf9b1","6","5444","151.101.241.164","172.29.250.200","32","5392","443","44804","15122","805","20479","0x2ff7"
"23","Mar 13, 2025 12:23:29.675788000 CET","66","66","0x477d","0xc356","6","52","172.29.250.200","151.101.241.164","32","0","44804","443","805","20514","479","0x3017"
"24","Mar 13, 2025 12:23:29.678941000 CET","4110","4110","0x0016","0xfef1","6","4096","151.101.241.164","172.29.250.200","32","4044","443","44804","20514","805","20479","0x2ff7"
"25","Mar 13, 2025 12:23:29.678968000 CET","66","66","0x477e","0xc355","6","52","172.29.250.200","151.101.241.164","32","0","44804","443","805","24558","479","0x3017"
"26","Mar 13, 2025 12:23:29.685463000 CET","9502","9502","0x0019","0xe9de","6","9488","151.101.241.164","172.29.250.200","32","9436","443","44804","24558","805","20479","0x2ff7"
"27","Mar 13, 2025 12:23:29.685537000 CET","66","66","0x477f","0xc354","6","52","172.29.250.200","151.101.241.164","32","0","44804","443","805","33994","501","0x3017"
"28","Mar 13, 2025 12:23:29.687342000 CET","8154","8154","0x0020","0xef1b","6","8140","151.101.241.164","172.29.250.200","32","8088","443","44804","33994","805","20480","0x2ff7"
"29","Mar 13, 2025 12:23:29.687421000 CET","66","66","0x4780","0xc353","6","52","172.29.250.200","151.101.241.164","32","0","44804","443","805","42082","447","0x3017"
"30","Mar 13, 2025 12:23:29.691332000 CET","21634","21634","0x0026","0xba6d","6","21620","151.101.241.164","172.29.250.200","32","21568","443","44804","42082","805","20480","0x2ff7"
"31","Mar 13, 2025 12:23:29.691390000 CET","66","66","0x4781","0xc352","6","52","172.29.250.200","151.101.241.164","32","0","44804","443","805","63650","383","0x3017"
"32","Mar 13, 2025 12:23:29.692435000 CET","4110","4110","0x0036","0xfed1","6","4096","151.101.241.164","172.29.250.200","32","4044","443","44804","63650","805","20480","0x2ff7"
"33","Mar 13, 2025 12:23:29.692459000 CET","66","66","0x4782","0xc351","6","52","172.29.250.200","151.101.241.164","32","0","44804","443","805","67694","479","0x3017"
"34","Mar 13, 2025 12:23:29.695215000 CET","4110","4110","0x0039","0xfece","6","4096","151.101.241.164","172.29.250.200","32","4044","443","44804","67694","805","20480","0x2ff7"
"35","Mar 13, 2025 12:23:29.695243000 CET","66","66","0x4783","0xc350","6","52","172.29.250.200","151.101.241.164","32","0","44804","443","805","71738","564","0x3017"
"36","Mar 13, 2025 12:23:29.695909000 CET","1414","1414","0x003c","0x0954","6","1400","151.101.241.164","172.29.250.200","32","1348","443","44804","71738","805","20480","0x5ac6"
"37","Mar 13, 2025 12:23:29.701519000 CET","24330","24330","0x003d","0xafce","6","24316","151.101.241.164","172.29.250.200","32","24264","443","44804","73086","805","20480","0x2ff7"
"38","Mar 13, 2025 12:23:29.701540000 CET","66","66","0x4784","0xc34f","6","52","172.29.250.200","151.101.241.164","32","0","44804","443","805","97350","966","0x3017"
"39","Mar 13, 2025 12:23:29.707746000 CET","12198","12198","0x004f","0xdf20","6","12184","151.101.241.164","172.29.250.200","32","12132","443","44804","97350","805","20480","0x2ff7"
"40","Mar 13, 2025 12:23:29.707766000 CET","66","66","0x4785","0xc34e","6","52","172.29.250.200","151.101.241.164","32","0","44804","443","805","109482","1156","0x3017"
"41","Mar 13, 2025 12:23:29.710706000 CET","10850","10850","0x0058","0xe45b","6","10836","151.101.241.164","172.29.250.200","32","10784","443","44804","109482","805","20480","0x2ff7"
"42","Mar 13, 2025 12:23:29.710727000 CET","66","66","0x4786","0xc34d","6","52","172.29.250.200","151.101.241.164","32","0","44804","443","805","120266","1324","0x3017"
"43","Mar 13, 2025 12:23:29.713182000 CET","20286","20286","0x0060","0xbf77","6","20272","151.101.241.164","172.29.250.200","32","20220","443","44804","120266","805","20480","0x2ff7"
"44","Mar 13, 2025 12:23:29.713194000 CET","66","66","0x4787","0xc34c","6","52","172.29.250.200","151.101.241.164","32","0","44804","443","805","140486","1640","0x3017"
"45","Mar 13, 2025 12:23:29.720413000 CET","24330","24330","0x006f","0xaf9c","6","24316","151.101.241.164","172.29.250.200","32","24264","443","44804","140486","805","20480","0x2ff7"
