frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 13, 2025 12:15:09.821401000 CET","74","74","0x4d0f","0x07cf","6","60","172.29.250.200","131.175.187.72","40","0","55966","443","0","0","64240","0xe60c"
"2","Mar 13, 2025 12:15:09.849514000 CET","66","66","0x2283","0x8962","6","52","131.175.187.72","172.29.250.200","32","0","443","55966","0","1","8190","0xa411"
"3","Mar 13, 2025 12:15:09.849549000 CET","54","54","0x4d10","0x07e2","6","40","172.29.250.200","131.175.187.72","20","0","55966","443","1","1","502","0xe5f8"
"4","Mar 13, 2025 12:15:09.851380000 CET","571","571","0x4d11","0x05dc","6","557","172.29.250.200","131.175.187.72","20","517","55966","443","1","1","502","0xe7fd"
"5","Mar 13, 2025 12:15:09.883517000 CET","54","54","0x0001","0x58f1","6","40","131.175.187.72","172.29.250.200","20","0","443","55966","1","518","40957","0x625e"
"6","Mar 13, 2025 12:15:09.895900000 CET","1384","1384","0x0002","0x53be","6","1370","131.175.187.72","172.29.250.200","20","1330","443","55966","1","518","40960","0x5d47"
"7","Mar 13, 2025 12:15:09.895901000 CET","2515","2515","0x0003","0x4f52","6","2501","131.175.187.72","172.29.250.200","20","2461","443","55966","1331","518","40960","0xef95"
"8","Mar 13, 2025 12:15:09.895972000 CET","54","54","0x4d12","0x07e0","6","40","172.29.250.200","131.175.187.72","20","0","55966","443","518","1331","501","0xe5f8"
"9","Mar 13, 2025 12:15:09.895990000 CET","54","54","0x4d13","0x07df","6","40","172.29.250.200","131.175.187.72","20","0","55966","443","518","3792","491","0xe5f8"
"10","Mar 13, 2025 12:15:09.898869000 CET","134","134","0x4d14","0x078e","6","120","172.29.250.200","131.175.187.72","20","80","55966","443","518","3792","501","0xe648"
"11","Mar 13, 2025 12:15:09.898979000 CET","149","149","0x4d15","0x077e","6","135","172.29.250.200","131.175.187.72","20","95","55966","443","598","3792","501","0xe657"
"12","Mar 13, 2025 12:15:09.899008000 CET","89","89","0x4d16","0x07b9","6","75","172.29.250.200","131.175.187.72","20","35","55966","443","693","3792","501","0xe61b"
"13","Mar 13, 2025 12:15:09.899125000 CET","115","115","0x4d17","0x079e","6","101","172.29.250.200","131.175.187.72","20","61","55966","443","728","3792","501","0xe635"
"14","Mar 13, 2025 12:15:09.929282000 CET","54","54","0x0005","0x58ed","6","40","131.175.187.72","172.29.250.200","20","0","443","55966","3792","693","40959","0x52de"
"15","Mar 13, 2025 12:15:09.929283000 CET","54","54","0x0006","0x58ec","6","40","131.175.187.72","172.29.250.200","20","0","443","55966","3792","789","40958","0x527f"
"16","Mar 13, 2025 12:15:09.935469000 CET","699","699","0x0007","0x5666","6","685","131.175.187.72","172.29.250.200","20","645","443","55966","3792","789","40959","0x95a3"
"17","Mar 13, 2025 12:15:09.935713000 CET","85","85","0x4d18","0x07bb","6","71","172.29.250.200","131.175.187.72","20","31","55966","443","789","4437","501","0xe617"
"18","Mar 13, 2025 12:15:09.961572000 CET","54","54","0x0008","0x58ea","6","40","131.175.187.72","172.29.250.200","20","0","443","55966","4437","820","40959","0x4fda"
"19","Mar 13, 2025 12:15:10.047644000 CET","10934","10934","0x0009","0x2e69","6","10920","131.175.187.72","172.29.250.200","20","10880","443","55966","4437","820","40960","0xe5e4"
