frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 13, 2025 12:27:20.591014000 CET","74","74","0xbd18","0xb205","6","60","172.29.250.200","2.22.34.162","40","0","43400","443","0","0","64240","0xcbcc"
"2","Mar 13, 2025 12:27:20.624228000 CET","74","74","0x0000","0x7d1e","6","60","2.22.34.162","172.29.250.200","40","0","443","43400","0","1","65160","0x1dab"
"3","Mar 13, 2025 12:27:20.624228000 CET","74","74","0x0000","0x7d1e","6","60","2.22.34.162","172.29.250.200","40","0","443","43400","0","1","65160","0x1da8"
"4","Mar 13, 2025 12:27:20.624251000 CET","66","66","0xbd19","0xb20c","6","52","172.29.250.200","2.22.34.162","32","0","43400","443","1","1","502","0xcbc4"
"5","Mar 13, 2025 12:27:20.624259000 CET","66","66","0xbd1a","0xb20b","6","52","172.29.250.200","2.22.34.162","32","0","43400","443","1","1","502","0xcbc4"
"6","Mar 13, 2025 12:27:20.625932000 CET","583","583","0xbd1b","0xb005","6","569","172.29.250.200","2.22.34.162","32","517","43400","443","1","1","502","0xcdc9"
"7","Mar 13, 2025 12:27:20.648843000 CET","66","66","0x0001","0x7325","6","52","2.22.34.162","172.29.250.200","32","0","443","43400","1","518","65535","0x486d"
"8","Mar 13, 2025 12:27:20.654804000 CET","4110","4110","0x0002","0x6358","6","4096","2.22.34.162","172.29.250.200","32","4044","443","43400","1","518","65535","0xcba4"
"9","Mar 13, 2025 12:27:20.654805000 CET","118","118","0x0005","0x72ed","6","104","2.22.34.162","172.29.250.200","32","52","443","43400","4045","518","65535","0x875d"
"10","Mar 13, 2025 12:27:20.654805000 CET","1003","1003","0x0006","0x6f77","6","989","2.22.34.162","172.29.250.200","32","937","443","43400","4097","518","65535","0x1baa"
