frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 13, 2025 12:24:22.455880000 CET","111","111",,,,,,,,,,,,,,
"2","Mar 13, 2025 12:24:22.715927000 CET","599","599","0x1190","0x28fa","17","585","172.29.240.1","224.0.0.251",,,,,,,,
"3","Mar 13, 2025 12:24:22.716517000 CET","619","619",,,,,,,,,,,,,,
"4","Mar 13, 2025 12:24:22.717049000 CET","537","537","0x1191","0x2937","17","523","172.29.240.1","224.0.0.251",,,,,,,,
"5","Mar 13, 2025 12:24:22.717475000 CET","557","557",,,,,,,,,,,,,,
"6","Mar 13, 2025 12:24:23.435436000 CET","74","74","0xb63c","0x54c4","6","60","172.29.250.200","151.101.241.111","40","0","39992","443","0","0","64240","0x2fea"
"7","Mar 13, 2025 12:24:23.478555000 CET","74","74","0x0000","0x1801","6","60","151.101.241.111","172.29.250.200","40","0","443","39992","0","1","65535","0x815b"
"8","Mar 13, 2025 12:24:23.478589000 CET","66","66","0xb63d","0x54cb","6","52","172.29.250.200","151.101.241.111","32","0","39992","443","1","1","502","0x2fe2"
"9","Mar 13, 2025 12:24:23.480333000 CET","583","583","0xb63e","0x52c5","6","569","172.29.250.200","151.101.241.111","32","517","39992","443","1","1","502","0x31e7"
"10","Mar 13, 2025 12:24:23.509761000 CET","66","66","0x0001","0x0f08","6","52","151.101.241.111","172.29.250.200","32","0","443","39992","1","518","20478","0x5d95"
"11","Mar 13, 2025 12:24:23.510728000 CET","1414","1414","0x0002","0x09c3","6","1400","151.101.241.111","172.29.250.200","32","1348","443","39992","1","518","20480","0xb281"
"12","Mar 13, 2025 12:24:23.510745000 CET","66","66","0xb63f","0x54c9","6","52","172.29.250.200","151.101.241.111","32","0","39992","443","518","1349","501","0x2fe2"
"13","Mar 13, 2025 12:24:23.514463000 CET","2762","2762","0x0003","0x047e","6","2748","151.101.241.111","172.29.250.200","32","2696","443","39992","1349","518","20480","0x2fc2"
"14","Mar 13, 2025 12:24:23.514463000 CET","349","349","0x0005","0x0de9","6","335","151.101.241.111","172.29.250.200","32","283","443","39992","4045","518","20480","0xfff7"
"15","Mar 13, 2025 12:24:23.514476000 CET","66","66","0xb640","0x54c8","6","52","172.29.250.200","151.101.241.111","32","0","39992","443","518","4045","499","0x2fe2"
"16","Mar 13, 2025 12:24:23.514482000 CET","66","66","0xb641","0x54c7","6","52","172.29.250.200","151.101.241.111","32","0","39992","443","518","4328","497","0x2fe2"
"17","Mar 13, 2025 12:24:23.515439000 CET","130","130","0xb642","0x5486","6","116","172.29.250.200","151.101.241.111","32","64","39992","443","518","4328","501","0x3022"
