frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 13, 2025 12:13:12.055508000 CET","74","74","0x5c06","0xbe18","6","60","172.29.250.200","104.121.17.62","40","0","48470","443","0","0","64240","0x20cc"
"2","Mar 13, 2025 12:13:12.101850000 CET","74","74","0x0000","0x2d1f","6","60","104.121.17.62","172.29.250.200","40","0","443","48470","0","1","65160","0x4219"
"3","Mar 13, 2025 12:13:12.101898000 CET","66","66","0x5c07","0xbe1f","6","52","172.29.250.200","104.121.17.62","32","0","48470","443","1","1","502","0x20c4"
"4","Mar 13, 2025 12:13:12.103641000 CET","583","583","0x5c08","0xbc19","6","569","172.29.250.200","104.121.17.62","32","517","48470","443","1","1","502","0x22c9"
"5","Mar 13, 2025 12:13:12.126845000 CET","66","66","0x0001","0x1e26","6","52","104.121.17.62","172.29.250.200","32","0","443","48470","1","518","65535","0x6cd5"
"6","Mar 13, 2025 12:13:12.139178000 CET","4110","4110","0x0002","0x0e59","6","4096","104.121.17.62","172.29.250.200","32","4044","443","48470","1","518","65535","0x20a4"
"7","Mar 13, 2025 12:13:12.139179000 CET","118","118","0x0005","0x1dee","6","104","104.121.17.62","172.29.250.200","32","52","443","48470","4045","518","65535","0xf854"
"8","Mar 13, 2025 12:13:12.139217000 CET","66","66","0x5c09","0xbe1d","6","52","172.29.250.200","104.121.17.62","32","0","48470","443","518","4045","479","0x20c4"
"9","Mar 13, 2025 12:13:12.139226000 CET","66","66","0x5c0a","0xbe1c","6","52","172.29.250.200","104.121.17.62","32","0","48470","443","518","4097","479","0x20c4"
"10","Mar 13, 2025 12:13:12.145198000 CET","1377","1377","0x0006","0x1902","6","1363","104.121.17.62","172.29.250.200","32","1311","443","48470","4097","518","65535","0xc64e"
"11","Mar 13, 2025 12:13:12.145226000 CET","66","66","0x5c0b","0xbe1b","6","52","172.29.250.200","104.121.17.62","32","0","48470","443","518","5408","501","0x20c4"
"12","Mar 13, 2025 12:13:12.146229000 CET","146","146","0x5c0c","0xbdca","6","132","172.29.250.200","104.121.17.62","32","80","48470","443","518","5408","501","0x2114"
"13","Mar 13, 2025 12:13:12.146268000 CET","172","172","0x5c0d","0xbdaf","6","158","172.29.250.200","104.121.17.62","32","106","48470","443","598","5408","501","0x212e"
"14","Mar 13, 2025 12:13:12.167760000 CET","66","66","0x0007","0x1e20","6","52","104.121.17.62","172.29.250.200","32","0","443","48470","5408","704","65535","0x56a9"
"15","Mar 13, 2025 12:13:12.184668000 CET","640","640","0x0008","0x1be1","6","626","104.121.17.62","172.29.250.200","32","574","443","48470","5408","704","65535","0x20a4"
