frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 13, 2025 12:10:29.684905000 CET","74","74","0x89e6","0x0648","6","60","172.29.250.200","13.107.246.60","40","0","54180","443","0","0","64240","0xaabc"
"2","Mar 13, 2025 12:10:29.720153000 CET","74","74","0x0000","0xa02e","6","60","13.107.246.60","172.29.250.200","40","0","443","54180","0","1","43338","0xf504"
"3","Mar 13, 2025 12:10:29.720188000 CET","66","66","0x89e7","0x064f","6","52","172.29.250.200","13.107.246.60","32","0","54180","443","1","1","502","0xaab4"
"4","Mar 13, 2025 12:10:29.721703000 CET","583","583","0x89e8","0x0449","6","569","172.29.250.200","13.107.246.60","32","517","54180","443","1","1","502","0xacb9"
"5","Mar 13, 2025 12:10:29.751593000 CET","66","66","0x0001","0x9435","6","52","13.107.246.60","172.29.250.200","32","0","443","54180","1","518","20478","0x7a91"
"6","Mar 13, 2025 12:10:29.758510000 CET","165","165","0x0002","0x93d1","6","151","13.107.246.60","172.29.250.200","32","99","443","54180","1","518","20480","0xfbd5"
"7","Mar 13, 2025 12:10:29.758546000 CET","66","66","0x89e9","0x064d","6","52","172.29.250.200","13.107.246.60","32","0","54180","443","518","100","502","0xaab4"
"8","Mar 13, 2025 12:10:29.758896000 CET","589","589","0x89ea","0x0441","6","575","172.29.250.200","13.107.246.60","32","523","54180","443","518","100","502","0xacbf"
"9","Mar 13, 2025 12:10:29.780017000 CET","66","66","0x0003","0x9433","6","52","13.107.246.60","172.29.250.200","32","0","443","54180","100","1041","20478","0x77db"
"10","Mar 13, 2025 12:10:29.783345000 CET","1414","1414","0x0004","0x8eee","6","1400","13.107.246.60","172.29.250.200","32","1348","443","54180","100","1041","20480","0x9ac3"
"11","Mar 13, 2025 12:10:29.786044000 CET","2762","2762","0x0005","0x89a9","6","2748","13.107.246.60","172.29.250.200","32","2696","443","54180","1448","1041","20480","0xaa94"
"12","Mar 13, 2025 12:10:29.786045000 CET","118","118","0x0007","0x93fb","6","104","13.107.246.60","172.29.250.200","32","52","443","54180","4144","1041","20480","0x7207"
"13","Mar 13, 2025 12:10:29.786045000 CET","954","954","0x0008","0x90b6","6","940","13.107.246.60","172.29.250.200","32","888","443","54180","4196","1041","20480","0x1faf"
"14","Mar 13, 2025 12:10:29.786114000 CET","66","66","0x89eb","0x064b","6","52","172.29.250.200","13.107.246.60","32","0","54180","443","1041","5084","494","0xaab4"
"15","Mar 13, 2025 12:10:29.787202000 CET","140","140","0x89ec","0x0600","6","126","172.29.250.200","13.107.246.60","32","74","54180","443","1041","5084","501","0xaafe"
"16","Mar 13, 2025 12:10:29.787288000 CET","161","161","0x89ed","0x05ea","6","147","172.29.250.200","13.107.246.60","32","95","54180","443","1115","5084","501","0xab13"
"17","Mar 13, 2025 12:10:29.787437000 CET","173","173","0x89ee","0x05dd","6","159","172.29.250.200","13.107.246.60","32","107","54180","443","1210","5084","501","0xab1f"
"18","Mar 13, 2025 12:10:29.806222000 CET","66","66","0x0009","0x942d","6","52","13.107.246.60","172.29.250.200","32","0","443","54180","5084","1210","20479","0x6384"
"19","Mar 13, 2025 12:10:29.810863000 CET","66","66","0x000a","0x942c","6","52","13.107.246.60","172.29.250.200","32","0","443","54180","5084","1317","20479","0x6314"
"20","Mar 13, 2025 12:10:29.816144000 CET","353","353","0x000b","0x930c","6","339","13.107.246.60","172.29.250.200","32","287","443","54180","5084","1317","20480","0xa35e"
"21","Mar 13, 2025 12:10:29.818545000 CET","424","424","0x000c","0x92c4","6","410","13.107.246.60","172.29.250.200","32","358","443","54180","5371","1317","20480","0x4ba0"
"22","Mar 13, 2025 12:10:29.818645000 CET","66","66","0x89ef","0x0647","6","52","172.29.250.200","13.107.246.60","32","0","54180","443","1317","5729","501","0xaab4"
"23","Mar 13, 2025 12:10:29.818666000 CET","97","97","0x89f0","0x0627","6","83","172.29.250.200","13.107.246.60","32","31","54180","443","1317","5729","501","0xaad3"
"24","Mar 13, 2025 12:10:29.823687000 CET","5458","5458","0x000d","0x7f19","6","5444","13.107.246.60","172.29.250.200","32","5392","443","54180","5729","1317","20480","0xaa94"
"25","Mar 13, 2025 12:10:29.823773000 CET","66","66","0x89f1","0x0645","6","52","172.29.250.200","13.107.246.60","32","0","54180","443","1348","11121","479","0xaab4"
"26","Mar 13, 2025 12:10:29.825818000 CET","8154","8154","0x0011","0x748d","6","8140","13.107.246.60","172.29.250.200","32","8088","443","54180","11121","1317","20480","0xaa94"
"27","Mar 13, 2025 12:10:29.825870000 CET","66","66","0x89f2","0x0644","6","52","172.29.250.200","13.107.246.60","32","0","54180","443","1348","19209","501","0xaab4"
"28","Mar 13, 2025 12:10:29.827742000 CET","14894","14894","0x0017","0x5a33","6","14880","13.107.246.60","172.29.250.200","32","14828","443","54180","19209","1317","20480","0xaa94"
"29","Mar 13, 2025 12:10:29.827780000 CET","66","66","0x89f3","0x0643","6","52","172.29.250.200","13.107.246.60","32","0","54180","443","1348","34037","447","0xaab4"
