frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 12, 2025 16:07:50.884115000 CET","74","74","0x07a9","0xeda1","6","60","172.29.250.200","2.20.156.119","40","0","56308","443","0","0","64240","0x45a0"
"2","Mar 12, 2025 16:07:50.922636000 CET","74","74","0x0000","0x024b","6","60","2.20.156.119","172.29.250.200","40","0","443","56308","0","1","65160","0x2cbb"
"3","Mar 12, 2025 16:07:50.923180000 CET","66","66","0x07aa","0xeda8","6","52","172.29.250.200","2.20.156.119","32","0","56308","443","1","1","502","0x4598"
"4","Mar 12, 2025 16:07:50.924065000 CET","74","74","0x0000","0x024b","6","60","2.20.156.119","172.29.250.200","40","0","443","56308","0","1","65160","0x2cb7"
"5","Mar 12, 2025 16:07:50.924158000 CET","66","66","0x07ab","0xeda7","6","52","172.29.250.200","2.20.156.119","32","0","56308","443","1","1","502","0x4598"
"6","Mar 12, 2025 16:07:50.925244000 CET","583","583","0x07ac","0xeba1","6","569","172.29.250.200","2.20.156.119","32","517","56308","443","1","1","502","0x479d"
"7","Mar 12, 2025 16:07:50.962517000 CET","66","66","0x0001","0xf951","6","52","2.20.156.119","172.29.250.200","32","0","443","56308","1","518","65535","0x5775"
"8","Mar 12, 2025 16:07:50.968611000 CET","4110","4110","0x0002","0xe984","6","4096","2.20.156.119","172.29.250.200","32","4044","443","56308","1","518","65535","0x4578"
"9","Mar 12, 2025 16:07:50.969092000 CET","118","118","0x0005","0xf919","6","104","2.20.156.119","172.29.250.200","32","52","443","56308","4045","518","65535","0x9f73"
"10","Mar 12, 2025 16:07:50.969205000 CET","76","76","0x0006","0xf942","6","62","2.20.156.119","172.29.250.200","32","10","443","56308","4097","518","65535","0x5a1f"
"11","Mar 12, 2025 16:07:50.969419000 CET","66","66","0x07ad","0xeda5","6","52","172.29.250.200","2.20.156.119","32","0","56308","443","518","4045","479","0x4598"
"12","Mar 12, 2025 16:07:50.969515000 CET","66","66","0x07ae","0xeda4","6","52","172.29.250.200","2.20.156.119","32","0","56308","443","518","4097","479","0x4598"
"13","Mar 12, 2025 16:07:50.969631000 CET","66","66","0x07af","0xeda3","6","52","172.29.250.200","2.20.156.119","32","0","56308","443","518","4107","479","0x4598"
"14","Mar 12, 2025 16:07:50.971597000 CET","146","146","0x07b0","0xed52","6","132","172.29.250.200","2.20.156.119","32","80","56308","443","518","4107","501","0x45e8"
"15","Mar 12, 2025 16:07:50.971833000 CET","112","112","0x07b1","0xed73","6","98","172.29.250.200","2.20.156.119","32","46","56308","443","598","4107","501","0x45c6"
"16","Mar 12, 2025 16:07:50.971879000 CET","115","115","0x07b2","0xed6f","6","101","172.29.250.200","2.20.156.119","32","49","56308","443","644","4107","501","0x45c9"
"17","Mar 12, 2025 16:07:50.972064000 CET","163","163","0x07b3","0xed3e","6","149","172.29.250.200","2.20.156.119","32","97","56308","443","693","4107","501","0x45f9"
"18","Mar 12, 2025 16:07:50.988259000 CET","66","66","0x0007","0xf94b","6","52","2.20.156.119","172.29.250.200","32","0","443","56308","4107","644","65535","0x46a0"
"19","Mar 12, 2025 16:07:51.001041000 CET","66","66","0x0008","0xf94a","6","52","2.20.156.119","172.29.250.200","32","0","443","56308","4107","693","65535","0x466a"
"20","Mar 12, 2025 16:07:51.001441000 CET","66","66","0x0009","0xf949","6","52","2.20.156.119","172.29.250.200","32","0","443","56308","4107","790","65535","0x4609"
"21","Mar 12, 2025 16:07:51.001517000 CET","640","640","0x000a","0xf70a","6","626","2.20.156.119","172.29.250.200","32","574","443","56308","4107","790","65535","0x4578"
"22","Mar 12, 2025 16:07:51.001570000 CET","127","127","0x000c","0xf909","6","113","2.20.156.119","172.29.250.200","32","61","443","56308","4681","790","65535","0x0fb6"
"23","Mar 12, 2025 16:07:51.002071000 CET","66","66","0x07b4","0xed9e","6","52","172.29.250.200","2.20.156.119","32","0","56308","443","790","4742","501","0x4598"
"24","Mar 12, 2025 16:07:51.002233000 CET","97","97","0x07b5","0xed7e","6","83","172.29.250.200","2.20.156.119","32","31","56308","443","790","4742","501","0x45b7"
"25","Mar 12, 2025 16:07:51.006845000 CET","97","97","0x000d","0xf926","6","83","2.20.156.119","172.29.250.200","32","31","443","56308","4742","790","65535","0x21c7"
"26","Mar 12, 2025 16:07:51.026058000 CET","66","66","0x000e","0xf944","6","52","2.20.156.119","172.29.250.200","32","0","443","56308","4773","821","65535","0x4319"
"27","Mar 12, 2025 16:07:51.034492000 CET","574","574","0x000f","0xf747","6","560","2.20.156.119","172.29.250.200","32","508","443","56308","4773","821","65535","0xa8c7"
"28","Mar 12, 2025 16:07:51.034843000 CET","20286","20286","0x0010","0xaa46","6","20272","2.20.156.119","172.29.250.200","32","20220","443","56308","5281","821","65535","0x4578"
"29","Mar 12, 2025 16:07:51.035078000 CET","66","66","0x07b6","0xed9c","6","52","172.29.250.200","2.20.156.119","32","0","56308","443","821","5281","501","0x4598"
"30","Mar 12, 2025 16:07:51.035200000 CET","66","66","0x07b7","0xed9b","6","52","172.29.250.200","2.20.156.119","32","0","56308","443","821","25501","378","0x4598"
"31","Mar 12, 2025 16:07:51.037450000 CET","39158","39158","0x001f","0x607f","6","39144","2.20.156.119","172.29.250.200","32","39092","443","56308","25501","821","65535","0x4578"
"32","Mar 12, 2025 16:07:51.037745000 CET","66","66","0x07b8","0xed9a","6","52","172.29.250.200","2.20.156.119","32","0","56308","443","821","64593","255","0x4598"
"33","Mar 12, 2025 16:07:51.038362000 CET","4110","4110","0x003c","0xe94a","6","4096","2.20.156.119","172.29.250.200","32","4044","443","56308","64593","821","65535","0x4578"
"34","Mar 12, 2025 16:07:51.038489000 CET","66","66","0x07b9","0xed99","6","52","172.29.250.200","2.20.156.119","32","0","56308","443","821","68637","479","0x4598"
"35","Mar 12, 2025 16:07:51.064644000 CET","48594","48594","0x003f","0x3b83","6","48580","2.20.156.119","172.29.250.200","32","48528","443","56308","68637","821","65535","0x4578"
"36","Mar 12, 2025 16:07:51.065487000 CET","66","66","0x07ba","0xed98","6","52","172.29.250.200","2.20.156.119","32","0","56308","443","821","117165","1259","0x4598"
"37","Mar 12, 2025 16:07:51.074069000 CET","12198","12198","0x0063","0xc98b","6","12184","2.20.156.119","172.29.250.200","32","12132","443","56308","117165","821","65535","0x4578"
"38","Mar 12, 2025 16:07:51.074595000 CET","66","66","0x07bb","0xed97","6","52","172.29.250.200","2.20.156.119","32","0","56308","443","821","129297","1449","0x4598"
"39","Mar 12, 2025 16:07:51.090646000 CET","16242","16242","0x006c","0xb9b6","6","16228","2.20.156.119","172.29.250.200","32","16176","443","56308","129297","821","65535","0x4578"
