frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 12, 2025 15:59:43.304695000 CET","74","74","0x78a5","0xc8f9","6","60","172.29.250.200","23.52.59.3","40","0","37366","443","0","0","64240","0xf94b"
"2","Mar 12, 2025 15:59:43.346755000 CET","74","74","0x0000","0x529f","6","60","23.52.59.3","172.29.250.200","40","0","443","37366","0","1","65160","0xf444"
"3","Mar 12, 2025 15:59:43.347110000 CET","74","74","0x0000","0x529f","6","60","23.52.59.3","172.29.250.200","40","0","443","37366","0","1","65160","0xf440"
"4","Mar 12, 2025 15:59:43.347209000 CET","66","66","0x78a6","0xc900","6","52","172.29.250.200","23.52.59.3","32","0","37366","443","1","1","502","0xf943"
"5","Mar 12, 2025 15:59:43.347267000 CET","66","66","0x78a7","0xc8ff","6","52","172.29.250.200","23.52.59.3","32","0","37366","443","1","1","502","0xf943"
"6","Mar 12, 2025 15:59:43.348990000 CET","583","583","0x78a8","0xc6f9","6","569","172.29.250.200","23.52.59.3","32","517","37366","443","1","1","502","0xfb48"
"7","Mar 12, 2025 15:59:43.374579000 CET","66","66","0x0001","0x45a6","6","52","23.52.59.3","172.29.250.200","32","0","443","37366","1","518","65535","0x1efb"
"8","Mar 12, 2025 15:59:43.380900000 CET","2762","2762","0x0002","0x3b1d","6","2748","23.52.59.3","172.29.250.200","32","2696","443","37366","1","518","65535","0xf923"
"9","Mar 12, 2025 15:59:43.381035000 CET","399","399","0x0004","0x4456","6","385","23.52.59.3","172.29.250.200","32","333","443","37366","2697","518","65535","0xb3ed"
"10","Mar 12, 2025 15:59:43.381107000 CET","66","66","0x78a9","0xc8fd","6","52","172.29.250.200","23.52.59.3","32","0","37366","443","518","2697","499","0xf943"
"11","Mar 12, 2025 15:59:43.381157000 CET","66","66","0x78aa","0xc8fc","6","52","172.29.250.200","23.52.59.3","32","0","37366","443","518","3030","497","0xf943"
"12","Mar 12, 2025 15:59:43.382742000 CET","192","192","0x78ab","0xc87d","6","178","172.29.250.200","23.52.59.3","32","126","37366","443","518","3030","501","0xf9c1"
"13","Mar 12, 2025 15:59:43.406858000 CET","66","66","0x0005","0x45a2","6","52","23.52.59.3","172.29.250.200","32","0","443","37366","3030","644","65535","0x1269"
"14","Mar 12, 2025 15:59:43.413868000 CET","117","117","0x0006","0x456e","6","103","23.52.59.3","172.29.250.200","32","51","443","37366","3030","644","65535","0xb568"
"15","Mar 12, 2025 15:59:43.414221000 CET","119","119","0x78ac","0xc8c5","6","105","172.29.250.200","23.52.59.3","32","53","37366","443","644","3081","501","0xf978"
"16","Mar 12, 2025 15:59:43.414306000 CET","122","122","0x78ad","0xc8c1","6","108","172.29.250.200","23.52.59.3","32","56","37366","443","697","3081","501","0xf97b"
"17","Mar 12, 2025 15:59:43.414542000 CET","176","176","0x78ae","0xc88a","6","162","172.29.250.200","23.52.59.3","32","110","37366","443","753","3081","501","0xf9b1"
"18","Mar 12, 2025 15:59:43.433799000 CET","66","66","0x0007","0x45a0","6","52","23.52.59.3","172.29.250.200","32","0","443","37366","3081","753","65535","0x1190"
"19","Mar 12, 2025 15:59:43.434048000 CET","66","66","0x0008","0x459f","6","52","23.52.59.3","172.29.250.200","32","0","443","37366","3081","863","65535","0x1122"
"20","Mar 12, 2025 15:59:43.436330000 CET","172","172","0x0009","0x4534","6","158","23.52.59.3","172.29.250.200","32","106","443","37366","3081","863","65535","0xa82c"
