frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 12, 2025 16:14:43.028389000 CET","74","74","0x5321","0x7fd7","6","60","172.29.250.200","20.189.172.32","40","0","38592","443","0","0","64240","0x67f2"
"2","Mar 12, 2025 16:14:43.038005000 CET","74","74","0xa78d","0x2b6b","6","60","172.29.250.200","20.189.172.32","40","0","38598","443","0","0","64240","0x67f2"
"3","Mar 12, 2025 16:14:43.253682000 CET","74","74","0xf406","0xbff1","6","60","20.189.172.32","172.29.250.200","40","0","443","38592","0","1","65535","0x9091"
"4","Mar 12, 2025 16:14:43.254035000 CET","66","66","0x5322","0x7fde","6","52","172.29.250.200","20.189.172.32","32","0","38592","443","1","1","502","0x67ea"
"5","Mar 12, 2025 16:14:43.254550000 CET","560","560","0x5323","0x7def","6","546","172.29.250.200","20.189.172.32","32","494","38592","443","1","1","502","0x69d8"
"6","Mar 12, 2025 16:14:43.258646000 CET","74","74","0x338b","0x816d","6","60","20.189.172.32","172.29.250.200","40","0","443","38598","0","1","65535","0xfe31"
"7","Mar 12, 2025 16:14:43.258776000 CET","66","66","0xa78e","0x2b72","6","52","172.29.250.200","20.189.172.32","32","0","38598","443","1","1","502","0x67ea"
"8","Mar 12, 2025 16:14:43.259148000 CET","560","560","0xa78f","0x2983","6","546","172.29.250.200","20.189.172.32","32","494","38598","443","1","1","502","0x69d8"
"9","Mar 12, 2025 16:14:43.283772000 CET","66","66","0x0001","0xd6ff","6","52","20.189.172.32","172.29.250.200","32","0","443","38592","1","495","40958","0x1c2b"
"10","Mar 12, 2025 16:14:43.283775000 CET","89","89","0x74e5","0x5e04","6","75","172.29.250.200","20.189.172.32","32","23","58476","443","1","1","501","0x6801"
"11","Mar 12, 2025 16:14:43.288857000 CET","66","66","0x0001","0xd6ff","6","52","20.189.172.32","172.29.250.200","32","0","443","38598","1","495","40958","0x89d1"
"12","Mar 12, 2025 16:14:43.462789000 CET","165","165","0x0002","0xd69b","6","151","20.189.172.32","172.29.250.200","32","99","443","38592","1","495","40960","0x0a0b"
"13","Mar 12, 2025 16:14:43.463112000 CET","66","66","0x5324","0x7fdc","6","52","172.29.250.200","20.189.172.32","32","0","38592","443","495","100","502","0x67ea"
"14","Mar 12, 2025 16:14:43.464046000 CET","631","631","0x5325","0x7da6","6","617","172.29.250.200","20.189.172.32","32","565","38592","443","495","100","502","0x6a1f"
"15","Mar 12, 2025 16:14:43.464758000 CET","165","165","0x0002","0xd69b","6","151","20.189.172.32","172.29.250.200","32","99","443","38598","1","495","40960","0x1ddd"
"16","Mar 12, 2025 16:14:43.464849000 CET","66","66","0xa790","0x2b70","6","52","172.29.250.200","20.189.172.32","32","0","38598","443","495","100","502","0x67ea"
"17","Mar 12, 2025 16:14:43.466170000 CET","631","631","0xa791","0x293a","6","617","172.29.250.200","20.189.172.32","32","565","38598","443","495","100","502","0x6a1f"
"18","Mar 12, 2025 16:14:43.498988000 CET","66","66","0x0003","0xd6fd","6","52","20.189.172.32","172.29.250.200","32","0","443","38598","100","1060","40957","0x85a9"
"19","Mar 12, 2025 16:14:43.498988000 CET","66","66","0x0003","0xd6fd","6","52","20.189.172.32","172.29.250.200","32","0","443","38592","100","1060","40957","0x1800"
"20","Mar 12, 2025 16:14:43.678445000 CET","4110","4110","0x0004","0xc730","6","4096","20.189.172.32","172.29.250.200","32","4044","443","38598","100","1060","40960","0x67ca"
"21","Mar 12, 2025 16:14:43.678465000 CET","4110","4110","0x0004","0xc730","6","4096","20.189.172.32","172.29.250.200","32","4044","443","38592","100","1060","40960","0x67ca"
"22","Mar 12, 2025 16:14:43.678718000 CET","427","427","0x0007","0xd590","6","413","20.189.172.32","172.29.250.200","32","361","443","38598","4144","1060","40960","0x8e05"
"23","Mar 12, 2025 16:14:43.678718000 CET","427","427","0x0007","0xd590","6","413","20.189.172.32","172.29.250.200","32","361","443","38592","4144","1060","40960","0xbf7a"
"24","Mar 12, 2025 16:14:43.678795000 CET","66","66","0xa792","0x2b6e","6","52","172.29.250.200","20.189.172.32","32","0","38598","443","1060","4505","501","0x67ea"
"25","Mar 12, 2025 16:14:43.682541000 CET","364","364","0xa793","0x2a43","6","350","172.29.250.200","20.189.172.32","32","298","38598","443","1060","4505","501","0x6914"
"26","Mar 12, 2025 16:14:43.682831000 CET","66","66","0x5326","0x7fda","6","52","172.29.250.200","20.189.172.32","32","0","38592","443","1060","4505","501","0x67ea"
"27","Mar 12, 2025 16:14:43.685423000 CET","364","364","0x5327","0x7eaf","6","350","172.29.250.200","20.189.172.32","32","298","38592","443","1060","4505","501","0x6914"
"28","Mar 12, 2025 16:14:43.706196000 CET","66","66","0x0008","0xd6f8","6","52","20.189.172.32","172.29.250.200","32","0","443","38592","4505","1358","40958","0x0405"
"29","Mar 12, 2025 16:14:43.713210000 CET","66","66","0x0008","0xd6f8","6","52","20.189.172.32","172.29.250.200","32","0","443","38598","4505","1358","40958","0x71b5"
"30","Mar 12, 2025 16:14:43.882937000 CET","169","169","0x0009","0xd690","6","155","20.189.172.32","172.29.250.200","32","103","443","38592","4505","1358","40960","0x5f69"
"31","Mar 12, 2025 16:14:43.882937000 CET","169","169","0x0009","0xd690","6","155","20.189.172.32","172.29.250.200","32","103","443","38598","4505","1358","40960","0xafc4"
"32","Mar 12, 2025 16:14:43.889199000 CET","442","442","0x000a","0xd57e","6","428","20.189.172.32","172.29.250.200","32","376","443","38598","4608","1358","40960","0x50d1"
"33","Mar 12, 2025 16:14:43.889199000 CET","442","442","0x000a","0xd57e","6","428","20.189.172.32","172.29.250.200","32","376","443","38592","4608","1358","40960","0x8297"
"34","Mar 12, 2025 16:14:43.889556000 CET","66","66","0xa794","0x2b6c","6","52","172.29.250.200","20.189.172.32","32","0","38598","443","1358","4984","501","0x67ea"
"35","Mar 12, 2025 16:14:43.890339000 CET","90","90","0xa795","0x2b53","6","76","172.29.250.200","20.189.172.32","32","24","38598","443","1358","4984","501","0x6802"
"36","Mar 12, 2025 16:14:43.890491000 CET","66","66","0x5328","0x7fd8","6","52","172.29.250.200","20.189.172.32","32","0","38592","443","1358","4984","501","0x67ea"
"37","Mar 12, 2025 16:14:43.890706000 CET","90","90","0x5329","0x7fbf","6","76","172.29.250.200","20.189.172.32","32","24","38592","443","1358","4984","501","0x6802"
"38","Mar 12, 2025 16:14:43.890781000 CET","66","66","0xa796","0x2b6a","6","52","172.29.250.200","20.189.172.32","32","0","38598","443","1382","4984","501","0x67ea"
"39","Mar 12, 2025 16:14:43.890955000 CET","66","66","0x532a","0x7fd6","6","52","172.29.250.200","20.189.172.32","32","0","38592","443","1382","4984","501","0x67ea"
"40","Mar 12, 2025 16:14:43.922240000 CET","66","66","0x000b","0xd6f5","6","52","20.189.172.32","172.29.250.200","32","0","443","38598","4984","1358","40960","0x6e3e"
"41","Mar 12, 2025 16:14:43.922259000 CET","66","66","0x000b","0xd6f5","6","52","20.189.172.32","172.29.250.200","32","0","443","38592","4984","1358","40960","0x0092"
"42","Mar 12, 2025 16:14:43.922703000 CET","66","66","0x000c","0xd6f4","6","52","20.189.172.32","172.29.250.200","32","0","443","38592","4985","1359","40960","0x0091"
"43","Mar 12, 2025 16:14:43.922704000 CET","66","66","0x000c","0xd6f4","6","52","20.189.172.32","172.29.250.200","32","0","443","38598","4985","1359","40960","0x6e3d"
"44","Mar 12, 2025 16:14:43.922787000 CET","66","66","0xa797","0x2b69","6","52","172.29.250.200","20.189.172.32","32","0","38598","443","1383","4985","501","0x67ea"
"45","Mar 12, 2025 16:14:43.922788000 CET","66","66","0x532b","0x7fd5","6","52","172.29.250.200","20.189.172.32","32","0","38592","443","1383","4985","501","0x67ea"
"46","Mar 12, 2025 16:14:43.980367000 CET","74","74","0x0bc1","0x09bf","6","60","172.29.250.200","182.61.200.24","40","0","36460","443","0","0","64240","0x256b"
"47","Mar 12, 2025 16:14:44.215912000 CET","66","66","0xa798","0x2b68","6","52","172.29.250.200","20.189.172.32","32","0","38598","443","1382","4985","501","0x67ea"
