frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 12, 2025 16:08:40.389870000 CET","74","74","0x77bf","0x945f","6","60","172.29.250.200","151.101.240.81","40","0","47782","443","0","0","64240","0x2ecc"
"2","Mar 12, 2025 16:08:40.443434000 CET","74","74","0x0000","0x191f","6","60","151.101.240.81","172.29.250.200","40","0","443","47782","0","1","65535","0xbac1"
"3","Mar 12, 2025 16:08:40.444124000 CET","66","66","0x77c0","0x9466","6","52","172.29.250.200","151.101.240.81","32","0","47782","443","1","1","502","0x2ec4"
"4","Mar 12, 2025 16:08:40.447068000 CET","583","583","0x77c1","0x9260","6","569","172.29.250.200","151.101.240.81","32","517","47782","443","1","1","502","0x30c9"
"5","Mar 12, 2025 16:08:40.486529000 CET","66","66","0x0001","0x1026","6","52","151.101.240.81","172.29.250.200","32","0","443","47782","1","518","20478","0x96ef"
"6","Mar 12, 2025 16:08:40.486847000 CET","1414","1414","0x0002","0x0ae1","6","1400","151.101.240.81","172.29.250.200","32","1348","443","47782","1","518","20480","0xaebd"
"7","Mar 12, 2025 16:08:40.486967000 CET","66","66","0x77c2","0x9464","6","52","172.29.250.200","151.101.240.81","32","0","47782","443","518","1349","501","0x2ec4"
"8","Mar 12, 2025 16:08:40.488681000 CET","2762","2762","0x0003","0x059c","6","2748","151.101.240.81","172.29.250.200","32","2696","443","47782","1349","518","20480","0x2ea4"
"9","Mar 12, 2025 16:08:40.488800000 CET","1054","1054","0x0005","0x0c46","6","1040","151.101.240.81","172.29.250.200","32","988","443","47782","4045","518","20480","0xfa14"
"10","Mar 12, 2025 16:08:40.488874000 CET","66","66","0x77c3","0x9463","6","52","172.29.250.200","151.101.240.81","32","0","47782","443","518","4045","499","0x2ec4"
"11","Mar 12, 2025 16:08:40.488937000 CET","66","66","0x77c4","0x9462","6","52","172.29.250.200","151.101.240.81","32","0","47782","443","518","5033","499","0x2ec4"
"12","Mar 12, 2025 16:08:40.490345000 CET","130","130","0x77c5","0x9421","6","116","172.29.250.200","151.101.240.81","32","64","47782","443","518","5033","501","0x2f04"
"13","Mar 12, 2025 16:08:40.490581000 CET","112","112","0x77c6","0x9432","6","98","172.29.250.200","151.101.240.81","32","46","47782","443","582","5033","501","0x2ef2"
"14","Mar 12, 2025 16:08:40.490671000 CET","115","115","0x77c7","0x942e","6","101","172.29.250.200","151.101.240.81","32","49","47782","443","628","5033","501","0x2ef5"
"15","Mar 12, 2025 16:08:40.490810000 CET","162","162","0x77c8","0x93fe","6","148","172.29.250.200","151.101.240.81","32","96","47782","443","677","5033","501","0x2f24"
"16","Mar 12, 2025 16:08:40.523109000 CET","66","66","0x0006","0x1021","6","52","151.101.240.81","172.29.250.200","32","0","443","47782","5033","582","20479","0x82b7"
"17","Mar 12, 2025 16:08:40.523697000 CET","66","66","0x0007","0x1020","6","52","151.101.240.81","172.29.250.200","32","0","443","47782","5033","677","20479","0x8258"
"18","Mar 12, 2025 16:08:40.523756000 CET","66","66","0x0008","0x101f","6","52","151.101.240.81","172.29.250.200","32","0","443","47782","5033","773","20479","0x81f8"
"19","Mar 12, 2025 16:08:40.523795000 CET","131","131","0x0009","0x0fdd","6","117","151.101.240.81","172.29.250.200","32","65","443","47782","5033","773","20480","0x1c8a"
"20","Mar 12, 2025 16:08:40.524141000 CET","97","97","0x77c9","0x943e","6","83","172.29.250.200","151.101.240.81","32","31","47782","443","773","5098","501","0x2ee3"
"21","Mar 12, 2025 16:08:40.531843000 CET","9502","9502","0x000a","0xeb40","6","9488","151.101.240.81","172.29.250.200","32","9436","443","47782","5098","773","20480","0x2ea4"
"22","Mar 12, 2025 16:08:40.532222000 CET","66","66","0x77ca","0x945c","6","52","172.29.250.200","151.101.240.81","32","0","47782","443","804","14534","447","0x2ec4"
"23","Mar 12, 2025 16:08:40.534424000 CET","5458","5458","0x0011","0xfb05","6","5444","151.101.240.81","172.29.250.200","32","5392","443","47782","14534","773","20480","0x2ea4"
"24","Mar 12, 2025 16:08:40.534728000 CET","443","443","0x0015","0x0e99","6","429","151.101.240.81","172.29.250.200","32","377","443","47782","19926","773","20480","0x85b4"
"25","Mar 12, 2025 16:08:40.534783000 CET","9502","9502","0x0016","0xeb34","6","9488","151.101.240.81","172.29.250.200","32","9436","443","47782","20303","773","20480","0x2ea4"
"26","Mar 12, 2025 16:08:40.534940000 CET","66","66","0x77cb","0x945b","6","52","172.29.250.200","151.101.240.81","32","0","47782","443","804","19926","479","0x2ec4"
"27","Mar 12, 2025 16:08:40.535037000 CET","66","66","0x77cc","0x945a","6","52","172.29.250.200","151.101.240.81","32","0","47782","443","804","29739","414","0x2ec4"
"28","Mar 12, 2025 16:08:40.541787000 CET","9502","9502","0x001d","0xeb2d","6","9488","151.101.240.81","172.29.250.200","32","9436","443","47782","29739","773","20480","0x2ea4"
"29","Mar 12, 2025 16:08:40.542078000 CET","66","66","0x77cd","0x9459","6","52","172.29.250.200","151.101.240.81","32","0","47782","443","804","39175","447","0x2ec4"
"30","Mar 12, 2025 16:08:40.552680000 CET","29722","29722","0x0024","0x9c2a","6","29708","151.101.240.81","172.29.250.200","32","29656","443","47782","39175","773","20480","0x2ea4"
"31","Mar 12, 2025 16:08:40.553641000 CET","66","66","0x77ce","0x9458","6","52","172.29.250.200","151.101.240.81","32","0","47782","443","804","68831","501","0x2ec4"
"32","Mar 12, 2025 16:08:40.561626000 CET","10850","10850","0x003a","0xe5cc","6","10836","151.101.240.81","172.29.250.200","32","10784","443","47782","68831","804","20480","0x2ea4"
"33","Mar 12, 2025 16:08:40.561808000 CET","66","66","0x77cf","0x9457","6","52","172.29.250.200","151.101.240.81","32","0","47782","443","804","79615","670","0x2ec4"
"34","Mar 12, 2025 16:08:40.568890000 CET","8154","8154","0x0042","0xf04c","6","8140","151.101.240.81","172.29.250.200","32","8088","443","47782","79615","804","20480","0x2ea4"
"35","Mar 12, 2025 16:08:40.569219000 CET","66","66","0x77d0","0x9456","6","52","172.29.250.200","151.101.240.81","32","0","47782","443","804","87703","796","0x2ec4"
"36","Mar 12, 2025 16:08:40.578352000 CET","17590","17590","0x0048","0xcb6a","6","17576","151.101.240.81","172.29.250.200","32","17524","443","47782","87703","804","20480","0x2ea4"
"37","Mar 12, 2025 16:08:40.578650000 CET","66","66","0x77d1","0x9455","6","52","172.29.250.200","151.101.240.81","32","0","47782","443","804","105227","1070","0x2ec4"
"38","Mar 12, 2025 16:08:40.581836000 CET","27026","27026","0x0055","0xa681","6","27012","151.101.240.81","172.29.250.200","32","26960","443","47782","105227","804","20480","0x2ea4"
"39","Mar 12, 2025 16:08:40.582243000 CET","66","66","0x77d2","0x9454","6","52","172.29.250.200","151.101.240.81","32","0","47782","443","804","132187","1491","0x2ec4"
