frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 12, 2025 16:02:35.685150000 CET","42","42",,,,,,,,,,,,,,
"2","Mar 12, 2025 16:02:35.685443000 CET","42","42",,,,,,,,,,,,,,
"3","Mar 12, 2025 16:02:36.263777000 CET","74","74","0x5b4e","0xee8b","6","60","172.29.250.200","23.52.50.200","40","0","58556","443","0","0","64240","0xf110"
"4","Mar 12, 2025 16:02:36.313507000 CET","74","74","0x0000","0x59da","6","60","23.52.50.200","172.29.250.200","40","0","443","58556","0","1","65160","0x04f7"
"5","Mar 12, 2025 16:02:36.314139000 CET","66","66","0x5b4f","0xee92","6","52","172.29.250.200","23.52.50.200","32","0","58556","443","1","1","502","0xf108"
"6","Mar 12, 2025 16:02:36.316869000 CET","583","583","0x5b50","0xec8c","6","569","172.29.250.200","23.52.50.200","32","517","58556","443","1","1","502","0xf30d"
"7","Mar 12, 2025 16:02:36.321969000 CET","74","74","0x0000","0x59da","6","60","23.52.50.200","172.29.250.200","40","0","443","58556","0","1","65160","0x04ee"
"8","Mar 12, 2025 16:02:36.322243000 CET","66","66","0x5b51","0xee90","6","52","172.29.250.200","23.52.50.200","32","0","58556","443","518","1","502","0xf108"
"9","Mar 12, 2025 16:02:36.349284000 CET","66","66","0x0001","0x4de1","6","52","23.52.50.200","172.29.250.200","32","0","443","58556","1","1","65535","0x31ad"
"10","Mar 12, 2025 16:02:36.360009000 CET","66","66","0x0002","0x4de0","6","52","23.52.50.200","172.29.250.200","32","0","443","58556","1","518","65535","0x2fa0"
"11","Mar 12, 2025 16:02:36.371514000 CET","2762","2762","0x0003","0x4357","6","2748","23.52.50.200","172.29.250.200","32","2696","443","58556","1","518","65535","0xf0e8"
"12","Mar 12, 2025 16:02:36.371887000 CET","903","903","0x0005","0x4a98","6","889","23.52.50.200","172.29.250.200","32","837","443","58556","2697","518","65535","0xb618"
"13","Mar 12, 2025 16:02:36.372075000 CET","66","66","0x5b52","0xee8f","6","52","172.29.250.200","23.52.50.200","32","0","58556","443","518","2697","499","0xf108"
"14","Mar 12, 2025 16:02:36.372156000 CET","66","66","0x5b53","0xee8e","6","52","172.29.250.200","23.52.50.200","32","0","58556","443","518","3534","494","0xf108"
"15","Mar 12, 2025 16:02:36.374147000 CET","146","146","0x5b54","0xee3d","6","132","172.29.250.200","23.52.50.200","32","80","58556","443","518","3534","501","0xf158"
