frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 12, 2025 16:09:58.375849000 CET","74","74","0xe83e","0x212c","6","60","172.29.250.200","151.101.243.5","40","0","41124","443","0","0","64240","0x3180"
"2","Mar 12, 2025 16:09:58.409528000 CET","74","74","0x0000","0x166b","6","60","151.101.243.5","172.29.250.200","40","0","443","41124","0","1","65535","0x7fc1"
"3","Mar 12, 2025 16:09:58.410280000 CET","66","66","0xe83f","0x2133","6","52","172.29.250.200","151.101.243.5","32","0","41124","443","1","1","502","0x3178"
"4","Mar 12, 2025 16:09:58.412528000 CET","583","583","0xe840","0x1f2d","6","569","172.29.250.200","151.101.243.5","32","517","41124","443","1","1","502","0x337d"
"5","Mar 12, 2025 16:09:58.439904000 CET","66","66","0x0001","0x0d72","6","52","151.101.243.5","172.29.250.200","32","0","443","41124","1","518","20478","0x5c03"
"6","Mar 12, 2025 16:09:58.452179000 CET","2762","2762","0x0002","0x02e9","6","2748","151.101.243.5","172.29.250.200","32","2696","443","41124","1","518","20480","0x3158"
"7","Mar 12, 2025 16:09:58.453194000 CET","872","872","0x0004","0x0a49","6","858","151.101.243.5","172.29.250.200","32","806","443","41124","2697","518","20480","0xe054"
"8","Mar 12, 2025 16:09:58.453414000 CET","66","66","0xe841","0x2131","6","52","172.29.250.200","151.101.243.5","32","0","41124","443","518","2697","499","0x3178"
"9","Mar 12, 2025 16:09:58.453476000 CET","66","66","0xe842","0x2130","6","52","172.29.250.200","151.101.243.5","32","0","41124","443","518","3503","494","0x3178"
"10","Mar 12, 2025 16:09:58.455462000 CET","130","130","0xe843","0x20ef","6","116","172.29.250.200","151.101.243.5","32","64","41124","443","518","3503","494","0x31b8"
"11","Mar 12, 2025 16:09:58.455749000 CET","161","161","0xe844","0x20cf","6","147","172.29.250.200","151.101.243.5","32","95","41124","443","582","3503","494","0x31d7"
"12","Mar 12, 2025 16:09:58.455990000 CET","161","161","0xe845","0x20ce","6","147","172.29.250.200","151.101.243.5","32","95","41124","443","677","3503","501","0x31d7"
"13","Mar 12, 2025 16:09:58.481940000 CET","66","66","0x0005","0x0d6e","6","52","151.101.243.5","172.29.250.200","32","0","443","41124","3503","772","20479","0x4d09"
"14","Mar 12, 2025 16:09:58.482283000 CET","131","131","0x0006","0x0d2c","6","117","151.101.243.5","172.29.250.200","32","65","443","41124","3503","772","20480","0xe599"
