frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 12, 2025 16:12:23.951263000 CET","74","74","0x4eee","0x2211","6","60","172.29.250.200","2.22.32.193","40","0","45900","443","0","0","64240","0xc9eb"
"2","Mar 12, 2025 16:12:24.000252000 CET","74","74","0x0000","0x7eff","6","60","2.22.32.193","172.29.250.200","40","0","443","45900","0","1","65160","0xee49"
"3","Mar 12, 2025 16:12:24.000589000 CET","74","74","0x0000","0x7eff","6","60","2.22.32.193","172.29.250.200","40","0","443","45900","0","1","65160","0xee43"
"4","Mar 12, 2025 16:12:24.000746000 CET","66","66","0x4eef","0x2218","6","52","172.29.250.200","2.22.32.193","32","0","45900","443","1","1","502","0xc9e3"
"5","Mar 12, 2025 16:12:24.000826000 CET","66","66","0x4ef0","0x2217","6","52","172.29.250.200","2.22.32.193","32","0","45900","443","1","1","502","0xc9e3"
"6","Mar 12, 2025 16:12:24.003169000 CET","583","583","0x4ef1","0x2011","6","569","172.29.250.200","2.22.32.193","32","517","45900","443","1","1","502","0xcbe8"
"7","Mar 12, 2025 16:12:24.035744000 CET","66","66","0x0001","0x7506","6","52","2.22.32.193","172.29.250.200","32","0","443","45900","1","518","65535","0x18f6"
"8","Mar 12, 2025 16:12:24.046235000 CET","2762","2762","0x0002","0x6a7d","6","2748","2.22.32.193","172.29.250.200","32","2696","443","45900","1","518","65535","0xc9c3"
"9","Mar 12, 2025 16:12:24.046495000 CET","518","518","0x0004","0x733f","6","504","2.22.32.193","172.29.250.200","32","452","443","45900","2697","518","65535","0xf636"
"10","Mar 12, 2025 16:12:24.046649000 CET","66","66","0x4ef2","0x2215","6","52","172.29.250.200","2.22.32.193","32","0","45900","443","518","2697","499","0xc9e3"
"11","Mar 12, 2025 16:12:24.046719000 CET","66","66","0x4ef3","0x2214","6","52","172.29.250.200","2.22.32.193","32","0","45900","443","518","3149","496","0xc9e3"
"12","Mar 12, 2025 16:12:24.049126000 CET","146","146","0x4ef4","0x21c3","6","132","172.29.250.200","2.22.32.193","32","80","45900","443","518","3149","501","0xca33"
"13","Mar 12, 2025 16:12:24.049434000 CET","112","112","0x4ef5","0x21e4","6","98","172.29.250.200","2.22.32.193","32","46","45900","443","598","3149","501","0xca11"
"14","Mar 12, 2025 16:12:24.049501000 CET","115","115","0x4ef6","0x21e0","6","101","172.29.250.200","2.22.32.193","32","49","45900","443","644","3149","501","0xca14"
