frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 12, 2025 16:11:04.086990000 CET","74","74","0x82d4","0xb0d7","6","60","172.29.250.200","142.251.209.46","40","0","51834","443","0","0","64240","0x073f"
"2","Mar 12, 2025 16:11:04.124420000 CET","74","74","0x0000","0x01ac","6","60","142.251.209.46","172.29.250.200","40","0","443","51834","0","1","65535","0xdfca"
"3","Mar 12, 2025 16:11:04.124756000 CET","66","66","0x82d5","0xb0de","6","52","172.29.250.200","142.251.209.46","32","0","51834","443","1","1","502","0x0737"
"4","Mar 12, 2025 16:11:04.126884000 CET","583","583","0x82d6","0xaed8","6","569","172.29.250.200","142.251.209.46","32","517","51834","443","1","1","502","0x093c"
"5","Mar 12, 2025 16:11:04.166307000 CET","66","66","0x0001","0x37b3","6","52","142.251.209.46","172.29.250.200","32","0","443","51834","1","518","40957","0x6c0a"
"6","Mar 12, 2025 16:11:04.198405000 CET","1414","1414","0x0002","0x326e","6","1400","142.251.209.46","172.29.250.200","32","1348","443","51834","1","518","40960","0xb334"
"7","Mar 12, 2025 16:11:04.198776000 CET","66","66","0x82d7","0xb0dc","6","52","172.29.250.200","142.251.209.46","32","0","51834","443","518","1349","501","0x0737"
"8","Mar 12, 2025 16:11:04.204864000 CET","2762","2762","0x0003","0x2d29","6","2748","142.251.209.46","172.29.250.200","32","2696","443","51834","1349","518","40960","0x0717"
"9","Mar 12, 2025 16:11:04.205158000 CET","160","160","0x0005","0x3751","6","146","142.251.209.46","172.29.250.200","32","94","443","51834","4045","518","40960","0x9a6d"
"10","Mar 12, 2025 16:11:04.205268000 CET","66","66","0x82d8","0xb0db","6","52","172.29.250.200","142.251.209.46","32","0","51834","443","518","4045","499","0x0737"
"11","Mar 12, 2025 16:11:04.205416000 CET","66","66","0x82d9","0xb0da","6","52","172.29.250.200","142.251.209.46","32","0","51834","443","518","4139","501","0x0737"
"12","Mar 12, 2025 16:11:04.206644000 CET","146","146","0x82da","0xb089","6","132","172.29.250.200","142.251.209.46","32","80","51834","443","518","4139","501","0x0787"
"13","Mar 12, 2025 16:11:04.206814000 CET","161","161","0x82db","0xb079","6","147","172.29.250.200","142.251.209.46","32","95","51834","443","598","4139","501","0x0796"
"14","Mar 12, 2025 16:11:04.206893000 CET","166","166","0x82dc","0xb073","6","152","172.29.250.200","142.251.209.46","32","100","51834","443","693","4139","501","0x079b"
"15","Mar 12, 2025 16:11:04.226826000 CET","66","66","0x0006","0x37ae","6","52","142.251.209.46","172.29.250.200","32","0","443","51834","4139","598","40959","0x5b07"
"16","Mar 12, 2025 16:11:04.230595000 CET","714","714","0x0007","0x3525","6","700","142.251.209.46","172.29.250.200","32","648","443","51834","4139","598","40960","0xde12"
"17","Mar 12, 2025 16:11:04.231222000 CET","97","97","0x82dd","0xb0b7","6","83","172.29.250.200","142.251.209.46","32","31","51834","443","793","4787","501","0x0756"
"18","Mar 12, 2025 16:11:04.238111000 CET","66","66","0x0008","0x37ac","6","52","142.251.209.46","172.29.250.200","32","0","443","51834","4787","793","40959","0x57b7"
"19","Mar 12, 2025 16:11:04.238387000 CET","97","97","0x0009","0x378c","6","83","142.251.209.46","172.29.250.200","32","31","443","51834","4787","793","40960","0x15a8"
"20","Mar 12, 2025 16:11:04.238438000 CET","336","336","0x000a","0x369c","6","322","142.251.209.46","172.29.250.200","32","270","443","51834","4818","793","40960","0xa10d"
"21","Mar 12, 2025 16:11:04.238483000 CET","318","318","0x000b","0x36ad","6","304","142.251.209.46","172.29.250.200","32","252","443","51834","5088","793","40960","0x5774"
"22","Mar 12, 2025 16:11:04.238527000 CET","105","105","0x000c","0x3781","6","91","142.251.209.46","172.29.250.200","32","39","443","51834","5340","793","40960","0xf8d3"
"23","Mar 12, 2025 16:11:04.238815000 CET","66","66","0x82de","0xb0d5","6","52","172.29.250.200","142.251.209.46","32","0","51834","443","824","5379","501","0x0737"
"24","Mar 12, 2025 16:11:04.238969000 CET","105","105","0x82df","0xb0ad","6","91","172.29.250.200","142.251.209.46","32","39","51834","443","824","5379","501","0x075e"
"25","Mar 12, 2025 16:11:04.245605000 CET","74","74","0x93c7","0x9fe4","6","60","172.29.250.200","142.251.209.46","40","0","51836","443","0","0","64240","0x073f"
"26","Mar 12, 2025 16:11:04.246594000 CET","66","66","0x000d","0x37a7","6","52","142.251.209.46","172.29.250.200","32","0","443","51834","5379","824","40959","0x5520"
"27","Mar 12, 2025 16:11:04.264355000 CET","66","66","0x000e","0x37a6","6","52","142.251.209.46","172.29.250.200","32","0","443","51834","5379","863","40959","0x54e3"
"28","Mar 12, 2025 16:11:04.284236000 CET","74","74","0x0000","0x02ac","6","60","142.251.209.46","172.29.250.200","40","0","443","51836","0","1","65535","0x3fb1"
"29","Mar 12, 2025 16:11:04.284582000 CET","66","66","0x93c8","0x9feb","6","52","172.29.250.200","142.251.209.46","32","0","51836","443","1","1","502","0x0737"
"30","Mar 12, 2025 16:11:04.285319000 CET","583","583","0x93c9","0x9de5","6","569","172.29.250.200","142.251.209.46","32","517","51836","443","1","1","502","0x093c"
"31","Mar 12, 2025 16:11:04.308040000 CET","66","66","0x0001","0x37b3","6","52","142.251.209.46","172.29.250.200","32","0","443","51836","1","518","40957","0xcbef"
"32","Mar 12, 2025 16:11:04.337109000 CET","1414","1414","0x0002","0x326e","6","1400","142.251.209.46","172.29.250.200","32","1348","443","51836","1","518","40960","0x783d"
"33","Mar 12, 2025 16:11:04.337456000 CET","66","66","0x93ca","0x9fe9","6","52","172.29.250.200","142.251.209.46","32","0","51836","443","518","1349","501","0x0737"
"34","Mar 12, 2025 16:11:04.341954000 CET","2762","2762","0x0003","0x2d29","6","2748","142.251.209.46","172.29.250.200","32","2696","443","51836","1349","518","40960","0x0717"
"35","Mar 12, 2025 16:11:04.342225000 CET","160","160","0x0005","0x3751","6","146","142.251.209.46","172.29.250.200","32","94","443","51836","4045","518","40960","0xb44d"
"36","Mar 12, 2025 16:11:04.342328000 CET","66","66","0x93cb","0x9fe8","6","52","172.29.250.200","142.251.209.46","32","0","51836","443","518","4045","499","0x0737"
"37","Mar 12, 2025 16:11:04.342399000 CET","66","66","0x93cc","0x9fe7","6","52","172.29.250.200","142.251.209.46","32","0","51836","443","518","4139","501","0x0737"
"38","Mar 12, 2025 16:11:04.343559000 CET","146","146","0x93cd","0x9f96","6","132","172.29.250.200","142.251.209.46","32","80","51836","443","518","4139","501","0x0787"
"39","Mar 12, 2025 16:11:04.343682000 CET","161","161","0x93ce","0x9f86","6","147","172.29.250.200","142.251.209.46","32","95","51836","443","598","4139","501","0x0796"
"40","Mar 12, 2025 16:11:04.343751000 CET","163","163","0x93cf","0x9f83","6","149","172.29.250.200","142.251.209.46","32","97","51836","443","693","4139","501","0x0798"
"41","Mar 12, 2025 16:11:04.368770000 CET","66","66","0x0006","0x37ae","6","52","142.251.209.46","172.29.250.200","32","0","443","51836","4139","598","40959","0xbb02"
"42","Mar 12, 2025 16:11:04.373685000 CET","714","714","0x0007","0x3525","6","700","142.251.209.46","172.29.250.200","32","648","443","51836","4139","598","40960","0xdd69"
"43","Mar 12, 2025 16:11:04.373929000 CET","66","66","0x0008","0x37ac","6","52","142.251.209.46","172.29.250.200","32","0","443","51836","4787","790","40959","0xb7b6"
"44","Mar 12, 2025 16:11:04.374282000 CET","97","97","0x93d0","0x9fc4","6","83","172.29.250.200","142.251.209.46","32","31","51836","443","790","4787","501","0x0756"
"45","Mar 12, 2025 16:11:04.380910000 CET","97","97","0x0009","0x378c","6","83","142.251.209.46","172.29.250.200","32","31","443","51836","4787","790","40960","0xa614"
"46","Mar 12, 2025 16:11:04.394615000 CET","66","66","0x000a","0x37aa","6","52","142.251.209.46","172.29.250.200","32","0","443","51836","4818","821","40959","0xb749"
"47","Mar 12, 2025 16:11:04.415650000 CET","1462","1462","0x000b","0x3235","6","1448","142.251.209.46","172.29.250.200","32","1396","443","51836","4818","821","40960","0x0cab"
"48","Mar 12, 2025 16:11:04.416276000 CET","97","97","0x000d","0x3788","6","83","142.251.209.46","172.29.250.200","32","31","443","51836","6214","821","40960","0x28b5"
"49","Mar 12, 2025 16:11:04.416345000 CET","105","105","0x000e","0x377f","6","91","142.251.209.46","172.29.250.200","32","39","443","51836","6245","821","40960","0x33bd"
"50","Mar 12, 2025 16:11:04.416484000 CET","66","66","0x93d1","0x9fe2","6","52","172.29.250.200","142.251.209.46","32","0","51836","443","821","6214","501","0x0737"
"51","Mar 12, 2025 16:11:04.416842000 CET","66","66","0x93d2","0x9fe1","6","52","172.29.250.200","142.251.209.46","32","0","51836","443","821","6284","501","0x0737"
"52","Mar 12, 2025 16:11:04.417040000 CET","105","105","0x93d3","0x9fb9","6","91","172.29.250.200","142.251.209.46","32","39","51836","443","821","6284","501","0x075e"
"53","Mar 12, 2025 16:11:04.424668000 CET","74","74","0xae59","0xa1f3","6","60","172.29.250.200","142.250.180.142","40","0","45454","443","0","0","64240","0xea9d"
"54","Mar 12, 2025 16:11:04.438983000 CET","66","66","0x000f","0x37a5","6","52","142.251.209.46","172.29.250.200","32","0","443","51836","6284","860","40959","0xb115"
"55","Mar 12, 2025 16:11:04.460186000 CET","74","74","0x0000","0x1e4d","6","60","142.250.180.142","172.29.250.200","40","0","443","45454","0","1","65535","0xa76e"
"56","Mar 12, 2025 16:11:04.460506000 CET","66","66","0xae5a","0xa1fa","6","52","172.29.250.200","142.250.180.142","32","0","45454","443","1","1","502","0xea95"
"57","Mar 12, 2025 16:11:04.461079000 CET","583","583","0xae5b","0x9ff4","6","569","172.29.250.200","142.250.180.142","32","517","45454","443","1","1","502","0xec9a"
"58","Mar 12, 2025 16:11:04.491139000 CET","66","66","0x0001","0x5454","6","52","142.250.180.142","172.29.250.200","32","0","443","45454","1","518","40957","0x33b0"
"59","Mar 12, 2025 16:11:04.511761000 CET","1414","1414","0x0002","0x4f0f","6","1400","142.250.180.142","172.29.250.200","32","1348","443","45454","1","518","40960","0x4511"
"60","Mar 12, 2025 16:11:04.512109000 CET","66","66","0xae5c","0xa1f8","6","52","172.29.250.200","142.250.180.142","32","0","45454","443","518","1349","501","0xea95"
"61","Mar 12, 2025 16:11:04.522728000 CET","4110","4110","0x0003","0x4486","6","4096","142.250.180.142","172.29.250.200","32","4044","443","45454","1349","518","40960","0xea75"
"62","Mar 12, 2025 16:11:04.523172000 CET","1295","1295","0x0006","0x4f82","6","1281","142.250.180.142","172.29.250.200","32","1229","443","45454","5393","518","40960","0xf912"
"63","Mar 12, 2025 16:11:04.523439000 CET","66","66","0xae5d","0xa1f7","6","52","172.29.250.200","142.250.180.142","32","0","45454","443","518","5393","479","0xea95"
"64","Mar 12, 2025 16:11:04.523649000 CET","66","66","0xae5e","0xa1f6","6","52","172.29.250.200","142.250.180.142","32","0","45454","443","518","6622","497","0xea95"
"65","Mar 12, 2025 16:11:04.525754000 CET","146","146","0xae5f","0xa1a5","6","132","172.29.250.200","142.250.180.142","32","80","45454","443","518","6622","501","0xeae5"
"66","Mar 12, 2025 16:11:04.525988000 CET","161","161","0xae60","0xa195","6","147","172.29.250.200","142.250.180.142","32","95","45454","443","598","6622","501","0xeaf4"
"67","Mar 12, 2025 16:11:04.526218000 CET","220","220","0xae61","0xa159","6","206","172.29.250.200","142.250.180.142","32","154","45454","443","693","6622","501","0xeb2f"
"68","Mar 12, 2025 16:11:04.544665000 CET","66","66","0x0007","0x544e","6","52","142.250.180.142","172.29.250.200","32","0","443","45454","6622","598","40959","0x1910"
"69","Mar 12, 2025 16:11:04.550437000 CET","714","714","0x0008","0x51c5","6","700","142.250.180.142","172.29.250.200","32","648","443","45454","6622","598","40960","0x0322"
"70","Mar 12, 2025 16:11:04.550707000 CET","66","66","0x0009","0x544c","6","52","142.250.180.142","172.29.250.200","32","0","443","45454","7270","693","40959","0x1622"
"71","Mar 12, 2025 16:11:04.550749000 CET","66","66","0x000a","0x544b","6","52","142.250.180.142","172.29.250.200","32","0","443","45454","7270","847","40959","0x1588"
"72","Mar 12, 2025 16:11:04.551087000 CET","97","97","0xae62","0xa1d3","6","83","172.29.250.200","142.250.180.142","32","31","45454","443","847","7270","501","0xeab4"
"73","Mar 12, 2025 16:11:04.557166000 CET","97","97","0x000b","0x542b","6","83","142.250.180.142","172.29.250.200","32","31","443","45454","7270","847","40960","0x7885"
"74","Mar 12, 2025 16:11:04.573556000 CET","66","66","0x000c","0x5449","6","52","142.250.180.142","172.29.250.200","32","0","443","45454","7301","878","40959","0x151d"
"75","Mar 12, 2025 16:11:04.581420000 CET","42","42",,,,,,,,,,,,,,
"76","Mar 12, 2025 16:11:04.581953000 CET","42","42",,,,,,,,,,,,,,
"77","Mar 12, 2025 16:11:04.587100000 CET","692","692","0x000d","0x51d6","6","678","142.250.180.142","172.29.250.200","32","626","443","45454","7301","878","40960","0xefc7"
"78","Mar 12, 2025 16:11:04.587294000 CET","97","97","0x000e","0x5428","6","83","142.250.180.142","172.29.250.200","32","31","443","45454","7927","878","40960","0x8a29"
"79","Mar 12, 2025 16:11:04.587331000 CET","105","105","0x000f","0x541f","6","91","142.250.180.142","172.29.250.200","32","39","443","45454","7958","878","40960","0xcfa7"
"80","Mar 12, 2025 16:11:04.587421000 CET","66","66","0xae63","0xa1f1","6","52","172.29.250.200","142.250.180.142","32","0","45454","443","878","7927","501","0xea95"
"81","Mar 12, 2025 16:11:04.587636000 CET","66","66","0xae64","0xa1f0","6","52","172.29.250.200","142.250.180.142","32","0","45454","443","878","7997","501","0xea95"
"82","Mar 12, 2025 16:11:04.587792000 CET","105","105","0xae65","0xa1c8","6","91","172.29.250.200","142.250.180.142","32","39","45454","443","878","7997","501","0xeabc"
"83","Mar 12, 2025 16:11:04.587931000 CET","111","111","0x93d4","0x9fb2","6","97","172.29.250.200","142.251.209.46","32","45","51836","443","860","6284","501","0x0764"
"84","Mar 12, 2025 16:11:04.610688000 CET","66","66","0x0010","0x37a4","6","52","142.251.209.46","172.29.250.200","32","0","443","51836","6284","905","40959","0xaf9d"
"85","Mar 12, 2025 16:11:04.610688000 CET","66","66","0x0010","0x5445","6","52","142.250.180.142","172.29.250.200","32","0","443","45454","7997","917","40959","0x11f7"
"86","Mar 12, 2025 16:11:04.651910000 CET","600","600","0x0011","0x358d","6","586","142.251.209.46","172.29.250.200","32","534","443","51836","6284","905","40960","0xca3a"
"87","Mar 12, 2025 16:11:04.655532000 CET","136","136","0x0012","0x375c","6","122","142.251.209.46","172.29.250.200","32","70","443","51836","6818","905","40960","0xf28d"
"88","Mar 12, 2025 16:11:04.656033000 CET","66","66","0x93d5","0x9fde","6","52","172.29.250.200","142.251.209.46","32","0","51836","443","905","6888","501","0x0737"
"89","Mar 12, 2025 16:11:04.656196000 CET","105","105","0x93d6","0x9fb6","6","91","172.29.250.200","142.251.209.46","32","39","51836","443","905","6888","501","0x075e"
"90","Mar 12, 2025 16:11:04.656409000 CET","135","135","0x93d7","0x9f97","6","121","172.29.250.200","142.251.209.46","32","69","51836","443","944","6888","501","0x077c"
"91","Mar 12, 2025 16:11:04.688471000 CET","66","66","0x0013","0x37a1","6","52","142.251.209.46","172.29.250.200","32","0","443","51836","6888","944","40959","0xac90"
"92","Mar 12, 2025 16:11:04.689002000 CET","66","66","0x0014","0x37a0","6","52","142.251.209.46","172.29.250.200","32","0","443","51836","6888","1013","40959","0xac4b"
"93","Mar 12, 2025 16:11:04.746858000 CET","818","818","0x0015","0x34af","6","804","142.251.209.46","172.29.250.200","32","752","443","51836","6888","1013","40960","0xa1dd"
"94","Mar 12, 2025 16:11:04.751455000 CET","6806","6806","0x0016","0x1d4a","6","6792","142.251.209.46","172.29.250.200","32","6740","443","51836","7640","1013","40960","0x0717"
"95","Mar 12, 2025 16:11:04.751942000 CET","713","713","0x001b","0x3512","6","699","142.251.209.46","172.29.250.200","32","647","443","51836","14380","1013","40960","0x81a6"
"96","Mar 12, 2025 16:11:04.752006000 CET","12198","12198","0x001c","0x0834","6","12184","142.251.209.46","172.29.250.200","32","12132","443","51836","15027","1013","40960","0x0717"
"97","Mar 12, 2025 16:11:04.752647000 CET","66","66","0x93d8","0x9fdb","6","52","172.29.250.200","142.251.209.46","32","0","51836","443","1013","27159","414","0x0737"
"98","Mar 12, 2025 16:11:04.756944000 CET","20286","20286","0x0025","0xe892","6","20272","142.251.209.46","172.29.250.200","32","20220","443","51836","27159","1013","40960","0x0717"
"99","Mar 12, 2025 16:11:04.757169000 CET","66","66","0x93d9","0x9fda","6","52","172.29.250.200","142.251.209.46","32","0","51836","443","1013","47379","383","0x0737"
"100","Mar 12, 2025 16:11:04.763273000 CET","13546","13546","0x0034","0x02d8","6","13532","142.251.209.46","172.29.250.200","32","13480","443","51836","47379","1013","40960","0x0717"
