frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 12, 2025 16:09:10.634258000 CET","74","74","0x2735","0xda85","6","60","172.29.250.200","204.79.197.203","40","0","60794","443","0","0","64240","0x3930"
"2","Mar 12, 2025 16:09:10.693476000 CET","66","66","0x3523","0x9c9f","6","52","204.79.197.203","172.29.250.200","32","0","443","60794","0","1","65535","0x81ea"
"3","Mar 12, 2025 16:09:10.694025000 CET","54","54","0x2736","0xda98","6","40","172.29.250.200","204.79.197.203","20","0","60794","443","1","1","502","0x391c"
"4","Mar 12, 2025 16:09:10.696626000 CET","571","571","0x2737","0xd892","6","557","172.29.250.200","204.79.197.203","20","517","60794","443","1","1","502","0x3b21"
"5","Mar 12, 2025 16:09:10.732876000 CET","54","54","0x0001","0x05ce","6","40","204.79.197.203","172.29.250.200","20","0","443","60794","1","518","40957","0x2057"
"6","Mar 12, 2025 16:09:10.733479000 CET","153","153","0x0002","0x056a","6","139","204.79.197.203","172.29.250.200","20","99","443","60794","1","518","40960","0x08ea"
"7","Mar 12, 2025 16:09:10.733672000 CET","54","54","0x2738","0xda96","6","40","172.29.250.200","204.79.197.203","20","0","60794","443","518","100","502","0x391c"
"8","Mar 12, 2025 16:09:10.734463000 CET","577","577","0x2739","0xd88a","6","563","172.29.250.200","204.79.197.203","20","523","60794","443","518","100","502","0x3b27"
"9","Mar 12, 2025 16:09:10.772808000 CET","54","54","0x0003","0x05cc","6","40","204.79.197.203","172.29.250.200","20","0","443","60794","100","1041","40957","0x1de9"
"10","Mar 12, 2025 16:09:10.780142000 CET","4134","4134","0x0004","0xf5da","6","4120","204.79.197.203","172.29.250.200","20","4080","443","60794","100","1041","40960","0x3908"
"11","Mar 12, 2025 16:09:10.781129000 CET","201","201","0x0007","0x0535","6","187","204.79.197.203","172.29.250.200","20","147","443","60794","4180","1041","40960","0xdb5b"
"12","Mar 12, 2025 16:09:10.781545000 CET","54","54","0x273a","0xda94","6","40","172.29.250.200","204.79.197.203","20","0","60794","443","1041","4327","479","0x391c"
"13","Mar 12, 2025 16:09:10.784281000 CET","128","128","0x273b","0xda49","6","114","172.29.250.200","204.79.197.203","20","74","60794","443","1041","4327","501","0x3966"
"14","Mar 12, 2025 16:09:10.784530000 CET","149","149","0x273c","0xda33","6","135","172.29.250.200","204.79.197.203","20","95","60794","443","1115","4327","501","0x397b"
"15","Mar 12, 2025 16:09:10.784590000 CET","89","89","0x273d","0xda6e","6","75","172.29.250.200","204.79.197.203","20","35","60794","443","1210","4327","501","0x393f"
"16","Mar 12, 2025 16:09:10.784690000 CET","114","114","0x273e","0xda54","6","100","172.29.250.200","204.79.197.203","20","60","60794","443","1245","4327","501","0x3958"
"17","Mar 12, 2025 16:09:10.808439000 CET","54","54","0x0008","0x05c7","6","40","204.79.197.203","172.29.250.200","20","0","443","60794","4327","1245","40959","0x0c98"
"18","Mar 12, 2025 16:09:10.813951000 CET","575","575","0x0009","0x03bd","6","561","204.79.197.203","172.29.250.200","20","521","443","60794","4327","1245","40960","0x295c"
"19","Mar 12, 2025 16:09:10.814534000 CET","54","54","0x000a","0x05c5","6","40","204.79.197.203","172.29.250.200","20","0","443","60794","4848","1305","40959","0x0a53"
"20","Mar 12, 2025 16:09:10.815100000 CET","85","85","0x273f","0xda70","6","71","172.29.250.200","204.79.197.203","20","31","60794","443","1305","4848","501","0x393b"
