frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 12, 2025 16:01:38.538828000 CET","74","74","0x2a1b","0x464d","6","60","172.29.250.200","2.22.33.88","40","0","55624","443","0","0","64240","0xca82"
"2","Mar 12, 2025 16:01:38.578684000 CET","74","74","0x0000","0x7e68","6","60","2.22.33.88","172.29.250.200","40","0","443","55624","0","1","65160","0xff0f"
"3","Mar 12, 2025 16:01:38.579012000 CET","74","74","0x0000","0x7e68","6","60","2.22.33.88","172.29.250.200","40","0","443","55624","0","1","65160","0xff0c"
"4","Mar 12, 2025 16:01:38.579143000 CET","66","66","0x2a1c","0x4654","6","52","172.29.250.200","2.22.33.88","32","0","55624","443","1","1","502","0xca7a"
"5","Mar 12, 2025 16:01:38.579210000 CET","66","66","0x2a1d","0x4653","6","52","172.29.250.200","2.22.33.88","32","0","55624","443","1","1","502","0xca7a"
"6","Mar 12, 2025 16:01:38.580983000 CET","583","583","0x2a1e","0x444d","6","569","172.29.250.200","2.22.33.88","32","517","55624","443","1","1","502","0xcc7f"
"7","Mar 12, 2025 16:01:38.605602000 CET","66","66","0x0001","0x746f","6","52","2.22.33.88","172.29.250.200","32","0","443","55624","1","518","65535","0x29ca"
"8","Mar 12, 2025 16:01:38.608496000 CET","2762","2762","0x0002","0x69e6","6","2748","2.22.33.88","172.29.250.200","32","2696","443","55624","1","518","65535","0xca5a"
"9","Mar 12, 2025 16:01:38.608707000 CET","1039","1039","0x0004","0x709f","6","1025","2.22.33.88","172.29.250.200","32","973","443","55624","2697","518","65535","0x5fbb"
"10","Mar 12, 2025 16:01:38.608802000 CET","66","66","0x2a1f","0x4651","6","52","172.29.250.200","2.22.33.88","32","0","55624","443","518","2697","499","0xca7a"
"11","Mar 12, 2025 16:01:38.608869000 CET","66","66","0x2a20","0x4650","6","52","172.29.250.200","2.22.33.88","32","0","55624","443","518","3670","492","0xca7a"
"12","Mar 12, 2025 16:01:38.610264000 CET","146","146","0x2a21","0x45ff","6","132","172.29.250.200","2.22.33.88","32","80","55624","443","518","3670","501","0xcaca"
"13","Mar 12, 2025 16:01:38.610443000 CET","161","161","0x2a22","0x45ef","6","147","172.29.250.200","2.22.33.88","32","95","55624","443","598","3670","501","0xcad9"
"14","Mar 12, 2025 16:01:38.610527000 CET","162","162","0x2a23","0x45ed","6","148","172.29.250.200","2.22.33.88","32","96","55624","443","693","3670","501","0xcada"
"15","Mar 12, 2025 16:01:38.631949000 CET","66","66","0x0005","0x746b","6","52","2.22.33.88","172.29.250.200","32","0","443","55624","3670","598","65535","0x1aef"
"16","Mar 12, 2025 16:01:38.632291000 CET","66","66","0x0006","0x746a","6","52","2.22.33.88","172.29.250.200","32","0","443","55624","3670","693","65535","0x1a8f"
"17","Mar 12, 2025 16:01:38.639781000 CET","640","640","0x0007","0x722b","6","626","2.22.33.88","172.29.250.200","32","574","443","55624","3670","693","65535","0xca5a"
"18","Mar 12, 2025 16:01:38.640013000 CET","127","127","0x0009","0x742a","6","113","2.22.33.88","172.29.250.200","32","61","443","55624","4244","693","65535","0x03cb"
"19","Mar 12, 2025 16:01:38.640063000 CET","97","97","0x000a","0x7447","6","83","2.22.33.88","172.29.250.200","32","31","443","55624","4305","693","65535","0x8174"
"20","Mar 12, 2025 16:01:38.640362000 CET","97","97","0x2a24","0x462d","6","83","172.29.250.200","2.22.33.88","32","31","55624","443","789","4336","501","0xca99"
"21","Mar 12, 2025 16:01:38.644116000 CET","66","66","0x000b","0x7465","6","52","2.22.33.88","172.29.250.200","32","0","443","55624","4336","789","65535","0x178f"
"22","Mar 12, 2025 16:01:38.658105000 CET","66","66","0x000c","0x7464","6","52","2.22.33.88","172.29.250.200","32","0","443","55624","4336","820","65535","0x173f"
"23","Mar 12, 2025 16:01:38.684243000 CET","5458","5458","0x000d","0x5f53","6","5444","2.22.33.88","172.29.250.200","32","5392","443","55624","4336","820","65535","0xca5a"
"24","Mar 12, 2025 16:01:38.684540000 CET","66","66","0x2a25","0x464b","6","52","172.29.250.200","2.22.33.88","32","0","55624","443","820","9728","479","0xca7a"
"25","Mar 12, 2025 16:01:38.688372000 CET","8154","8154","0x0011","0x54c7","6","8140","2.22.33.88","172.29.250.200","32","8088","443","55624","9728","820","65535","0xca5a"
"26","Mar 12, 2025 16:01:38.688578000 CET","448","448","0x0017","0x72db","6","434","2.22.33.88","172.29.250.200","32","382","443","55624","17816","820","65535","0x88e5"
"27","Mar 12, 2025 16:01:38.688645000 CET","8154","8154","0x0018","0x54c0","6","8140","2.22.33.88","172.29.250.200","32","8088","443","55624","18198","820","65535","0xca5a"
"28","Mar 12, 2025 16:01:38.688908000 CET","66","66","0x2a26","0x464a","6","52","172.29.250.200","2.22.33.88","32","0","55624","443","820","26286","447","0xca7a"
"29","Mar 12, 2025 16:01:38.689710000 CET","14894","14894","0x001e","0x3a66","6","14880","2.22.33.88","172.29.250.200","32","14828","443","55624","26286","820","65535","0xca5a"
"30","Mar 12, 2025 16:01:38.689945000 CET","66","66","0x2a27","0x4649","6","52","172.29.250.200","2.22.33.88","32","0","55624","443","820","41114","447","0xca7a"
"31","Mar 12, 2025 16:01:38.695134000 CET","27026","27026","0x0029","0x0af7","6","27012","2.22.33.88","172.29.250.200","32","26960","443","55624","41114","820","65535","0xca5a"
"32","Mar 12, 2025 16:01:38.695510000 CET","66","66","0x2a28","0x4648","6","52","172.29.250.200","2.22.33.88","32","0","55624","443","820","68074","501","0xca7a"
"33","Mar 12, 2025 16:01:38.702961000 CET","2762","2762","0x003d","0x69ab","6","2748","2.22.33.88","172.29.250.200","32","2696","443","55624","68074","820","65535","0xca5a"
"34","Mar 12, 2025 16:01:38.703166000 CET","66","66","0x2a29","0x4647","6","52","172.29.250.200","2.22.33.88","32","0","55624","443","820","70770","543","0xca7a"
"35","Mar 12, 2025 16:01:38.715602000 CET","37810","37810","0x003f","0xe0c0","6","37796","2.22.33.88","172.29.250.200","32","37744","443","55624","70770","820","65535","0xca5a"
"36","Mar 12, 2025 16:01:38.716121000 CET","66","66","0x2a2a","0x4646","6","52","172.29.250.200","2.22.33.88","32","0","55624","443","820","108514","1133","0xca7a"
"37","Mar 12, 2025 16:01:38.721726000 CET","22982","22982","0x005b","0x1a91","6","22968","2.22.33.88","172.29.250.200","32","22916","443","55624","108514","820","65535","0xca5a"
