frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 12, 2025 16:05:53.193283000 CET","74","74","0x9451","0x46dc","6","60","172.29.250.200","138.199.45.225","40","0","53080","80","0","0","64240","0x5fbd"
"2","Mar 12, 2025 16:05:53.226479000 CET","74","74","0x0000","0xde2d","6","60","138.199.45.225","172.29.250.200","40","0","80","53080","0","1","43440","0x8c47"
"3","Mar 12, 2025 16:05:53.226864000 CET","66","66","0x9452","0x46e3","6","52","172.29.250.200","138.199.45.225","32","0","53080","80","1","1","502","0x5fb5"
"4","Mar 12, 2025 16:05:53.227001000 CET","141","141","0x9453","0x4697","6","127","172.29.250.200","138.199.45.225","32","75","53080","80","1","1","502","0x6000"
"5","Mar 12, 2025 16:05:53.267063000 CET","66","66","0x0001","0xdf34","6","52","138.199.45.225","172.29.250.200","32","0","80","53080","1","76","2559","0x59f9"
"6","Mar 12, 2025 16:05:53.271093000 CET","13546","13546","0x0002","0xaa8b","6","13532","138.199.45.225","172.29.250.200","32","13480","80","53080","1","76","2560","0x5f95"
"7","Mar 12, 2025 16:05:53.271891000 CET","66","66","0x9454","0x46e1","6","52","172.29.250.200","138.199.45.225","32","0","53080","80","76","13481","447","0x5fb5"
"8","Mar 12, 2025 16:05:53.278595000 CET","25678","25678","0x000c","0x7b1d","6","25664","138.199.45.225","172.29.250.200","32","25612","80","53080","13481","76","2560","0x5f95"
"9","Mar 12, 2025 16:05:53.280198000 CET","66","66","0x9455","0x46e0","6","52","172.29.250.200","138.199.45.225","32","0","53080","80","76","39093","383","0x5fb5"
"10","Mar 12, 2025 16:05:53.282651000 CET","24330","24330","0x001f","0x804e","6","24316","138.199.45.225","172.29.250.200","32","24264","80","53080","39093","76","2560","0x5f95"
"11","Mar 12, 2025 16:05:53.283370000 CET","66","66","0x9456","0x46df","6","52","172.29.250.200","138.199.45.225","32","0","53080","80","76","63357","383","0x5fb5"
"12","Mar 12, 2025 16:05:53.315335000 CET","1414","1414","0x0031","0xd9c0","6","1400","138.199.45.225","172.29.250.200","32","1348","80","53080","63357","76","2560","0xec1c"
"13","Mar 12, 2025 16:05:53.316665000 CET","66","66","0x9457","0x46de","6","52","172.29.250.200","138.199.45.225","32","0","53080","80","76","64705","501","0x5fb5"
"14","Mar 12, 2025 16:05:53.317520000 CET","5458","5458","0x0032","0xc9f3","6","5444","138.199.45.225","172.29.250.200","32","5392","80","53080","64705","76","2560","0x5f95"
"15","Mar 12, 2025 16:05:53.317828000 CET","66","66","0x9458","0x46dd","6","52","172.29.250.200","138.199.45.225","32","0","53080","80","76","70097","479","0x5fb5"
"16","Mar 12, 2025 16:05:53.324855000 CET","13546","13546","0x0036","0xaa57","6","13532","138.199.45.225","172.29.250.200","32","13480","80","53080","70097","76","2560","0x5f95"
"17","Mar 12, 2025 16:05:53.325693000 CET","66","66","0x9459","0x46dc","6","52","172.29.250.200","138.199.45.225","32","0","53080","80","76","83577","447","0x5fb5"
"18","Mar 12, 2025 16:05:53.330631000 CET","28374","28374","0x0040","0x7061","6","28360","138.199.45.225","172.29.250.200","32","28308","80","53080","83577","76","2560","0x5f95"
"19","Mar 12, 2025 16:05:53.332186000 CET","66","66","0x945a","0x46db","6","52","172.29.250.200","138.199.45.225","32","0","53080","80","76","111885","943","0x5fb5"
"20","Mar 12, 2025 16:05:53.350010000 CET","1414","1414","0x0055","0xd99c","6","1400","138.199.45.225","172.29.250.200","32","1348","80","53080","111885","76","2560","0x11d7"
"21","Mar 12, 2025 16:05:53.350361000 CET","66","66","0x945b","0x46da","6","52","172.29.250.200","138.199.45.225","32","0","53080","80","76","113233","966","0x5fb5"
"22","Mar 12, 2025 16:05:53.355763000 CET","17590","17590","0x0056","0x9a6b","6","17576","138.199.45.225","172.29.250.200","32","17524","80","53080","113233","76","2560","0x5f95"
"23","Mar 12, 2025 16:05:53.356965000 CET","66","66","0x945c","0x46d9","6","52","172.29.250.200","138.199.45.225","32","0","53080","80","76","130757","1240","0x5fb5"
"24","Mar 12, 2025 16:05:53.362039000 CET","1414","1414","0x0063","0xd98e","6","1400","138.199.45.225","172.29.250.200","32","1348","80","53080","130757","76","2560","0xdd6d"
"25","Mar 12, 2025 16:05:53.362611000 CET","66","66","0x945d","0x46d8","6","52","172.29.250.200","138.199.45.225","32","0","53080","80","76","132105","1263","0x5fb5"
"26","Mar 12, 2025 16:05:53.367249000 CET","20286","20286","0x0064","0x8fd5","6","20272","138.199.45.225","172.29.250.200","32","20220","80","53080","132105","76","2560","0x5f95"
"27","Mar 12, 2025 16:05:53.367980000 CET","66","66","0x945e","0x46d7","6","52","172.29.250.200","138.199.45.225","32","0","53080","80","76","152325","1578","0x5fb5"
"28","Mar 12, 2025 16:05:53.368700000 CET","12198","12198","0x0073","0xaf5e","6","12184","138.199.45.225","172.29.250.200","32","12132","80","53080","152325","76","2560","0x5f95"
"29","Mar 12, 2025 16:05:53.369232000 CET","66","66","0x945f","0x46d6","6","52","172.29.250.200","138.199.45.225","32","0","53080","80","76","164457","1768","0x5fb5"
"30","Mar 12, 2025 16:05:53.375900000 CET","5458","5458","0x007c","0xc9a9","6","5444","138.199.45.225","172.29.250.200","32","5392","80","53080","164457","76","2560","0x5f95"
"31","Mar 12, 2025 16:05:53.376206000 CET","162","162","0x0080","0xde55","6","148","138.199.45.225","172.29.250.200","32","96","80","53080","169849","76","2560","0xea01"
"32","Mar 12, 2025 16:05:53.376300000 CET","66","66","0x9460","0x46d5","6","52","172.29.250.200","138.199.45.225","32","0","53080","80","76","169849","1852","0x5fb5"
"33","Mar 12, 2025 16:05:53.376363000 CET","66","66","0x9461","0x46d4","6","52","172.29.250.200","138.199.45.225","32","0","53080","80","76","169945","1852","0x5fb5"
"34","Mar 12, 2025 16:05:53.376542000 CET","66","66","0x9462","0x46d3","6","52","172.29.250.200","138.199.45.225","32","0","53080","80","76","169945","1852","0x5fb5"
"35","Mar 12, 2025 16:05:53.401543000 CET","66","66","0x0081","0xdeb4","6","52","138.199.45.225","172.29.250.200","32","0","80","53080","169945","77","2560","0xc10f"
"36","Mar 12, 2025 16:05:53.407786000 CET","66","66","0x0082","0xdeb3","6","52","138.199.45.225","172.29.250.200","32","0","80","53080","169945","77","2560","0xc10d"
"37","Mar 12, 2025 16:05:53.408107000 CET","66","66","0x0000","0xdb35","6","52","172.29.250.200","138.199.45.225","32","0","53080","80","77","169946","1852","0xc3b1"
