frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 12, 2025 16:04:15.305125000 CET","74","74","0xa065","0xd09f","6","60","172.29.250.200","2.22.32.187","40","0","60892","443","0","0","64240","0xc9e5"
"2","Mar 12, 2025 16:04:15.339743000 CET","74","74","0x0000","0x7f05","6","60","2.22.32.187","172.29.250.200","40","0","443","60892","0","1","65160","0x16ac"
"3","Mar 12, 2025 16:04:15.340433000 CET","66","66","0xa066","0xd0a6","6","52","172.29.250.200","2.22.32.187","32","0","60892","443","1","1","502","0xc9dd"
"4","Mar 12, 2025 16:04:15.343046000 CET","583","583","0xa067","0xcea0","6","569","172.29.250.200","2.22.32.187","32","517","60892","443","1","1","502","0xcbe2"
"5","Mar 12, 2025 16:04:15.346495000 CET","74","74","0x0000","0x7f05","6","60","2.22.32.187","172.29.250.200","40","0","443","60892","0","1","65160","0x16a5"
"6","Mar 12, 2025 16:04:15.346680000 CET","66","66","0xa068","0xd0a4","6","52","172.29.250.200","2.22.32.187","32","0","60892","443","518","1","502","0xc9dd"
"7","Mar 12, 2025 16:04:15.381249000 CET","66","66","0x0001","0x750c","6","52","2.22.32.187","172.29.250.200","32","0","443","60892","1","1","65535","0x4373"
"8","Mar 12, 2025 16:04:15.386307000 CET","66","66","0x0002","0x750b","6","52","2.22.32.187","172.29.250.200","32","0","443","60892","1","518","65535","0x4166"
"9","Mar 12, 2025 16:04:15.407895000 CET","2762","2762","0x0003","0x6a82","6","2748","2.22.32.187","172.29.250.200","32","2696","443","60892","1","518","65535","0xc9bd"
"10","Mar 12, 2025 16:04:15.408284000 CET","961","961","0x0005","0x7189","6","947","2.22.32.187","172.29.250.200","32","895","443","60892","2697","518","65535","0x7050"
"11","Mar 12, 2025 16:04:15.408413000 CET","66","66","0xa069","0xd0a3","6","52","172.29.250.200","2.22.32.187","32","0","60892","443","518","2697","499","0xc9dd"
"12","Mar 12, 2025 16:04:15.408484000 CET","66","66","0xa06a","0xd0a2","6","52","172.29.250.200","2.22.32.187","32","0","60892","443","518","3592","493","0xc9dd"
"13","Mar 12, 2025 16:04:15.409648000 CET","146","146","0xa06b","0xd051","6","132","172.29.250.200","2.22.32.187","32","80","60892","443","518","3592","501","0xca2d"
"14","Mar 12, 2025 16:04:15.409860000 CET","161","161","0xa06c","0xd041","6","147","172.29.250.200","2.22.32.187","32","95","60892","443","598","3592","501","0xca3c"
"15","Mar 12, 2025 16:04:15.410277000 CET","163","163","0xa06d","0xd03e","6","149","172.29.250.200","2.22.32.187","32","97","60892","443","693","3592","501","0xca3e"
"16","Mar 12, 2025 16:04:15.450187000 CET","66","66","0x0006","0x7507","6","52","2.22.32.187","172.29.250.200","32","0","443","60892","3592","598","65535","0x328c"
