frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 12, 2025 16:06:45.295042000 CET","74","74","0x0835","0x8980","6","60","172.29.250.200","192.0.66.32","40","0","52704","443","0","0","64240","0xa935"
"2","Mar 12, 2025 16:06:45.357435000 CET","66","66","0x0000","0x9fbd","6","52","192.0.66.32","172.29.250.200","32","0","443","52704","0","1","42340","0xd714"
"3","Mar 12, 2025 16:06:45.357826000 CET","54","54","0x0836","0x8993","6","40","172.29.250.200","192.0.66.32","20","0","52704","443","1","1","502","0xa921"
"4","Mar 12, 2025 16:06:45.359742000 CET","571","571","0x0837","0x878d","6","557","172.29.250.200","192.0.66.32","20","517","52704","443","1","1","502","0xab26"
"5","Mar 12, 2025 16:06:45.398971000 CET","54","54","0x0001","0x95c8","6","40","192.0.66.32","172.29.250.200","20","0","443","52704","1","518","20478","0x6ae6"
"6","Mar 12, 2025 16:06:45.400311000 CET","1414","1414","0x0002","0x9077","6","1400","192.0.66.32","172.29.250.200","20","1360","443","52704","1","518","20480","0xd4fc"
"7","Mar 12, 2025 16:06:45.400717000 CET","54","54","0x0838","0x8991","6","40","172.29.250.200","192.0.66.32","20","0","52704","443","518","1361","501","0xa921"
"8","Mar 12, 2025 16:06:45.407131000 CET","1103","1103","0x0003","0x91ad","6","1089","192.0.66.32","172.29.250.200","20","1049","443","52704","1361","518","20480","0xe420"
"9","Mar 12, 2025 16:06:45.407492000 CET","54","54","0x0839","0x8990","6","40","172.29.250.200","192.0.66.32","20","0","52704","443","518","2410","501","0xa921"
"10","Mar 12, 2025 16:06:45.408957000 CET","134","134","0x083a","0x893f","6","120","172.29.250.200","192.0.66.32","20","80","52704","443","518","2410","501","0xa971"
"11","Mar 12, 2025 16:06:45.409191000 CET","149","149","0x083b","0x892f","6","135","172.29.250.200","192.0.66.32","20","95","52704","443","598","2410","501","0xa980"
"12","Mar 12, 2025 16:06:45.409388000 CET","151","151","0x083c","0x892c","6","137","172.29.250.200","192.0.66.32","20","97","52704","443","693","2410","501","0xa982"
"13","Mar 12, 2025 16:06:45.437731000 CET","54","54","0x0004","0x95c5","6","40","192.0.66.32","172.29.250.200","20","0","443","52704","2410","598","20479","0x612c"
"14","Mar 12, 2025 16:06:45.438482000 CET","54","54","0x0005","0x95c4","6","40","192.0.66.32","172.29.250.200","20","0","443","52704","2410","693","20479","0x60cd"
"15","Mar 12, 2025 16:06:45.438625000 CET","341","341","0x0006","0x94a4","6","327","192.0.66.32","172.29.250.200","20","287","443","52704","2410","693","20480","0x46a9"
"16","Mar 12, 2025 16:06:45.438722000 CET","412","412","0x0007","0x945c","6","398","192.0.66.32","172.29.250.200","20","358","443","52704","2697","693","20480","0xcd61"
"17","Mar 12, 2025 16:06:45.439354000 CET","54","54","0x083d","0x898c","6","40","172.29.250.200","192.0.66.32","20","0","52704","443","790","3055","501","0xa921"
"18","Mar 12, 2025 16:06:45.439635000 CET","85","85","0x083e","0x896c","6","71","172.29.250.200","192.0.66.32","20","31","52704","443","790","3055","501","0xa940"
"19","Mar 12, 2025 16:06:45.444880000 CET","54","54","0x0008","0x95c1","6","40","192.0.66.32","172.29.250.200","20","0","443","52704","3055","790","20479","0x5de7"
"20","Mar 12, 2025 16:06:45.445257000 CET","535","535","0x0009","0x93df","6","521","192.0.66.32","172.29.250.200","20","481","443","52704","3055","790","20480","0xd733"
"21","Mar 12, 2025 16:06:45.452302000 CET","74","74","0xe787","0xaa2d","6","60","172.29.250.200","192.0.66.32","40","0","52716","443","0","0","64240","0xa935"
"22","Mar 12, 2025 16:06:45.454422000 CET","54","54","0x000a","0x95bf","6","40","192.0.66.32","172.29.250.200","20","0","443","52704","3536","821","20479","0x5be7"
"23","Mar 12, 2025 16:06:45.481290000 CET","66","66","0x0000","0x9fbd","6","52","192.0.66.32","172.29.250.200","32","0","443","52716","0","1","42340","0x6541"
"24","Mar 12, 2025 16:06:45.481846000 CET","54","54","0xe788","0xaa40","6","40","172.29.250.200","192.0.66.32","20","0","52716","443","1","1","502","0xa921"
"25","Mar 12, 2025 16:06:45.482465000 CET","571","571","0xe789","0xa83a","6","557","172.29.250.200","192.0.66.32","20","517","52716","443","1","1","502","0xab26"
"26","Mar 12, 2025 16:06:45.490150000 CET","54","54","0x083f","0x898a","6","40","172.29.250.200","192.0.66.32","20","0","52704","443","821","3536","501","0xa921"
"27","Mar 12, 2025 16:06:45.507915000 CET","54","54","0x0001","0x95c8","6","40","192.0.66.32","172.29.250.200","20","0","443","52716","1","518","20478","0xf912"
"28","Mar 12, 2025 16:06:45.518733000 CET","2462","2462","0x0002","0x8c5f","6","2448","192.0.66.32","172.29.250.200","20","2408","443","52716","1","518","20480","0xb289"
"29","Mar 12, 2025 16:06:45.519392000 CET","54","54","0xe78a","0xaa3e","6","40","172.29.250.200","192.0.66.32","20","0","52716","443","518","2409","498","0xa921"
"30","Mar 12, 2025 16:06:45.521243000 CET","134","134","0xe78b","0xa9ed","6","120","172.29.250.200","192.0.66.32","20","80","52716","443","518","2409","501","0xa971"
"31","Mar 12, 2025 16:06:45.521543000 CET","149","149","0xe78c","0xa9dd","6","135","172.29.250.200","192.0.66.32","20","95","52716","443","598","2409","501","0xa980"
"32","Mar 12, 2025 16:06:45.521690000 CET","147","147","0xe78d","0xa9de","6","133","172.29.250.200","192.0.66.32","20","93","52716","443","693","2409","501","0xa97e"
"33","Mar 12, 2025 16:06:45.544068000 CET","54","54","0x0004","0x95c5","6","40","192.0.66.32","172.29.250.200","20","0","443","52716","2409","598","20479","0xef59"
"34","Mar 12, 2025 16:06:45.544379000 CET","54","54","0x0005","0x95c4","6","40","192.0.66.32","172.29.250.200","20","0","443","52716","2409","693","20479","0xeefa"
"35","Mar 12, 2025 16:06:45.556501000 CET","699","699","0x0006","0x933e","6","685","192.0.66.32","172.29.250.200","20","645","443","52716","2409","693","20480","0xfd98"
"36","Mar 12, 2025 16:06:45.556948000 CET","54","54","0x0007","0x95c2","6","40","192.0.66.32","172.29.250.200","20","0","443","52716","3054","786","20479","0xec18"
"37","Mar 12, 2025 16:06:45.557513000 CET","85","85","0xe78e","0xaa1b","6","71","172.29.250.200","192.0.66.32","20","31","52716","443","786","3054","501","0xa940"
"38","Mar 12, 2025 16:06:45.561715000 CET","4134","4134","0x0008","0x85d1","6","4120","192.0.66.32","172.29.250.200","20","4080","443","52716","3054","786","20480","0xa90d"
"39","Mar 12, 2025 16:06:45.561962000 CET","116","116","0x000b","0x9580","6","102","192.0.66.32","172.29.250.200","20","62","443","52716","7134","786","20480","0x871c"
"40","Mar 12, 2025 16:06:45.562013000 CET","1476","1476","0x000c","0x902f","6","1462","192.0.66.32","172.29.250.200","20","1422","443","52716","7196","786","20480","0xaeaf"
"41","Mar 12, 2025 16:06:45.562204000 CET","54","54","0xe78f","0xaa39","6","40","172.29.250.200","192.0.66.32","20","0","52716","443","817","8618","479","0xa921"
