frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 12, 2025 16:13:10.313256000 CET","74","74","0x02d3","0x07f9","6","60","172.29.250.200","151.101.241.164","40","0","37546","443","0","0","64240","0x301f"
"2","Mar 12, 2025 16:13:10.354438000 CET","74","74","0x0000","0x18cc","6","60","151.101.241.164","172.29.250.200","40","0","443","37546","0","1","65535","0x2dae"
"3","Mar 12, 2025 16:13:10.354801000 CET","66","66","0x02d4","0x0800","6","52","172.29.250.200","151.101.241.164","32","0","37546","443","1","1","502","0x3017"
"4","Mar 12, 2025 16:13:10.356789000 CET","583","583","0x02d5","0x05fa","6","569","172.29.250.200","151.101.241.164","32","517","37546","443","1","1","502","0x321c"
"5","Mar 12, 2025 16:13:10.392578000 CET","66","66","0x0001","0x0ed3","6","52","151.101.241.164","172.29.250.200","32","0","443","37546","1","518","20478","0x09e9"
"6","Mar 12, 2025 16:13:10.398596000 CET","1414","1414","0x0002","0x098e","6","1400","151.101.241.164","172.29.250.200","32","1348","443","37546","1","518","20480","0xdcd3"
"7","Mar 12, 2025 16:13:10.398909000 CET","66","66","0x02d6","0x07fe","6","52","172.29.250.200","151.101.241.164","32","0","37546","443","518","1349","501","0x3017"
"8","Mar 12, 2025 16:13:10.407325000 CET","2738","2738","0x0003","0x0461","6","2724","151.101.241.164","172.29.250.200","32","2672","443","37546","1349","518","20480","0x3a87"
"9","Mar 12, 2025 16:13:10.407613000 CET","66","66","0x02d7","0x07fd","6","52","172.29.250.200","151.101.241.164","32","0","37546","443","518","4021","497","0x3017"
"10","Mar 12, 2025 16:13:10.408595000 CET","130","130","0x02d8","0x07bc","6","116","172.29.250.200","151.101.241.164","32","64","37546","443","518","4021","497","0x3057"
"11","Mar 12, 2025 16:13:10.408872000 CET","112","112","0x02d9","0x07cd","6","98","172.29.250.200","151.101.241.164","32","46","37546","443","582","4021","497","0x3045"
"12","Mar 12, 2025 16:13:10.408978000 CET","115","115","0x02da","0x07c9","6","101","172.29.250.200","151.101.241.164","32","49","37546","443","628","4021","497","0x3048"
"13","Mar 12, 2025 16:13:10.409076000 CET","101","101","0x02db","0x07d6","6","87","172.29.250.200","151.101.241.164","32","35","37546","443","677","4021","497","0x303a"
"14","Mar 12, 2025 16:13:10.409136000 CET","128","128","0x02dc","0x07ba","6","114","172.29.250.200","151.101.241.164","32","62","37546","443","712","4021","497","0x3055"
"15","Mar 12, 2025 16:13:10.424482000 CET","66","66","0x0005","0x0ecf","6","52","151.101.241.164","172.29.250.200","32","0","443","37546","4021","582","20479","0xf9a3"
"16","Mar 12, 2025 16:13:10.437084000 CET","66","66","0x0006","0x0ece","6","52","151.101.241.164","172.29.250.200","32","0","443","37546","4021","628","20479","0xf969"
"17","Mar 12, 2025 16:13:10.437354000 CET","66","66","0x0007","0x0ecd","6","52","151.101.241.164","172.29.250.200","32","0","443","37546","4021","677","20479","0xf938"
"18","Mar 12, 2025 16:13:10.437408000 CET","66","66","0x0008","0x0ecc","6","52","151.101.241.164","172.29.250.200","32","0","443","37546","4021","712","20479","0xf915"
"19","Mar 12, 2025 16:13:10.437454000 CET","66","66","0x0009","0x0ecb","6","52","151.101.241.164","172.29.250.200","32","0","443","37546","4021","774","20479","0xf8d7"
"20","Mar 12, 2025 16:13:10.443441000 CET","131","131","0x000a","0x0e89","6","117","151.101.241.164","172.29.250.200","32","65","443","37546","4021","774","20480","0xb91f"
"21","Mar 12, 2025 16:13:10.443838000 CET","1414","1414","0x000b","0x0985","6","1400","151.101.241.164","172.29.250.200","32","1348","443","37546","4086","774","20480","0x9cf2"
