frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 12, 2025 16:05:03.296563000 CET","74","74","0x3600","0x1ede","6","60","172.29.250.200","131.175.187.72","40","0","35188","443","0","0","64240","0xe60c"
"2","Mar 12, 2025 16:05:03.327321000 CET","66","66","0x2bec","0x7ff9","6","52","131.175.187.72","172.29.250.200","32","0","443","35188","0","1","8190","0x0871"
"3","Mar 12, 2025 16:05:03.328003000 CET","54","54","0x3601","0x1ef1","6","40","172.29.250.200","131.175.187.72","20","0","35188","443","1","1","502","0xe5f8"
"4","Mar 12, 2025 16:05:03.331471000 CET","571","571","0x3602","0x1ceb","6","557","172.29.250.200","131.175.187.72","20","517","35188","443","1","1","502","0xe7fd"
"5","Mar 12, 2025 16:05:03.374060000 CET","54","54","0x0001","0x58f1","6","40","131.175.187.72","172.29.250.200","20","0","443","35188","1","518","40957","0xc6bd"
"6","Mar 12, 2025 16:05:03.387030000 CET","1384","1384","0x0002","0x53be","6","1370","131.175.187.72","172.29.250.200","20","1330","443","35188","1","518","40960","0x915a"
"7","Mar 12, 2025 16:05:03.387277000 CET","2515","2515","0x0003","0x4f52","6","2501","131.175.187.72","172.29.250.200","20","2461","443","35188","1331","518","40960","0xef95"
"8","Mar 12, 2025 16:05:03.387388000 CET","54","54","0x3603","0x1eef","6","40","172.29.250.200","131.175.187.72","20","0","35188","443","518","1331","501","0xe5f8"
"9","Mar 12, 2025 16:05:03.387457000 CET","54","54","0x3604","0x1eee","6","40","172.29.250.200","131.175.187.72","20","0","35188","443","518","3792","482","0xe5f8"
"10","Mar 12, 2025 16:05:03.389024000 CET","134","134","0x3605","0x1e9d","6","120","172.29.250.200","131.175.187.72","20","80","35188","443","518","3792","501","0xe648"
"11","Mar 12, 2025 16:05:03.389226000 CET","149","149","0x3606","0x1e8d","6","135","172.29.250.200","131.175.187.72","20","95","35188","443","598","3792","501","0xe657"
"12","Mar 12, 2025 16:05:03.389415000 CET","150","150","0x3607","0x1e8b","6","136","172.29.250.200","131.175.187.72","20","96","35188","443","693","3792","501","0xe658"
"13","Mar 12, 2025 16:05:03.420636000 CET","54","54","0x0005","0x58ed","6","40","131.175.187.72","172.29.250.200","20","0","443","35188","3792","598","40959","0xb79c"
"14","Mar 12, 2025 16:05:03.421186000 CET","54","54","0x0006","0x58ec","6","40","131.175.187.72","172.29.250.200","20","0","443","35188","3792","789","40958","0xb6de"
"15","Mar 12, 2025 16:05:03.427254000 CET","341","341","0x0007","0x57cc","6","327","131.175.187.72","172.29.250.200","20","287","443","35188","3792","789","40960","0x46b2"
"16","Mar 12, 2025 16:05:03.427589000 CET","412","412","0x0008","0x5784","6","398","131.175.187.72","172.29.250.200","20","358","443","35188","4079","789","40960","0xd31c"
"17","Mar 12, 2025 16:05:03.428010000 CET","54","54","0x3608","0x1eea","6","40","172.29.250.200","131.175.187.72","20","0","35188","443","789","4437","501","0xe5f8"
"18","Mar 12, 2025 16:05:03.428199000 CET","85","85","0x3609","0x1eca","6","71","172.29.250.200","131.175.187.72","20","31","35188","443","789","4437","501","0xe617"
"19","Mar 12, 2025 16:05:03.452082000 CET","54","54","0x0009","0x58e9","6","40","131.175.187.72","172.29.250.200","20","0","443","35188","4437","820","40959","0xb439"
"20","Mar 12, 2025 16:05:03.552724000 CET","1384","1384","0x000a","0x53b6","6","1370","131.175.187.72","172.29.250.200","20","1330","443","35188","4437","820","40960","0x2dbf"
"21","Mar 12, 2025 16:05:03.553020000 CET","9574","9574","0x000b","0x33b7","6","9560","131.175.187.72","172.29.250.200","20","9520","443","35188","5767","820","40960","0xe5e4"
"22","Mar 12, 2025 16:05:03.553141000 CET","1266","1266","0x0012","0x5424","6","1252","131.175.187.72","172.29.250.200","20","1212","443","35188","15287","820","40960","0xbc02"
"23","Mar 12, 2025 16:05:03.553342000 CET","54","54","0x360a","0x1ee8","6","40","172.29.250.200","131.175.187.72","20","0","35188","443","820","16499","439","0xe5f8"
"24","Mar 12, 2025 16:05:03.557707000 CET","1384","1384","0x0013","0x53ad","6","1370","131.175.187.72","172.29.250.200","20","1330","443","35188","16499","820","40960","0xbf1e"
"25","Mar 12, 2025 16:05:03.557803000 CET","4134","4134","0x0014","0x48ee","6","4120","131.175.187.72","172.29.250.200","20","4080","443","35188","17829","820","40960","0xe5e4"
"26","Mar 12, 2025 16:05:03.557858000 CET","1294","1294","0x0017","0x5403","6","1280","131.175.187.72","172.29.250.200","20","1240","443","35188","21909","820","40960","0x569a"
