frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 12, 2025 16:16:23.753861000 CET","42","42",,,,,,,,,,,,,,
"2","Mar 12, 2025 16:16:23.754466000 CET","42","42",,,,,,,,,,,,,,
"3","Mar 12, 2025 16:16:23.808379000 CET","74","74","0x6ff4","0xff29","6","60","172.29.250.200","2.22.34.162","40","0","51670","443","0","0","64240","0xcbcc"
"4","Mar 12, 2025 16:16:23.856641000 CET","74","74","0x0000","0x7d1e","6","60","2.22.34.162","172.29.250.200","40","0","443","51670","0","1","65160","0xc34e"
"5","Mar 12, 2025 16:16:23.856974000 CET","66","66","0x6ff5","0xff30","6","52","172.29.250.200","2.22.34.162","32","0","51670","443","1","1","502","0xcbc4"
"6","Mar 12, 2025 16:16:23.858944000 CET","583","583","0x6ff6","0xfd2a","6","569","172.29.250.200","2.22.34.162","32","517","51670","443","1","1","502","0xcdc9"
"7","Mar 12, 2025 16:16:23.902372000 CET","66","66","0x0001","0x7325","6","52","2.22.34.162","172.29.250.200","32","0","443","51670","1","518","65535","0xee08"
"8","Mar 12, 2025 16:16:23.907831000 CET","1414","1414","0x0002","0x6de0","6","1400","2.22.34.162","172.29.250.200","32","1348","443","51670","1","518","65535","0x9403"
"9","Mar 12, 2025 16:16:23.908154000 CET","66","66","0x6ff7","0xff2e","6","52","172.29.250.200","2.22.34.162","32","0","51670","443","518","1349","501","0xcbc4"
"10","Mar 12, 2025 16:16:23.914677000 CET","2762","2762","0x0003","0x689b","6","2748","2.22.34.162","172.29.250.200","32","2696","443","51670","1349","518","65535","0xcba4"
"11","Mar 12, 2025 16:16:23.916574000 CET","118","118","0x0005","0x72ed","6","104","2.22.34.162","172.29.250.200","32","52","443","51670","4045","518","65535","0x2cf8"
"12","Mar 12, 2025 16:16:23.916709000 CET","1005","1005","0x0006","0x6f75","6","991","2.22.34.162","172.29.250.200","32","939","443","51670","4097","518","65535","0x4528"
