frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 12, 2025 16:13:41.145965000 CET","74","74","0x78b5","0x924b","6","60","172.29.250.200","151.101.241.111","40","0","35766","443","0","0","64240","0x2fea"
"2","Mar 12, 2025 16:13:41.218896000 CET","74","74","0x0000","0x1901","6","60","151.101.241.111","172.29.250.200","40","0","443","35766","0","1","65535","0xef2c"
"3","Mar 12, 2025 16:13:41.219228000 CET","66","66","0x78b6","0x9252","6","52","172.29.250.200","151.101.241.111","32","0","35766","443","1","1","502","0x2fe2"
"4","Mar 12, 2025 16:13:41.220880000 CET","583","583","0x78b7","0x904c","6","569","172.29.250.200","151.101.241.111","32","517","35766","443","1","1","502","0x31e7"
"5","Mar 12, 2025 16:13:41.259241000 CET","66","66","0x0001","0x0f08","6","52","151.101.241.111","172.29.250.200","32","0","443","35766","1","518","20478","0xcb48"
"6","Mar 12, 2025 16:13:41.272152000 CET","1414","1414","0x0002","0x09c3","6","1400","151.101.241.111","172.29.250.200","32","1348","443","35766","1","518","20480","0xab7a"
"7","Mar 12, 2025 16:13:41.272464000 CET","66","66","0x78b8","0x9250","6","52","172.29.250.200","151.101.241.111","32","0","35766","443","518","1349","501","0x2fe2"
"8","Mar 12, 2025 16:13:41.277073000 CET","2762","2762","0x0003","0x047e","6","2748","151.101.241.111","172.29.250.200","32","2696","443","35766","1349","518","20480","0x2fc2"
"9","Mar 12, 2025 16:13:41.277284000 CET","349","349","0x0005","0x0de9","6","335","151.101.241.111","172.29.250.200","32","283","443","35766","4045","518","20480","0xec96"
"10","Mar 12, 2025 16:13:41.277380000 CET","66","66","0x78b9","0x924f","6","52","172.29.250.200","151.101.241.111","32","0","35766","443","518","4045","499","0x2fe2"
"11","Mar 12, 2025 16:13:41.277455000 CET","66","66","0x78ba","0x924e","6","52","172.29.250.200","151.101.241.111","32","0","35766","443","518","4328","497","0x2fe2"
"12","Mar 12, 2025 16:13:41.278633000 CET","130","130","0x78bb","0x920d","6","116","172.29.250.200","151.101.241.111","32","64","35766","443","518","4328","501","0x3022"
"13","Mar 12, 2025 16:13:41.278811000 CET","112","112","0x78bc","0x921e","6","98","172.29.250.200","151.101.241.111","32","46","35766","443","582","4328","501","0x3010"
"14","Mar 12, 2025 16:13:41.278871000 CET","115","115","0x78bd","0x921a","6","101","172.29.250.200","151.101.241.111","32","49","35766","443","628","4328","501","0x3013"
"15","Mar 12, 2025 16:13:41.279093000 CET","166","166","0x78be","0x91e6","6","152","172.29.250.200","151.101.241.111","32","100","35766","443","677","4328","501","0x3046"
"16","Mar 12, 2025 16:13:41.297897000 CET","66","66","0x0006","0x0f03","6","52","151.101.241.111","172.29.250.200","32","0","443","35766","4328","582","20479","0xb9c4"
"17","Mar 12, 2025 16:13:41.309130000 CET","66","66","0x0007","0x0f02","6","52","151.101.241.111","172.29.250.200","32","0","443","35766","4328","677","20479","0xb960"
"18","Mar 12, 2025 16:13:41.309356000 CET","66","66","0x0008","0x0f01","6","52","151.101.241.111","172.29.250.200","32","0","443","35766","4328","777","20479","0xb8fc"
"19","Mar 12, 2025 16:13:41.309410000 CET","131","131","0x0009","0x0ebf","6","117","151.101.241.111","172.29.250.200","32","65","443","35766","4328","777","20480","0xe9bc"
"20","Mar 12, 2025 16:13:41.309445000 CET","1020","1020","0x000a","0x0b45","6","1006","151.101.241.111","172.29.250.200","32","954","443","35766","4393","777","20480","0x0c34"
"21","Mar 12, 2025 16:13:41.309694000 CET","97","97","0x78bf","0x922a","6","83","172.29.250.200","151.101.241.111","32","31","35766","443","777","5347","501","0x3001"
"22","Mar 12, 2025 16:13:41.310023000 CET","109","109","0x78c0","0x921d","6","95","172.29.250.200","151.101.241.111","32","43","35766","443","808","5347","501","0x300d"
"23","Mar 12, 2025 16:13:41.325126000 CET","66","66","0x000b","0x0efe","6","52","151.101.241.111","172.29.250.200","32","0","443","35766","5347","808","20479","0xb4ae"
"24","Mar 12, 2025 16:13:41.337390000 CET","66","66","0x000c","0x0efd","6","52","151.101.241.111","172.29.250.200","32","0","443","35766","5347","851","20479","0xb47a"
"25","Mar 12, 2025 16:13:41.371586000 CET","1414","1414","0x000d","0x09b8","6","1400","151.101.241.111","172.29.250.200","32","1348","443","35766","5347","851","20480","0x3a01"
"26","Mar 12, 2025 16:13:41.377253000 CET","8154","8154","0x000e","0xef62","6","8140","151.101.241.111","172.29.250.200","32","8088","443","35766","6695","851","20480","0x2fc2"
"27","Mar 12, 2025 16:13:41.377507000 CET","1352","1352","0x0014","0x09ef","6","1338","151.101.241.111","172.29.250.200","32","1286","443","35766","14783","851","20480","0xc574"
"28","Mar 12, 2025 16:13:41.377569000 CET","6806","6806","0x0015","0xf49f","6","6792","151.101.241.111","172.29.250.200","32","6740","443","35766","16069","851","20480","0x2fc2"
"29","Mar 12, 2025 16:13:41.377631000 CET","547","547","0x001a","0x0d0e","6","533","151.101.241.111","172.29.250.200","32","481","443","35766","22809","851","20480","0x0674"
"30","Mar 12, 2025 16:13:41.377675000 CET","8154","8154","0x001b","0xef55","6","8140","151.101.241.111","172.29.250.200","32","8088","443","35766","23290","851","20480","0x2fc2"
"31","Mar 12, 2025 16:13:41.377862000 CET","66","66","0x78c1","0x9247","6","52","172.29.250.200","151.101.241.111","32","0","35766","443","851","31378","349","0x2fe2"
"32","Mar 12, 2025 16:13:41.377947000 CET","1414","1414","0x0021","0x09a4","6","1400","151.101.241.111","172.29.250.200","32","1348","443","35766","31378","851","20480","0x0630"
"33","Mar 12, 2025 16:13:41.382805000 CET","9502","9502","0x0022","0xea0a","6","9488","151.101.241.111","172.29.250.200","32","9436","443","35766","32726","851","20480","0x2fc2"
"34","Mar 12, 2025 16:13:41.382927000 CET","66","66","0x78c2","0x9246","6","52","172.29.250.200","151.101.241.111","32","0","35766","443","851","42162","447","0x2fe2"
"35","Mar 12, 2025 16:13:41.390372000 CET","27026","27026","0x0029","0xa58f","6","27012","151.101.241.111","172.29.250.200","32","26960","443","35766","42162","851","20480","0x2fc2"
