frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 12, 2025 16:03:41.347839000 CET","74","74","0x6dec","0x706f","6","60","172.29.250.200","23.50.158.72","40","0","41940","443","0","0","64240","0x5c8f"
"2","Mar 12, 2025 16:03:41.393636000 CET","74","74","0x0000","0xef5b","6","60","23.50.158.72","172.29.250.200","40","0","443","41940","0","1","65160","0x4d23"
"3","Mar 12, 2025 16:03:41.394008000 CET","66","66","0x6ded","0x7076","6","52","172.29.250.200","23.50.158.72","32","0","41940","443","1","1","502","0x5c87"
"4","Mar 12, 2025 16:03:41.395865000 CET","583","583","0x6dee","0x6e70","6","569","172.29.250.200","23.50.158.72","32","517","41940","443","1","1","502","0x5e8c"
"5","Mar 12, 2025 16:03:41.403460000 CET","74","74","0x0000","0xef5b","6","60","23.50.158.72","172.29.250.200","40","0","443","41940","0","1","65160","0x4d15"
"6","Mar 12, 2025 16:03:41.403789000 CET","66","66","0x6def","0x7074","6","52","172.29.250.200","23.50.158.72","32","0","41940","443","518","1","502","0x5c87"
"7","Mar 12, 2025 16:03:41.431641000 CET","66","66","0x0001","0xe262","6","52","23.50.158.72","172.29.250.200","32","0","443","41940","1","518","65535","0x77d1"
"8","Mar 12, 2025 16:03:41.439452000 CET","4110","4110","0x0002","0xd295","6","4096","23.50.158.72","172.29.250.200","32","4044","443","41940","1","518","65535","0x5c67"
"9","Mar 12, 2025 16:03:41.439909000 CET","118","118","0x0005","0xe22a","6","104","23.50.158.72","172.29.250.200","32","52","443","41940","4045","518","65535","0x20c9"
"10","Mar 12, 2025 16:03:41.439990000 CET","1376","1376","0x0006","0xdd3f","6","1362","23.50.158.72","172.29.250.200","32","1310","443","41940","4097","518","65535","0x0f13"
"11","Mar 12, 2025 16:03:41.440110000 CET","66","66","0x6df0","0x7073","6","52","172.29.250.200","23.50.158.72","32","0","41940","443","518","4045","479","0x5c87"
"12","Mar 12, 2025 16:03:41.440186000 CET","66","66","0x6df1","0x7072","6","52","172.29.250.200","23.50.158.72","32","0","41940","443","518","4097","479","0x5c87"
"13","Mar 12, 2025 16:03:41.440247000 CET","66","66","0x6df2","0x7071","6","52","172.29.250.200","23.50.158.72","32","0","41940","443","518","5407","479","0x5c87"
"14","Mar 12, 2025 16:03:41.441848000 CET","146","146","0x6df3","0x7020","6","132","172.29.250.200","23.50.158.72","32","80","41940","443","518","5407","501","0x5cd7"
"15","Mar 12, 2025 16:03:41.442070000 CET","172","172","0x6df4","0x7005","6","158","172.29.250.200","23.50.158.72","32","106","41940","443","598","5407","501","0x5cf1"
"16","Mar 12, 2025 16:03:41.469731000 CET","66","66","0x0007","0xe25c","6","52","23.50.158.72","172.29.250.200","32","0","443","41940","5407","598","65535","0x6217"
"17","Mar 12, 2025 16:03:41.470348000 CET","640","640","0x0008","0xe01d","6","626","23.50.158.72","172.29.250.200","32","574","443","41940","5407","598","65535","0x5c67"
"18","Mar 12, 2025 16:03:41.470453000 CET","66","66","0x000a","0xe259","6","52","23.50.158.72","172.29.250.200","32","0","443","41940","5981","704","65535","0x5f6b"
"19","Mar 12, 2025 16:03:41.475434000 CET","661","661","0x000b","0xe005","6","647","23.50.158.72","172.29.250.200","32","595","443","41940","5981","704","65535","0x4035"
"20","Mar 12, 2025 16:03:41.475787000 CET","66","66","0x6df5","0x706e","6","52","172.29.250.200","23.50.158.72","32","0","41940","443","704","6576","501","0x5c87"
"21","Mar 12, 2025 16:03:41.517081000 CET","74","74","0x3adc","0x3f4b","6","60","172.29.250.200","173.222.107.208","40","0","39386","443","0","0","64240","0xc0c3"
"22","Mar 12, 2025 16:03:41.556067000 CET","74","74","0x0000","0x8b27","6","60","173.222.107.208","172.29.250.200","40","0","443","39386","0","1","65160","0xbaa9"
"23","Mar 12, 2025 16:03:41.556746000 CET","66","66","0x3add","0x3f52","6","52","172.29.250.200","173.222.107.208","32","0","39386","443","1","1","502","0xc0bb"
"24","Mar 12, 2025 16:03:41.557534000 CET","583","583","0x3ade","0x3d4c","6","569","172.29.250.200","173.222.107.208","32","517","39386","443","1","1","502","0xc2c0"
"25","Mar 12, 2025 16:03:41.585964000 CET","66","66","0x0001","0x7e2e","6","52","173.222.107.208","172.29.250.200","32","0","443","39386","1","518","65535","0xe56c"
"26","Mar 12, 2025 16:03:41.592661000 CET","1402","1402","0x0002","0x78f5","6","1388","173.222.107.208","172.29.250.200","32","1336","443","39386","1","518","65535","0x67cf"
"27","Mar 12, 2025 16:03:41.592879000 CET","66","66","0x3adf","0x3f50","6","52","172.29.250.200","173.222.107.208","32","0","39386","443","518","1337","501","0xc0bb"
"28","Mar 12, 2025 16:03:41.602774000 CET","2047","2047","0x0003","0x766f","6","2033","173.222.107.208","172.29.250.200","32","1981","443","39386","1337","518","65535","0xc878"
"29","Mar 12, 2025 16:03:41.603065000 CET","66","66","0x3ae0","0x3f4f","6","52","172.29.250.200","173.222.107.208","32","0","39386","443","518","3318","500","0xc0bb"
"30","Mar 12, 2025 16:03:41.604500000 CET","146","146","0x3ae1","0x3efe","6","132","172.29.250.200","173.222.107.208","32","80","39386","443","518","3318","501","0xc10b"
"31","Mar 12, 2025 16:03:41.604804000 CET","112","112","0x3ae2","0x3f1f","6","98","172.29.250.200","173.222.107.208","32","46","39386","443","598","3318","501","0xc0e9"
"32","Mar 12, 2025 16:03:41.604882000 CET","115","115","0x3ae3","0x3f1b","6","101","172.29.250.200","173.222.107.208","32","49","39386","443","644","3318","501","0xc0ec"
"33","Mar 12, 2025 16:03:41.605019000 CET","171","171","0x3ae4","0x3ee2","6","157","172.29.250.200","173.222.107.208","32","105","39386","443","693","3318","501","0xc124"
"34","Mar 12, 2025 16:03:41.629004000 CET","66","66","0x0005","0x7e2a","6","52","173.222.107.208","172.29.250.200","32","0","443","39386","3318","798","65535","0xd708"
"35","Mar 12, 2025 16:03:41.635242000 CET","640","640","0x0006","0x7beb","6","626","173.222.107.208","172.29.250.200","32","574","443","39386","3318","798","65535","0xc09b"
"36","Mar 12, 2025 16:03:41.646624000 CET","158","158","0x0008","0x7dcb","6","144","173.222.107.208","172.29.250.200","32","92","443","39386","3892","798","65535","0x3a38"
"37","Mar 12, 2025 16:03:41.647228000 CET","97","97","0x3ae5","0x3f2b","6","83","172.29.250.200","173.222.107.208","32","31","39386","443","798","3984","501","0xc0da"
"38","Mar 12, 2025 16:03:41.668615000 CET","66","66","0x0009","0x7e26","6","52","173.222.107.208","172.29.250.200","32","0","443","39386","3984","829","65535","0xd401"
"39","Mar 12, 2025 16:03:41.831027000 CET","967","967","0x000a","0x7aa0","6","953","173.222.107.208","172.29.250.200","32","901","443","39386","3984","829","65535","0x3ab0"
"40","Mar 12, 2025 16:03:41.834198000 CET","62074","62074","0x000b","0x8beb","6","62060","173.222.107.208","172.29.250.200","32","62008","443","39386","4885","829","65535","0xc09b"
"41","Mar 12, 2025 16:03:41.834798000 CET","66","66","0x3ae6","0x3f49","6","52","172.29.250.200","173.222.107.208","32","0","39386","443","829","66893","255","0xc0bb"
"42","Mar 12, 2025 16:03:41.863107000 CET","13546","13546","0x0039","0x494e","6","13532","173.222.107.208","172.29.250.200","32","13480","443","39386","66893","829","65535","0xc09b"
"43","Mar 12, 2025 16:03:41.863585000 CET","66","66","0x3ae7","0x3f48","6","52","172.29.250.200","173.222.107.208","32","0","39386","443","829","80373","447","0xc0bb"
"44","Mar 12, 2025 16:03:41.869451000 CET","18938","18938","0x0043","0x3434","6","18924","173.222.107.208","172.29.250.200","32","18872","443","39386","80373","829","65535","0xc09b"
"45","Mar 12, 2025 16:03:41.869976000 CET","66","66","0x3ae8","0x3f47","6","52","172.29.250.200","173.222.107.208","32","0","39386","443","829","99245","383","0xc0bb"
"46","Mar 12, 2025 16:03:41.889040000 CET","1414","1414","0x0051","0x789a","6","1400","173.222.107.208","172.29.250.200","32","1348","443","39386","99245","829","65535","0xffdc"
"47","Mar 12, 2025 16:03:41.891450000 CET","24330","24330","0x0052","0x1f15","6","24316","173.222.107.208","172.29.250.200","32","24264","443","39386","100593","829","65535","0xc09b"
"48","Mar 12, 2025 16:03:41.891651000 CET","66","66","0x3ae9","0x3f46","6","52","172.29.250.200","173.222.107.208","32","0","39386","443","829","124857","383","0xc0bb"
