frame.number,frame.time,frame.len,frame.cap_len,ip.id,ip.checksum,ip.proto,ip.len,ip.src,ip.dst,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.window_size_value,tcp.checksum
"1","Mar 12, 2025 16:00:21.369162000 CET","74","74","0x10ba","0x7f74","6","60","172.29.250.200","13.107.246.60","40","0","45548","443","0","0","64240","0xaabc"
"2","Mar 12, 2025 16:00:21.406385000 CET","74","74","0x0000","0xa02e","6","60","13.107.246.60","172.29.250.200","40","0","443","45548","0","1","43338","0xe1bd"
"3","Mar 12, 2025 16:00:21.407016000 CET","66","66","0x10bb","0x7f7b","6","52","172.29.250.200","13.107.246.60","32","0","45548","443","1","1","502","0xaab4"
"4","Mar 12, 2025 16:00:21.409659000 CET","583","583","0x10bc","0x7d75","6","569","172.29.250.200","13.107.246.60","32","517","45548","443","1","1","502","0xacb9"
"5","Mar 12, 2025 16:00:21.468532000 CET","66","66","0x0001","0x9435","6","52","13.107.246.60","172.29.250.200","32","0","443","45548","1","518","20478","0x6747"
"6","Mar 12, 2025 16:00:21.469100000 CET","165","165","0x0002","0x93d1","6","151","13.107.246.60","172.29.250.200","32","99","443","45548","1","518","20480","0x8368"
"7","Mar 12, 2025 16:00:21.469210000 CET","66","66","0x10bd","0x7f79","6","52","172.29.250.200","13.107.246.60","32","0","45548","443","518","100","502","0xaab4"
"8","Mar 12, 2025 16:00:21.469866000 CET","589","589","0x10be","0x7d6d","6","575","172.29.250.200","13.107.246.60","32","523","45548","443","518","100","502","0xacbf"
"9","Mar 12, 2025 16:00:21.502545000 CET","66","66","0x0003","0x9433","6","52","13.107.246.60","172.29.250.200","32","0","443","45548","100","1041","20478","0x6461"
"10","Mar 12, 2025 16:00:21.519042000 CET","4110","4110","0x0004","0x8466","6","4096","13.107.246.60","172.29.250.200","32","4044","443","45548","100","1041","20480","0xaa94"
"11","Mar 12, 2025 16:00:21.519542000 CET","118","118","0x0007","0x93fb","6","104","13.107.246.60","172.29.250.200","32","52","443","45548","4144","1041","20480","0x46ea"
"12","Mar 12, 2025 16:00:21.519637000 CET","954","954","0x0008","0x90b6","6","940","13.107.246.60","172.29.250.200","32","888","443","45548","4196","1041","20480","0x0f67"
"13","Mar 12, 2025 16:00:21.519846000 CET","66","66","0x10bf","0x7f77","6","52","172.29.250.200","13.107.246.60","32","0","45548","443","1041","5084","479","0xaab4"
"14","Mar 12, 2025 16:00:21.521867000 CET","140","140","0x10c0","0x7f2c","6","126","172.29.250.200","13.107.246.60","32","74","45548","443","1041","5084","501","0xaafe"
"15","Mar 12, 2025 16:00:21.522243000 CET","161","161","0x10c1","0x7f16","6","147","172.29.250.200","13.107.246.60","32","95","45548","443","1115","5084","501","0xab13"
"16","Mar 12, 2025 16:00:21.522470000 CET","173","173","0x10c2","0x7f09","6","159","172.29.250.200","13.107.246.60","32","107","45548","443","1210","5084","501","0xab1f"
"17","Mar 12, 2025 16:00:21.539753000 CET","66","66","0x0009","0x942d","6","52","13.107.246.60","172.29.250.200","32","0","443","45548","5084","1115","20479","0x5047"
"18","Mar 12, 2025 16:00:21.540077000 CET","66","66","0x000a","0x942c","6","52","13.107.246.60","172.29.250.200","32","0","443","45548","5084","1210","20479","0x4fe7"
"19","Mar 12, 2025 16:00:21.554810000 CET","353","353","0x000b","0x930c","6","339","13.107.246.60","172.29.250.200","32","287","443","45548","5084","1210","20480","0x0659"
"20","Mar 12, 2025 16:00:21.554968000 CET","424","424","0x000c","0x92c4","6","410","13.107.246.60","172.29.250.200","32","358","443","45548","5371","1210","20480","0xa516"
"21","Mar 12, 2025 16:00:21.555031000 CET","66","66","0x000d","0x9429","6","52","13.107.246.60","172.29.250.200","32","0","443","45548","5729","1317","20479","0x4cf2"
"22","Mar 12, 2025 16:00:21.555078000 CET","13546","13546","0x000e","0x5f80","6","13532","13.107.246.60","172.29.250.200","32","13480","443","45548","5729","1317","20480","0xaa94"
"23","Mar 12, 2025 16:00:21.555378000 CET","66","66","0x10c3","0x7f73","6","52","172.29.250.200","13.107.246.60","32","0","45548","443","1317","19209","437","0xaab4"
