num_packets_down,num_bytes_down,min_packet_size_down,max_packet_size_down,mean_packet_size_down,std_packet_size_down,min_iat_down,max_iat_down,mean_iat_down,std_iat_down,num_packets_up,num_bytes_up,min_packet_size_up,max_packet_size_up,mean_packet_size_up,std_packet_size_up,min_iat_up,max_iat_up,mean_iat_up,std_iat_up,port_pair,app
36,288148,52,60712,8004.111111111111,12510.398666201712,0,0.153409,0.011548086,0.025861025,30,2487,40,569,82.9,97.41109120451928,8e-06,0.175395,0.015367379,0.033375113,57114,asahi
36,249812,52,47232,6939.222222222223,9972.468693,1e-06,0.070208,0.007904,0.013882502,29,2348,40,569,80.96551724137932,98.11381246819602,6e-06,0.085666,0.012167286,0.021884007,45542,abc
27,249323,52,63408,9234.185185185184,17887.070534621966,0,0.097312,0.019314038,0.028142363,25,2140,40,569,85.6,105.20693893465388,5e-06,0.127779,0.022790542,0.034849717,45538,abc
49,250458,52,37796,5111.3877551020405,8326.304376833712,0,0.284472,0.014201396,0.04253638,42,3024,40,569,72,82.20557218072858,2e-06,0.31219,0.017686683,0.04997274,57354,abc
44,288555,52,45884,6558.068181818182,8650.855772690604,1e-06,1.152084,0.03339014,0.1748974395011982,36,2799,40,569,77.75,89.43517205216301,1.8e-05,1.183553,0.042285371,0.1991162578207376,57112,asahi
41,604136,52,64756,14735.024390243903,17968.984466975042,0,0.039428,0.00605955,0.009800383,39,2851,40,569,73.1025641,84.25112676797508,6e-06,0.038015,0.007173289,0.010659861,44062,bbc
67,1535231,52,64756,22913.89552238806,21151.607539119083,0,0.035583,0.004181076,0.006999062,62,4152,40,569,66.96774193548387,68.96826729140169,5e-06,0.055437,0.005068902,0.009767675,43400,rainewsit
36,170791,52,31056,4744.194444444444,7676.762155341439,0,0.265846,0.031350257,0.062952189,26,2731,52,575,105.03846153846152,140.74501220838502,7e-06,0.238417,0.04439676,0.074724393,51698,vaticannewsva
76,1659935,52,64756,21841.25,21004.82178619947,0,0.037073,0.003568947,0.006391517,66,4302,40,569,65.18181818181819,65.92954493324578,6e-06,0.04489,0.004782077,0.009329895,39992,theguardian
229,1543694,52,53972,6741.021834061135,9117.326152,0,0.076307,0.002590232,0.007794915,123,7324,40,569,59.54471544715447,49.34343546495249,3e-06,0.062347,0.005062361,0.011235569,37868,rainewsit
