num_packets_down,num_bytes_down,min_packet_size_down,max_packet_size_down,mean_packet_size_down,std_packet_size_down,min_iat_down,max_iat_down,mean_iat_down,std_iat_down,num_packets_up,num_bytes_up,min_packet_size_up,max_packet_size_up,mean_packet_size_up,std_packet_size_up,min_iat_up,max_iat_up,mean_iat_up,std_iat_up,port_pair,app
17,11282,52,5444,663.6470588235294,1368.160532484057,4.6e-05,0.041393,0.008397063,0.011548464,13,1562,52,569,120.15384615384616,139.94751763538963,6.4e-05,0.052233,0.015130417,0.020129592,37990,nhk
20,26909,52,10836,1345.45,3085.2211466415515,0.000379,0.357204,0.045508895,0.1005644190224437,16,1718,40,569,107.375,128.3021823664742,9.2e-05,0.393719,0.062111867,0.1232207147513683,56268,nhk
16,24710,52,10836,1544.375,3211.088265681901,0.000131,0.050493,0.0106454,0.014671634,14,1602,52,569,114.42857142857144,136.07165210099606,4.4e-05,0.049601,0.015383615,0.019752726,43618,nhk
16,26058,52,10836,1628.625,3407.3612248581258,5.4e-05,0.069443,0.019907733,0.0244164,12,1498,52,569,124.83333333333331,145.10424674778622,8.4e-05,0.094533,0.022383909,0.032806784,37994,nhk
20,26917,52,12184,1345.85,2894.2062319672204,0.000161,0.036511,0.010266895,0.012367097,16,1718,40,569,107.375,128.3021823664742,7.8e-05,0.054617,0.0156286,0.022061775,50914,nhk
16,19318,52,13532,1207.375,3343.829299371206,6.6e-05,0.109033,0.018941667,0.028112424,12,1510,52,569,125.83333333333331,144.5971415116265,6.5e-05,0.128683,0.028345455,0.042721111,55496,nhk
23,27073,52,13532,1177.0869565217392,3067.460422994943,4.4e-05,0.339676,0.022680773,0.071384693,19,1874,40,569,98.63157894736842,117.88893573864615,7e-05,0.359923,0.029707667,0.083801738,60896,nhk
16,26058,52,14880,1628.625,3811.031984034421,0.000278,0.058675,0.013899733,0.018004018,13,1550,52,569,119.23076923076924,139.04325097258638,6.5e-05,0.103715,0.02015025,0.032471012,43628,nhk
17,24762,52,18924,1456.5882352941176,4550.3984036953225,4.7e-05,0.321593,0.030442438,0.078652845,12,1498,52,569,124.83333333333331,145.10424674778622,7.1e-05,0.352526,0.047530545,0.1034632086998693,60892,nhk
16,26709,52,20272,1669.3125,5006.540771414264,0.000374,0.033066,0.011958067,0.011607996,15,1666,40,569,111.06666666666666,131.92284902638394,6.3e-05,0.059702,0.016950071,0.024371805,50908,nhk
18,73200,40,21800,4066.6666666666665,6196.338112143333,0.000277,0.444251,0.1242464705882352,0.1818307311743251,17,1448,40,557,85.17647058823529,126.00904496013251,4.6e-05,0.447429,0.1568002499999999,0.2010917142727002,48740,baidu
19,73241,40,21800,3854.7894736842095,6625.624679806488,0.000176,0.404362,0.1085591111111111,0.1515937079642155,19,1528,40,557,80.42105263157895,119.65334920765146,8.6e-05,0.427928,0.130699611,0.1773404334437478,44892,baidu
207,1271672,52,22968,6143.342995169082,3810.184863292444,8.8e-05,0.072133,0.004226112,0.00753606,185,10490,40,569,56.7027027,39.69398217509253,5.5e-05,0.11759,0.004964234,0.011261783,47486,theguardian
21,51577,40,25880,2456.047619,6451.438595198675,0.000147,0.296674,0.0305815,0.064840504,18,2141,40,563,118.94444444444444,162.9985464468651,6e-05,0.302074,0.039479,0.073725106,60794,msn
15,72997,40,27240,4866.466666666666,8841.777470514355,-2.592223,0.634045,-0.060258,0.765657475,12,1229,40,557,102.41666666666669,148.07274522608094,-2.558554,0.652704,-0.098583909,0.8480793426119344,51730,baidu
19,73168,40,27240,3850.947368421053,6533.855229781472,8.5e-05,0.623956,0.1492817777777777,0.2343226763291708,19,1528,40,557,80.42105263157895,119.65334920765146,5.4e-05,0.630289,0.1796475555555555,0.2575938071472495,57778,baidu
21,51643,40,27240,2459.190476190476,6719.516482746713,5.9e-05,0.266914,0.0279811,0.05805465,17,2101,40,563,123.58823529411764,167.56829160954405,0.000152,0.278586,0.038081063,0.068720791,60788,msn
