site,ip
https://www.asahi.com,23.52.59.3
https://www.vaticannews.va/en.html,13.107.246.60
https://www.ndtv.com,2.22.33.88
https://www.cnbc.com,23.52.50.200
https://www.timesofindia.com,23.50.158.72
https://www3.nhk.or.jp,2.22.32.187
https://www.polimi.it,131.175.187.72
http://www.news.cn,138.199.45.225
https://www.nypost.com,192.0.66.32
https://www.abc.net.au,2.22.32.110
https://www.bbc.co.uk,151.101.240.81
https://www.msn.com,204.79.197.203
https://www.cnn.com,151.101.243.5
https://www.news.google.com,142.251.209.46
https://www.dailymail.co.uk,2.22.32.193
https://www.nytimes.com,151.101.241.164
https://www.theguardian.com,151.101.241.111
https://news.baidu.com,182.61.200.24
https://www.nbcnews.com,23.214.205.85
https://www.rainews.it,2.22.34.162
