MAC Address,Channel,DS Channel,HT Capabilities,Extended Capabilities,Vendor Specific Tags,Supported Rates,Extended Supported Rates,Length,Cluster ID
02:02:70:30:b6:43,1,3.0,2.0,1.0,6.0,2.0,0.0,143,0
02:0b:5b:9e:41:54,1,2.0,4.0,2.0,3.0,0.0,0.0,154,1
02:0b:72:cb:7d:eb,11,9.0,4.0,2.0,3.0,0.0,0.0,154,1
02:0c:01:7e:50:d6,11,13.0,4.0,2.0,3.0,0.0,0.0,154,1
02:11:33:61:b5:ef,1,2.0,2.0,1.0,6.0,2.0,0.0,143,0
02:11:61:0f:20:a3,11,10.0,4.0,2.0,3.0,0.0,0.0,154,1
02:15:e6:f4:cb:7e,1,3.0,4.0,2.0,3.0,0.0,0.0,154,1
02:17:9c:97:63:27,1,1.0,4.0,2.0,3.0,0.0,0.0,154,1
02:18:3a:e6:4e:e9,1,2.0,4.0,2.0,3.0,0.0,0.0,154,1
02:29:87:7d:c0:ee,11,9.0,4.0,2.0,3.0,0.0,0.0,154,1
02:2a:a7:ea:b2:e9,11,13.0,4.0,2.0,3.0,0.0,0.0,154,1
02:2e:1f:72:c9:05,11,11.0,2.0,1.0,6.0,2.0,0.0,131,2
02:2f:c2:8f:63:63,1,1.0,4.0,2.0,3.0,0.0,0.0,154,1
02:35:37:d8:40:5d,6,5.0,2.0,1.0,6.0,2.0,0.0,143,0
02:3b:2c:39:a2:a3,11,12.0,4.0,2.0,3.0,0.0,0.0,154,1
02:3e:47:ce:61:26,1,2.0,2.0,1.0,6.0,2.0,0.0,143,0
02:43:ab:34:e2:2b,11,11.0,4.0,2.0,3.0,0.0,0.0,154,1
02:57:c6:80:e7:b4,11,11.0,2.0,1.0,6.0,2.0,0.0,131,2
02:59:a8:79:24:48,6,6.0,4.0,2.0,3.0,0.0,0.0,142,3
02:5d:25:81:75:b8,11,10.0,4.0,2.0,3.0,0.0,0.0,154,1
02:61:5a:96:62:24,1,3.0,2.0,1.0,6.0,2.0,0.0,143,0
02:64:a9:45:e1:b0,1,3.0,4.0,2.0,3.0,0.0,0.0,154,1
02:64:b0:61:28:32,1,3.0,2.0,1.0,6.0,2.0,0.0,143,0
02:71:dc:6f:49:fa,11,11.0,2.0,1.0,6.0,2.0,0.0,131,2
02:73:6d:61:92:44,1,2.0,2.0,1.0,6.0,2.0,0.0,143,0
02:77:58:67:ad:de,11,9.0,4.0,2.0,3.0,0.0,0.0,154,1
02:7a:98:0a:f1:3b,11,9.0,4.0,2.0,3.0,0.0,0.0,154,1
02:7c:28:f1:b0:32,11,13.0,4.0,2.0,3.0,0.0,0.0,154,1
02:84:0c:20:c0:9b,11,11.0,4.0,2.0,3.0,0.0,0.0,154,1
02:8a:46:d4:7b:0b,11,11.0,4.0,2.0,3.0,0.0,0.0,154,1
02:8c:f7:68:e1:d6,11,11.0,4.0,2.0,3.0,0.0,0.0,154,1
02:8f:27:02:c8:a0,11,9.0,4.0,2.0,3.0,0.0,0.0,154,1
02:98:40:a8:95:03,6,6.0,2.0,1.0,6.0,2.0,0.0,143,0
02:99:a2:23:76:f8,11,12.0,2.0,1.0,6.0,0.0,0.0,113,4
02:9a:6e:43:e4:6c,1,2.0,2.0,1.0,6.0,2.0,0.0,143,0
02:9e:52:3d:4c:82,1,2.0,2.0,1.0,6.0,2.0,0.0,143,0
02:9e:d0:33:e6:fd,11,11.0,2.0,1.0,6.0,2.0,0.0,131,2
02:a1:c2:e8:ae:2c,11,10.0,4.0,2.0,3.0,0.0,0.0,154,1
02:a3:cc:9e:fb:d9,11,12.0,4.0,2.0,3.0,0.0,0.0,154,1
02:a8:86:01:9e:fa,1,1.0,4.0,2.0,3.0,0.0,0.0,154,1
02:ab:6d:5e:38:03,1,3.0,2.0,1.0,6.0,2.0,0.0,143,0
02:b1:87:4c:e5:17,1,2.0,4.0,2.0,3.0,0.0,0.0,154,1
02:b8:33:24:4b:a7,1,3.0,2.0,1.0,6.0,2.0,0.0,143,0
02:b8:94:8c:4a:a9,11,10.0,4.0,2.0,3.0,0.0,0.0,154,1
02:b8:a1:e1:fe:3a,11,11.0,4.0,2.0,3.0,0.0,0.0,154,1
02:bc:a8:5a:82:fd,11,9.0,4.0,2.0,3.0,0.0,0.0,154,1
02:bd:43:b4:e1:b0,6,6.0,4.0,2.0,3.0,0.0,0.0,142,3
02:be:5b:65:4b:56,11,11.0,2.0,1.0,6.0,2.0,0.0,131,2
02:c2:cd:11:3e:91,6,8.0,2.0,1.0,6.0,2.0,0.0,143,0
02:c8:c5:10:8c:9f,11,12.0,4.0,2.0,3.0,0.0,0.0,154,1
02:cb:f3:2f:3f:30,11,11.0,2.0,1.0,6.0,2.0,0.0,131,2
02:ce:e7:6e:08:32,6,6.0,4.0,2.0,3.0,0.0,0.0,142,3
02:d1:5d:7d:58:a4,6,6.0,5.0,3.0,1.0,0.0,0.0,165,5
02:d4:33:b3:2b:34,11,12.0,4.0,2.0,3.0,0.0,0.0,154,1
02:de:f5:1a:96:e5,11,12.0,4.0,2.0,3.0,0.0,0.0,154,1
