Recall_Strategy,Ranking_Strategy,K,Recall@20
C_ItemKNN,R_SLIM,100,0.2337623688187433
C_ItemKNN,R_SLIM,200,0.24389306635654565
C_ItemKNN,R_SLIM,300,0.24781346849393995
C_ItemKNN,R_SLIM,400,0.24990850008899443
C_ItemKNN,R_EASER,100,0.23028750784076354
C_ItemKNN,R_EASER,200,0.23942894310445637
C_ItemKNN,R_EASER,300,0.24254403507910471
C_ItemKNN,R_EASER,400,0.24472428169383345
C_ItemKNN,R_IALS,100,0.21179748265272175
C_ItemKNN,R_IALS,200,0.21463460688014124
C_ItemKNN,R_IALS,300,0.2155972233006736
C_ItemKNN,R_IALS,400,0.21671252720752016
C_ItemKNN,R_Fused_SlimEaser,100,0.23424419468319208
C_ItemKNN,R_Fused_SlimEaser,200,0.24440122778059623
C_ItemKNN,R_Fused_SlimEaser,300,0.24813215244591433
C_ItemKNN,R_Fused_SlimEaser,400,0.2506214133160149
C_ItemKNN,R_Fused_SlimIals,100,0.2348418009416162
C_ItemKNN,R_Fused_SlimIals,200,0.24466199025280522
C_ItemKNN,R_Fused_SlimIals,300,0.24831388525933698
C_ItemKNN,R_Fused_SlimIals,400,0.25103956539548994
C_IALS,R_SLIM,100,0.28149764513564374
C_IALS,R_SLIM,200,0.2851909990838375
C_IALS,R_SLIM,300,0.28645187005993694
C_IALS,R_SLIM,400,0.2868663018881034
C_IALS,R_EASER,100,0.2773307096073339
C_IALS,R_EASER,200,0.2798613300968878
C_IALS,R_EASER,300,0.28058653702217473
C_IALS,R_EASER,400,0.2806700633455928
C_IALS,R_IALS,100,0.24091423247365534
C_IALS,R_IALS,200,0.24091423247365534
C_IALS,R_IALS,300,0.24091423247365534
C_IALS,R_IALS,400,0.24091423247365534
C_IALS,R_Fused_SlimEaser,100,0.28273720743775443
C_IALS,R_Fused_SlimEaser,200,0.28666563836078884
C_IALS,R_Fused_SlimEaser,300,0.28784725120633503
C_IALS,R_Fused_SlimEaser,400,0.28821431206353165
C_IALS,R_Fused_SlimIals,100,0.27636947322769145
C_IALS,R_Fused_SlimIals,200,0.28017482233853636
C_IALS,R_Fused_SlimIals,300,0.2818056212739918
C_IALS,R_Fused_SlimIals,400,0.28286853681696184
C_EASER,R_SLIM,100,0.28648944252345165
C_EASER,R_SLIM,200,0.2861959423550702
C_EASER,R_SLIM,300,0.2860305379500982
C_EASER,R_SLIM,400,0.28597802294709646
C_EASER,R_EASER,100,0.28089545595224924
C_EASER,R_EASER,200,0.28089545595224924
C_EASER,R_EASER,300,0.28089545595224924
C_EASER,R_EASER,400,0.28089545595224924
C_EASER,R_IALS,100,0.24663313290510502
C_EASER,R_IALS,200,0.24312490448441776
C_EASER,R_IALS,300,0.24205745640143098
C_EASER,R_IALS,400,0.24165619259017507
C_EASER,R_Fused_SlimEaser,100,0.2881182087641183
C_EASER,R_Fused_SlimEaser,200,0.28811936297137036
C_EASER,R_Fused_SlimEaser,300,0.2881478521592846
C_EASER,R_Fused_SlimEaser,400,0.28815468261943367
C_EASER,R_Fused_SlimIals,100,0.2868864562762173
C_EASER,R_Fused_SlimIals,200,0.2876210967795597
C_EASER,R_Fused_SlimIals,300,0.2880836779686351
C_EASER,R_Fused_SlimIals,400,0.28841995182795244
C_Ens_KnnIals,R_SLIM,100,0.282983290283169
C_Ens_KnnIals,R_SLIM,200,0.28590294114432657
C_Ens_KnnIals,R_SLIM,300,0.28674290555965576
C_Ens_KnnIals,R_SLIM,400,0.2870433881905915
C_Ens_KnnIals,R_EASER,100,0.277869837429854
C_Ens_KnnIals,R_EASER,200,0.2800264521139583
C_Ens_KnnIals,R_EASER,300,0.28061860214492423
C_Ens_KnnIals,R_EASER,400,0.28068729464174025
C_Ens_KnnIals,R_IALS,100,0.24091423247365534
C_Ens_KnnIals,R_IALS,200,0.24091423247365534
C_Ens_KnnIals,R_IALS,300,0.24091423247365534
C_Ens_KnnIals,R_IALS,400,0.24091423247365534
C_Ens_KnnIals,R_Fused_SlimEaser,100,0.2844295066367008
C_Ens_KnnIals,R_Fused_SlimEaser,200,0.2872478907172125
C_Ens_KnnIals,R_Fused_SlimEaser,300,0.2881801490090613
C_Ens_KnnIals,R_Fused_SlimEaser,400,0.2884450600651899
C_Ens_KnnIals,R_Fused_SlimIals,100,0.2841330667151073
C_Ens_KnnIals,R_Fused_SlimIals,200,0.2870986845622545
C_Ens_KnnIals,R_Fused_SlimIals,300,0.2880680117619366
C_Ens_KnnIals,R_Fused_SlimIals,400,0.2885423911018334
C_Ens_KnnEaser,R_SLIM,100,0.2864641401267708
C_Ens_KnnEaser,R_SLIM,200,0.2861743010785535
C_Ens_KnnEaser,R_SLIM,300,0.28603247274564475
C_Ens_KnnEaser,R_SLIM,400,0.28597381045516024
C_Ens_KnnEaser,R_EASER,100,0.28089545595224924
