,Write Time,Queue length
0,0,0
40,34.36702745,0
66,50.60795937,1
67,53.41424775,0
70,53.88147771,1
72,55.08185929,2
74,57.22712501,3
75,58.30488405,2
78,58.56077319,3
79,59.03649023,2
81,60.0660258,1
83,61.67539907,0
86,63.28620072,1
87,63.44217496,0
94,66.29124266,1
95,66.82121698,0
98,69.43798968,1
99,69.65608743,0
110,77.96735525,1
112,79.93125938,2
113,81.43452696,1
115,81.47618686,0
142,129.4208001,1
143,130.1017115,0
166,144.3569222,1
167,144.5833015,0
170,145.6115787,1
171,146.4645896,0
186,160.8490329,1
187,161.4160346,0
190,162.1824733,1
192,163.4852692,2
193,164.7504627,1
195,164.9068185,0
202,166.8300922,1
204,167.7295659,2
205,168.7694337,1
207,168.9012215,0
210,170.6160411,1
212,170.9811237,2
213,172.5794414,1
216,173.6245061,2
217,173.7602632,1
219,174.6601648,0
222,175.4232791,1
223,177.0195953,0
242,197.0805423,1
243,198.9225478,0
254,206.5557472,1
255,206.6526653,0
266,210.7429108,1
267,211.2087257,0
270,211.8547642,1
271,214.4990908,0
294,243.7843144,1
295,246.2090157,0
302,247.6935227,1
304,247.9948407,2
306,248.8822983,3
308,249.5411412,4
310,249.963047,5
312,250.51685,6
313,252.6164248,5
315,252.8635114,4
317,253.2508316,3
320,253.7401228,4
321,253.9004176,3
323,254.0802686,2
326,254.5722305,3
327,256.4398088,2
329,258.6307908,1
331,261.4205734,0
334,266.7268936,1
335,268.6930162,0
366,306.1232137,1
367,306.7305816,0
378,323.2876262,1
379,323.5048543,0
390,338.9393926,1
391,341.3895323,0
394,342.1587887,1
395,342.9661306,0
398,343.0333066,1
400,343.8864374,2
401,346.4869094,1
403,346.9404036,0
410,355.2074175,1
411,355.4163729,0
426,380.6519822,1
427,381.6720995,0
442,402.7099191,1
443,404.4137664,0
446,405.1398479,1
447,405.8131245,0
450,406.1233773,1
452,406.9036108,2
454,407.2095097,3
455,407.5114993,2
457,407.7685696,1
459,408.6069461,0
470,420.8339839,1
472,422.9725923,2
474,423.1740153,3
476,424.113733,4
478,429.3615708,5
479,429.486667,4
481,430.0666805,3
483,430.6613546,2
485,431.2851614,1
487,431.9328622,0
490,433.5737116,1
492,436.1815659,2
493,436.4932775,1
495,436.8096663,0
498,437.4666896,1
499,440.4162737,0
502,441.6914663,1
503,451.198532,0
514,456.8050617,1
516,457.0429217,2
518,457.3889503,3
519,457.8680306,2
521,458.1457695,1
523,458.6385885,0
530,473.3480159,1
531,473.7135913,0
534,480.6154003,1
536,481.3608802,2
538,482.5671663,3
539,486.4480897,2
541,486.791256,1
544,487.2774962,2
545,488.0635273,1
547,490.5216402,0
550,496.314462,1
552,497.9806986,2
554,498.2481357,3
555,500.0095213,2
557,500.8405701,1
559,503.2269655,0
566,507.606938,1
567,509.6289833,0
570,513.0119196,1
571,513.3930776,0
598,538.5795916,1
599,539.5251668,0
602,540.0860476,1
603,541.622374,0
606,542.2620798,1
607,542.3643902,0
614,551.3189804,1
615,552.0242634,0
630,582.3037598,1
632,583.2211094,2
634,584.3218595,3
636,591.3597134,4
637,592.720076,3
639,592.9439999,2
641,593.2918667,1
643,594.0123674,0
670,629.3745858,1
672,630.3477131,2
673,634.2640459,1
675,635.1662566,0
678,637.477194,1
679,638.3857058,0
686,646.5320182,1
687,646.8657713,0
702,653.5994091,1
703,656.247668,0
730,691.6155192,1
731,696.9100807,0
750,716.0647168,1
751,716.3387441,0
758,722.948916,1
759,724.5488289,0
766,726.5377401,1
767,727.1541718,0
782,751.962686,1
784,754.5700578,2
786,754.8272711,3
787,754.9023559,2
789,755.7983198,1
791,760.1077652,0
794,763.4522653,1
795,764.7284112,0
802,766.097308,1
804,766.4156298,2
805,766.4805403,1
807,766.9593258,0
818,770.6378042,1
820,772.9311416,2
822,775.6860322,3
824,779.1877015,4
825,779.7275242,3
827,780.4219766,2
829,781.558654,1
832,783.0634379,2
833,783.4765562,1
835,784.6879712,0
838,784.9294705,1
840,788.7865295,2
842,789.4708438,3
844,790.7599847,4
845,792.4218081,3
847,793.4372586,2
849,795.2279127,1
851,797.1497264,0
854,797.1721836,1
856,797.8368237,2
858,798.8477464,3
860,799.9611992,4
861,800.25763,3
863,800.2833051,2
865,800.3461403,1
867,800.6123387,0
874,802.5761002,1
876,802.6992212,2
877,803.2152844,1
879,803.8633346,0
882,805.17545,1
884,805.8848849,2
885,809.5550084,1
887,809.7126364,0
894,816.7793746,1
895,818.9775633,0
910,827.1516969,1
911,827.3607967,0
914,829.4668411,1
915,830.0846201,0
926,835.5393725,1
928,836.5729681,2
929,838.1160763,1
931,840.1279791,0
938,844.5457343,1
939,845.3503784,0
942,846.6584368,1
943,847.4795766,0
950,858.9415709,1
951,859.1684681,0
970,871.7157187,1
971,872.3337938,0
974,873.8758227,1
976,873.892925,2
977,874.0875978,1
979,874.299603,0
982,875.0252183,1
983,875.6936056,0
994,881.5732393,1
995,883.8282504,0
1018,927.9604825,1
1020,935.7419838,2
1021,935.8666533,1
1024,936.4994567,2
1025,936.6801341,1
1027,937.7228195,0
1034,943.7224776,1
1035,947.4350452,0
1046,958.6604568,1
1047,958.8119087,0
1078,994.6591026,1
1080,995.8201391,2
1081,997.0520998,1
1083,997.0986841,0
1094,1007.124143426113,1
1095,1009.133671589138,0
1098,1012.143617504722,1
1099,1013.913403225116,0
1102,1014.284219601177,1
1103,1016.430371729283,0
1118,1027.133859139632,1
1120,1028.506553090493,2
1121,1029.887413,1
1123,1030.347848542956,0
1162,1083.280896343568,1
1163,1086.771757298537,0
1170,1089.785672962426,1
1172,1092.838544394971,2
1174,1093.379245880536,3
1175,1093.572070244457,2
1178,1093.682094992118,3
1179,1095.161668371798,2
1181,1097.166240167601,1
1184,1097.438566612728,2
1186,1100.141392298451,3
1187,1100.298908402498,2
1189,1100.387870124104,1
1191,1101.024244643692,0
1194,1104.634774122049,1
1195,1104.717620980277,0
1206,1127.470280615793,1
1208,1131.460415128998,2
1210,1134.901710137056,3
1211,1135.245219,2
1213,1136.938448339751,1
1215,1138.857448859942,0
1218,1139.108344484314,1
1219,1141.332899060121,0
1246,1164.159795545967,1
1247,1164.848295425304,0
1250,1166.421805086883,1
1252,1166.852744,2
1254,1167.445861826423,3
1256,1167.454373118352,4
1258,1168.395776346948,5
1260,1169.372414073156,6
1261,1171.654507,5
1263,1171.765546938735,4
1265,1172.125235110682,3
1268,1172.277116575603,4
1269,1173.029800080081,3
1271,1173.624033214206,2
1273,1174.674524212435,1
1276,1175.654934477564,2
1277,1176.652384083765,1
1279,1178.522025,0
1286,1185.270803735432,1
1287,1188.851321467218,0
1302,1204.842151490439,1
1303,1206.172714613831,0
1310,1210.013947152883,1
1311,1210.103811099412,0
1334,1252.775225,1
1335,1253.931925051695,0
1338,1254.218070372152,1
1339,1255.967632780345,0
1378,1293.685000785334,1
1379,1294.530361455883,0
1398,1327.662204220589,1
1400,1327.832229701313,2
1402,1328.346632863759,3
1404,1329.203105346201,4
1405,1331.507511,3
1407,1331.687893726819,2
1409,1332.483591158676,1
1411,1333.322757557651,0
1414,1334.384067297927,1
1415,1337.192376361904,0
1426,1343.085647,1
1428,1343.112513765925,2
1430,1345.105941258057,3
1431,1346.809187,2
1433,1348.361160910104,1
1435,1351.406791334003,0
1458,1395.975248461869,1
1459,1398.077362109301,0
1470,1402.337031316108,1
1471,1403.666529920035,0
1482,1406.127625403347,1
1483,1406.759231211713,0
1490,1411.192219354759,1
1492,1414.890521809543,2
1494,1418.756442928448,3
1495,1423.257371272542,2
1498,1423.544494550554,3
1499,1424.365375009193,2
1502,1424.925350510483,3
1503,1425.477597299842,2
1506,1426.306775955407,3
1507,1426.960107500117,2
1509,1428.979428543285,1
1511,1431.673522534177,0
1514,1431.941418072232,1
1516,1433.906975671578,2
1518,1434.568660033917,3
1519,1435.181607925795,2
1521,1435.860891482573,1
1523,1437.033274763186,0
1530,1444.048019,1
1531,1444.051396314056,0
1550,1473.694711558223,1
1551,1475.792214209923,0
1574,1498.704536982901,1
1575,1499.292819339603,0
1578,1500.512462,1
1579,1500.952227915255,0
1582,1503.210601241133,1
1584,1504.546143,2
1585,1506.288584790122,1
1587,1507.562374840369,0
1590,1507.605923258108,1
1592,1508.547046266662,2
1593,1510.445311998974,1
1595,1510.535547792773,0
1598,1511.274526864335,1
1599,1511.972164325383,0
1622,1534.104181432858,1
1623,1537.984453747978,0
1630,1544.177068876973,1
1631,1544.872895,0
1674,1600.982701212122,1
1676,1602.359892668124,2
1678,1602.986024934058,3
1679,1603.042202282235,2
1681,1603.614075960218,1
1683,1604.797566128766,0
1686,1607.378243449122,1
1687,1607.666739824796,0
1694,1620.862152321675,1
1696,1620.976960573872,2
1697,1625.328424961696,1
1699,1625.409640148933,0
1702,1626.386189339263,1
1704,1628.135031108267,2
1705,1629.801057435366,1
1707,1629.999545044193,0
1714,1631.207601,1
1716,1631.990516983521,2
1718,1636.746936,3
1719,1636.916813159273,2
1721,1637.544128280855,1
1723,1638.297886288451,0
1762,1693.225963510353,1
1764,1693.838034123322,2
1765,1695.481824,1
1767,1695.855955933955,0
1786,1724.455318433171,1
1787,1728.095840106113,0
1814,1757.121344,1
1815,1757.166300685552,0
1826,1766.317994928083,1
1827,1768.023774869682,0
1834,1775.233836621526,1
1835,1775.325256962113,0
1850,1785.055951751146,1
1851,1788.215843823188,0
1862,1798.073399892428,1
1864,1800.359855856494,2
1865,1803.280380572506,1
1867,1803.986860662211,0
1870,1806.548695,1
1872,1809.242550501463,2
1873,1812.510272070213,1
1875,1812.628162965017,0
1890,1824.112611153744,1
1891,1826.928930193498,0
1910,1845.420407844091,1
1911,1848.517058,0
1914,1849.032748530281,1
1916,1849.582488889559,2
1917,1849.973031287845,1
1919,1851.443373,0
1922,1852.439750184393,1
1924,1853.840399345937,2
1925,1854.097475705195,1
1928,1855.512038376228,2
1929,1856.167720273466,1
1931,1856.383952818744,0
1934,1857.065520919835,1
1935,1860.663720588993,0
1942,1865.033471597418,1
1943,1865.478911984488,0
1946,1866.112565532771,1
1947,1866.490255,0
1950,1866.831345218412,1
1952,1866.892209009527,2
1953,1867.272889007265,1
1955,1868.561438648322,0
1958,1869.109958973312,1
1959,1872.596374743838,0
1962,1876.540209899865,1
1963,1878.285692435162,0
1970,1888.534830354083,1
1971,1889.588315430437,0
1974,1890.723242457303,1
1975,1890.944822460341,0
1994,1909.540903427939,1
1995,1912.796810062784,0
2002,1917.281090606766,1
2004,1920.320987710058,2
2005,1920.462403895515,1
2007,1922.023255608044,0
2042,1962.608178174368,1
2043,1964.797512751227,0
2054,1977.041415893032,1
2056,1980.045920703962,2
2057,1980.3051,1
2059,1980.634601570406,0
2070,1986.826946705292,1
2072,1987.102503876198,2
2074,1987.795170287728,3
2075,1988.174697511618,2
2078,1988.298158248707,3
2079,1989.327328345061,2
2082,1989.67174,3
2083,1990.701927,2
2085,1992.919387701124,1
2088,1995.226103062282,2
2089,1998.52822,1
2092,1999.958661276531,2
2093,2000.683813987076,1
2095,2001.719129053933,0
2098,2005.710737291007,1
2099,2009.457918774296,0
2102,2010.022024,1
2103,2012.104991,0
2110,2016.991258057227,1
2111,2019.133179086404,0
2118,2020.310590329412,1
2119,2020.884297,0
2126,2030.433712334677,1
2127,2030.475236636243,0
2198,2126.288062236806,1
2199,2126.324810603477,0
2214,2159.963053220607,1
2215,2163.841285,0
2222,2166.655020353569,1
2223,2166.908900846925,0
2254,2202.340410567864,1
2255,2202.408553683297,0
2270,2215.384871,1
2271,2217.486322078107,0
2290,2235.447169748327,1
2291,2242.162832676762,0
2294,2242.399201626644,1
2295,2242.458160546656,0
2298,2242.724832810232,1
2299,2245.921248,0
2318,2269.658945916321,1
2320,2270.239937672221,2
2322,2271.477966360926,3
2324,2271.483259987689,4
2325,2274.291252990916,3
2327,2275.368736523245,2
2330,2275.721633088848,3
2332,2276.079198574772,4
2334,2276.869533486335,5
2335,2276.934870101029,4
2337,2277.420777532682,3
2340,2277.993559212703,4
2341,2278.644752,3
2344,2280.077753240857,4
2345,2280.123137432526,3
2347,2281.983832445519,2
2349,2284.020222609949,1
2352,2284.721405804822,2
2354,2287.072718937893,3
2355,2288.901569741761,2
2358,2289.875586482411,3
2360,2290.266954320664,4
2361,2291.133329903434,3
2364,2291.917985,4
2365,2292.282392105593,3
2368,2292.844041915598,4
2369,2293.778275666015,3
2371,2294.975295906865,2
2373,2298.024992539297,1
2376,2298.219090009261,2
2378,2298.290331131703,3
2379,2301.08108,2
2382,2302.127081696621,3
2383,2304.680860121774,2
2385,2306.342389907746,1
2388,2306.914897334519,2
2390,2309.724804,3
2392,2309.906791658089,4
2394,2311.063351054239,5
2395,2311.867015774753,4
2397,2312.044685504074,3
2400,2312.149671,4
2401,2312.513936340509,3
2404,2313.396297703705,4
2405,2314.590829527226,3
2408,2314.617998155806,4
2409,2318.468952922933,3
2411,2320.347326309448,2
2413,2324.419564279163,1
2416,2329.023741582444,2
2417,2330.237235729135,1
2419,2332.740311112352,0
2422,2335.288513,1
2423,2339.205309338491,0
2434,2350.853616553324,1
2435,2353.908094230917,0
2454,2372.133884672749,1
2455,2373.322115489675,0
2470,2388.284319,1
2471,2388.496545,0
2478,2397.717417448983,1
2479,2398.258280732169,0
2486,2401.672415194913,1
2487,2402.131582,0
2514,2422.276941,1
2515,2423.254899,0
2522,2428.602158509278,1
2524,2431.931471903454,2
2526,2432.465575433067,3
2527,2432.821856346853,2
2530,2433.096971282407,3
2531,2433.154227501898,2
2533,2434.129622526555,1
2536,2435.302444102293,2
2537,2435.992095,1
2539,2437.135254390061,0
2546,2440.229398295253,1
2547,2440.887253866325,0
2570,2465.329106299103,1
2571,2465.423974111743,0
2574,2466.925823855755,1
2576,2467.462426920666,2
2578,2469.617200971197,3
2579,2473.125860450838,2
2581,2473.180895929097,1
2583,2473.313829212483,0
2602,2487.531626,1
2603,2488.843399260191,0
2610,2493.952390480803,1
2612,2495.555671,2
2613,2498.287573980938,1
2616,2498.461538,2
2617,2501.077967,1
2619,2501.273134895805,0
2638,2535.608992824127,1
2640,2537.706947443793,2
2642,2539.571596,3
2643,2540.883990598485,2
2645,2541.129000881367,1
2647,2543.223684550122,0
2654,2556.578768009702,1
2655,2556.797646092078,0
2666,2564.290258510244,1
2667,2564.377500525738,0
2682,2581.143406850438,1
2683,2584.283845349834,0
2690,2589.182353384606,1
2691,2589.430831255365,0
2702,2600.476935205043,1
2703,2603.199213733826,0
2714,2611.657467357651,1
2716,2615.726980364626,2
2717,2615.739796565437,1
2719,2616.511193191754,0
2722,2618.072828629484,1
2724,2618.223325846421,2
2725,2618.31118,1
2727,2618.763323229716,0
2734,2629.334766572103,1
2735,2629.673787179964,0
2742,2630.849152340982,1
2743,2631.031476939886,0
2766,2658.266620250562,1
2768,2659.646304797402,2
2769,2659.749776998744,1
2771,2660.843905931954,0
2774,2661.044185898914,1
2776,2664.339844804095,2
2777,2665.130664550509,1
2779,2665.143204052255,0
2782,2665.917598693278,1
2783,2665.965939,0
2786,2666.189840941413,1
2788,2670.878035105268,2
2789,2671.280555571828,1
2792,2672.354400159625,2
2793,2672.920925997229,1
2796,2674.346598533256,2
2797,2675.075114137057,1
2800,2675.171219178921,2
2802,2675.373718460776,3
2803,2678.795851165005,2
2805,2679.574147920004,1
2808,2679.622257800399,2
2809,2680.475421859046,1
2812,2681.823380244342,2
2813,2682.487093,1
2815,2684.237276879544,0
2822,2692.675824544047,1
2823,2692.773962963884,0
2830,2699.720176529009,1
2831,2699.910907938905,0
2834,2700.479820250118,1
2836,2700.535551035615,2
2837,2701.254601484845,1
2839,2702.157608588576,0
2842,2703.383925722266,1
2843,2703.720255156541,0
2850,2706.662867932764,1
2851,2707.515900774544,0
2870,2745.657868676124,1
2871,2746.671619402283,0
2878,2750.765805807104,1
2879,2751.153234581216,0
2894,2760.923522451058,1
2896,2761.248967009298,2
2898,2767.145134154386,3
2899,2767.369878911864,2
2901,2768.004784055273,1
2903,2769.968950738416,0
2906,2771.975204243175,1
2907,2773.388768039275,0
2910,2776.158249124533,1
2911,2776.469051693637,0
2914,2777.156304,1
2916,2783.282848805971,2
2917,2783.356760332942,1
2919,2783.543052613573,0
2930,2788.087253115418,1
2931,2791.892425780761,0
2934,2791.966042311733,1
2935,2792.499973530459,0
2942,2810.811139740611,1
2944,2812.210318129034,2
2945,2814.422683390319,1
2947,2816.043154066263,0
2950,2817.246891237029,1
2952,2818.155567194699,2
2953,2821.597724021984,1
2956,2822.257412240633,2
2957,2822.426437866412,1
2959,2822.471481603214,0
2966,2824.519646762845,1
2967,2825.723182026502,0
2994,2851.684123039418,1
2995,2851.956724687973,0
3010,2864.126217739667,1
3012,2869.087165490631,2
